## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
#- Subsetted for "on bottom" time of BED09 during 9 January 2017 event - it floated up
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
6567.356146 -351.384969 0 -121.861869 36.802240 6749.896260 227.489638 0.211134
6568.022803 -351.573216 0 -121.861875 36.802236 6750.588986 227.489643 0.017619
6568.855528 -351.358551 0 -121.861881 36.802231 6751.448934 227.489648 0.223992
6569.364276 -351.272736 0 -121.861886 36.802228 6751.964869 227.489653 0.301727
6570.354910 -351.810955 0 -121.861894 36.802222 6753.092271 227.489659 0.485232
6570.705748 -351.923662 0 -121.861897 36.802220 6753.460768 227.489664 0.074774
6571.854292 -351.923069 0 -121.861907 36.802213 6754.609313 227.489669 0.021722
6572.047220 -351.952801 0 -121.861908 36.802212 6754.804519 227.489674 0.300091
6572.376097 -352.079659 1 -121.861911 36.802210 6755.157013 227.489676 0.207476
6573.066098 -352.164194 0 -121.861913 36.802204 6755.852173 198.434865 0.148293
6574.124402 -352.338919 0 -121.861917 36.802195 6756.924804 198.434869 0.119897
6574.680054 -352.357703 0 -121.861919 36.802190 6757.480773 198.434872 0.038678
6575.182707 -352.379852 0 -121.861921 36.802186 6757.983914 198.434875 0.046796
6576.241011 -352.430750 0 -121.861925 36.802177 6759.043442 198.434878 0.091409
6577.299316 -352.573330 0 -121.861929 36.802168 6760.111307 198.434883 0.115046
6577.732302 -352.602317 0 -121.861931 36.802164 6760.545263 198.434885 0.064526
6578.357620 -352.641618 0 -121.861933 36.802159 6761.171815 198.434888 0.058115
6579.415925 -352.700161 0 -121.861937 36.802150 6762.231737 198.434892 0.030304
6580.474229 -352.705760 0 -121.861941 36.802141 6763.290057 198.434896 0.000523
6580.784551 -352.700877 0 -121.861942 36.802138 6763.600417 198.434899 0.088395
6581.532534 -352.612211 0 -121.861944 36.802132 6764.353637 198.434902 0.192485
6582.590838 -352.353193 0 -121.861948 36.802123 6765.443177 198.434905 0.163870
6583.649143 -352.265362 0 -121.861952 36.802114 6766.505120 198.434910 0.061236
6583.836800 -352.276895 0 -121.861953 36.802112 6766.693131 198.434912 0.081237
6584.707448 -352.351336 0 -121.861956 36.802105 6767.566956 198.434915 0.062251
6585.765752 -352.396974 0 -121.861960 36.802096 6768.626244 198.434919 0.099677
6586.824057 -352.562313 0 -121.861964 36.802087 6769.697386 198.434924 0.155808
6586.889049 -352.571993 0 -121.861964 36.802086 6769.763094 198.434925 0.153418
6587.882362 -352.724675 0 -121.861968 36.802078 6770.768073 198.434928 0.255070
6588.940666 -353.095299 0 -121.861972 36.802068 6771.889399 198.434933 0.328082
6589.941298 -353.400175 0 -121.861975 36.802060 6772.935445 198.434937 0.302914
6589.998971 -353.415874 0 -121.861976 36.802059 6772.995217 198.434944 0.093262
6591.057275 -353.504253 0 -121.861979 36.802050 6774.057205 198.434942 0.043759
6592.115580 -353.508494 0 -121.861983 36.802041 6775.115518 198.434947 0.014807
6592.993547 -353.532923 0 -121.861987 36.802034 6775.993825 198.434950 0.031574
6593.173885 -353.541910 0 -121.861987 36.802032 6776.174387 198.434954 0.073911
6594.232190 -353.624473 0 -121.861991 36.802023 6777.235907 198.434956 0.073637
