## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
63.053933 -147.706944 0 -121.810672 36.801567 204.790285 265.231741 0.010059
63.722014 -147.751851 1 -121.810680 36.801567 205.459873 265.231746 0.078685
64.056940 -147.785865 0 -121.810683 36.801566 205.796522 263.473013 0.087153
65.061721 -147.868611 0 -121.810695 36.801566 206.804704 263.473017 0.088069
66.066501 -147.962845 0 -121.810706 36.801565 207.813894 263.473024 0.078443
67.012177 -148.021612 0 -121.810716 36.801564 208.761394 263.473031 0.061852
67.071282 -148.024993 0 -121.810717 36.801564 208.820595 263.473034 0.062010
68.076062 -148.087583 0 -121.810728 36.801563 209.827323 263.473038 0.056058
69.080842 -148.137646 0 -121.810739 36.801562 210.833350 263.473044 0.045048
70.085623 -148.178109 0 -121.810751 36.801561 211.838945 263.473051 0.081913
71.090403 -148.302255 0 -121.810762 36.801560 212.851365 263.473058 0.133708
72.095184 -148.446804 0 -121.810773 36.801559 213.866490 263.473065 0.123214
73.099964 -148.549860 0 -121.810784 36.801558 214.876542 263.473072 0.080899
74.104745 -148.609375 0 -121.810795 36.801557 215.883083 263.473078 0.072440
75.109525 -148.695433 0 -121.810807 36.801556 216.891542 263.473085 0.090680
76.114306 -148.791601 0 -121.810818 36.801555 217.900915 263.473092 0.072266
76.882667 -148.823571 0 -121.810826 36.801555 218.669941 263.473098 0.041009
77.119086 -148.832807 0 -121.810829 36.801555 218.906540 263.473101 0.009614
78.123867 -148.835504 0 -121.810840 36.801554 219.911324 263.473106 0.011814
79.128647 -148.856548 0 -121.810852 36.801553 220.916325 263.473112 0.008876
80.133428 -148.853340 0 -121.810863 36.801552 221.921111 263.473119 0.000282
81.138208 -148.857114 0 -121.810874 36.801551 222.925899 263.473126 0.004614
82.142989 -148.844068 0 -121.810885 36.801550 223.930764 263.473133 0.008441
83.147769 -148.874076 0 -121.810896 36.801549 224.935992 263.473140 0.033850
84.152550 -148.912092 0 -121.810908 36.801548 225.941492 263.473146 0.032702
85.157331 -148.939792 0 -121.810919 36.801547 226.946654 263.473153 0.022184
86.162111 -148.956673 0 -121.810930 36.801546 227.951577 263.473160 0.001834
86.753159 -148.942719 0 -121.810937 36.801546 228.542789 263.473165 0.022540
87.166892 -148.934025 0 -121.810941 36.801545 228.956613 263.473169 0.004229
88.171672 -148.936720 0 -121.810952 36.801544 229.961397 263.473174 0.010662
89.176453 -148.912599 0 -121.810964 36.801544 230.966467 263.473180 0.024460
90.181234 -148.887566 0 -121.810975 36.801543 231.971560 263.473187 0.024676
91.186014 -148.863011 0 -121.810986 36.801542 232.976640 263.473194 0.010851
92.190795 -148.865761 0 -121.810997 36.801541 233.981425 263.473201 0.003302
93.195576 -148.856375 0 -121.811008 36.801540 234.986249 263.473208 0.008579
94.200356 -148.848520 0 -121.811020 36.801539 235.991061 263.473214 0.004185
95.205137 -148.847966 0 -121.811031 36.801538 236.995842 263.473221 0.003528
96.209918 -148.855610 0 -121.811042 36.801537 238.000651 263.473228 0.002593
96.623651 -148.851644 0 -121.811047 36.801537 238.414404 263.473233 0.007512
97.214698 -148.848062 0 -121.811053 36.801536 239.005462 263.473236 0.004907
98.219479 -148.843813 0 -121.811064 36.801535 240.010252 263.473242 0.006553
99.224260 -148.861230 0 -121.811076 36.801534 241.015183 263.473248 0.031414
100.229040 -148.906941 0 -121.811087 36.801533 242.021003 263.473255 0.042333
101.233821 -148.946302 0 -121.811098 36.801533 243.026555 263.473262 0.047240
102.238602 -149.001871 0 -121.811109 36.801532 244.032871 263.473269 0.075641
103.243383 -149.098308 0 -121.811120 36.801531 245.042269 263.473276 0.126199
104.248163 -149.255477 0 -121.811132 36.801530 246.059267 263.473282 0.161161
105.252944 -149.422171 0 -121.811143 36.801529 247.077782 263.473289 0.139315
106.257725 -149.535438 0 -121.811154 36.801528 248.088927 263.473296 0.117867
106.494144 -149.568467 0 -121.811157 36.801528 248.327642 263.473300 0.142767
107.262506 -149.678888 0 -121.811165 36.801527 249.103897 263.473304 0.103732
108.267286 -149.752399 0 -121.811176 36.801526 250.111363 263.473310 0.079876
109.272067 -149.839404 0 -121.811188 36.801525 251.119904 263.473316 0.071424
110.276848 -149.895930 0 -121.811199 36.801524 252.126274 263.473323 0.046490
111.281629 -149.932829 0 -121.811210 36.801523 253.131732 263.473330 0.044923
112.286410 -149.986206 0 -121.811221 36.801522 254.137929 263.473337 0.032610
113.291191 -149.998361 0 -121.811232 36.801522 255.142784 263.473344 0.030992
114.295971 -150.048486 0 -121.811244 36.801521 256.148814 263.473350 0.093842
115.300752 -150.186943 0 -121.811255 36.801520 257.163090 263.473357 0.160247
116.305533 -150.370511 0 -121.811266 36.801519 258.184501 263.473364 0.176464
116.364638 -150.374680 0 -121.811267 36.801519 258.243753 263.473367 0.062959
117.310314 -150.433771 0 -121.811277 36.801518 259.191273 263.473371 0.040430
118.315095 -150.295823 0 -121.811288 36.801517 260.205480 263.473378 0.227274
119.319876 -149.977050 0 -121.811300 36.801516 261.259615 263.473384 0.317988
119.654803 -149.869812 1 -121.811303 36.801516 261.611291 263.473389 0.270238
120.386915 -149.688695 0 -121.811311 36.801513 262.365474 244.828270 0.105860
121.264836 -149.699375 0 -121.811320 36.801510 263.243459 244.828275 0.018125
121.485083 -149.708600 0 -121.811322 36.801509 263.463900 244.828279 0.089014
122.583251 -149.816732 0 -121.811333 36.801505 264.567379 244.828284 0.064417
123.679885 -149.849983 0 -121.811344 36.801501 265.664516 244.828292 0.030245
123.681420 -149.849946 0 -121.811344 36.801501 265.666052 244.828306 0.077139
124.779588 -149.765153 0 -121.811356 36.801497 266.767489 244.828300 0.031813
125.877756 -149.780074 0 -121.811367 36.801492 267.865758 244.828308 0.022837
126.094934 -149.795191 0 -121.811369 36.801492 268.083462 244.828313 0.080838
126.975925 -149.868848 0 -121.811378 36.801488 268.967526 244.828317 0.080097
