      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.153717     20.000     19.845   3.830401   3.808496    11.5786    11.4430     0.4074    90.3168     4.5464     1.6229     1.6227     0.8409     0.0536  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7208    33.6307    11.5761    11.4405    25.6747    25.6296   58.33813    3.59047    156.348         50 0.0000e+00
 255.153671     21.000     20.842   3.833520   3.810870    11.6191    11.3408     0.4000    90.4845     4.5547     1.5860     1.5858     0.8526     0.0541  0.0002000     0.0000 1.0000e-12     0.1296     100.00     5.0000    33.7153    33.7464    11.6164    11.3382    25.6630    25.7383   55.27184    3.39890    148.006         31 0.0000e+00
 255.153671     22.000     21.842   3.829879   3.812230    11.4842    11.4677     0.3951    90.5938     4.5602     1.5824     1.5823     0.8377     0.0535  0.0002000     0.0000 1.0000e-12     0.1297     100.00     5.0000    33.8022    33.6436    11.4814    11.4650    25.7554    25.6351   52.66408    3.24602    141.342         36 0.0000e+00
 255.153625     23.000     22.828   3.831324   3.825698    11.4943    11.4006     0.3986    90.5156     4.5563     1.6041     1.6040     0.8085     0.0523  0.0002000     0.0000 1.0000e-12     0.1297     100.00     5.0000    33.8068    33.8371    11.4915    11.3978    25.7572    25.7980   53.92839    3.32313    144.699         44 0.0000e+00
 255.153595     24.000     23.817   3.835327   3.832183    11.6818    11.4224     0.3992    90.5025     4.5556     1.6143     1.6142     0.7481     0.0499  0.0002000     0.0000 1.0000e-12     0.1296     100.00     5.0000    33.6747    33.8806    11.6787    11.4194    25.6199    25.8278   54.07612    3.32185    144.654         33 0.0000e+00
 255.153580     25.000     24.816   3.835334   3.833806    11.6786    11.6013     0.4001    90.4822     4.5546     1.6267     1.6266     0.7552     0.0502  0.0002000     0.0000 1.0000e-12     0.1298     100.00     5.0000    33.6772    33.7326    11.6755    11.5981    25.6225    25.6798   53.40713    3.28092    142.872         29 0.0000e+00
 255.153549     26.000     25.812   3.834974   3.834451    11.6728    11.6844     0.3984    90.5207     4.5565     1.6575     1.6573     0.7777     0.0511  0.0002000     0.0000 1.0000e-12     0.1299     100.00     5.0000    33.6785    33.6628    11.6696    11.6812    25.6246    25.6103   54.92957    3.37482    146.961         37 0.0000e+00
 255.153503     27.000     26.796   3.836806   3.836542    11.6962    11.6942     0.3995    90.4949     4.5553     1.7581     1.7580     0.7678     0.0507  0.0002000     0.0000 1.0000e-12     0.1307     100.00     5.0000    33.6748    33.6740    11.6928    11.6908    25.6174    25.6171   58.24815    3.57704    155.767         55 0.0000e+00
 255.153488     28.000     27.789   3.835442   3.835144    11.6776    11.6753     0.3999    90.4864     4.5548     1.8033     1.8032     0.7418     0.0497  0.0002000     0.0000 1.0000e-12     0.1318     100.00     5.0000    33.6779    33.6771    11.6741    11.6717    25.6233    25.6231   61.02958    3.74926    163.266         35 0.0000e+00
 255.153488     29.000     28.787   3.833079   3.832949    11.6510    11.6496     0.3952    90.5921     4.5601     1.8272     1.8270     0.7400     0.0496  0.0002000     0.0000 1.0000e-12     0.1315     100.00     5.0000    33.6785    33.6785    11.6473    11.6460    25.6287    25.6289   64.22946    3.94803    171.922         35 0.0000e+00
 255.152878     30.000     29.778   3.823499   3.819942    11.5477    11.5130     0.3848    90.8284     4.5718     1.8134     1.8132     0.6850     0.0474  0.0002000     0.0000 1.0000e-12     0.1312     100.00     5.0000    33.6780    33.6747    11.5440    11.5093    25.6474    25.6511   64.75332    3.98887    173.702         55 0.0000e+00
