      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 276.173950      5.000      4.960   4.516519   4.516080    19.4205    19.4213    19.4196    19.4204    87.3255     0.5421     4.5330     2.3374     2.3374     0.4313     0.0373  0.0002000     0.0000 1.0000e-12     0.1612     100.00     5.0000    5.22121   98.77763    33.2094    33.2051    23.5465    23.5430         31 0.0000e+00
 276.173981      6.000      5.954   4.516647   4.516187    19.4212    19.4219    19.4202    19.4208    87.4078     0.5383     4.5373     2.3402     2.3402     0.4108     0.0364  0.0002000     0.0000 1.0000e-12     0.1615     100.00     5.0000    5.24143   99.16176    33.2094    33.2051    23.5464    23.5429         36 0.0000e+00
 276.174011      7.000      6.956   4.516704   4.516250    19.4213    19.4219    19.4201    19.4207    87.4262     0.5375     4.5382     2.3466     2.3466     0.4090     0.0364  0.0002000     0.0000 1.0000e-12     0.1622     100.00     5.0000    5.26176   99.54654    33.2095    33.2053    23.5465    23.5431         40 0.0000e+00
 276.174042      8.000      7.943   4.516804   4.516317    19.4219    19.4221    19.4205    19.4207    87.4280     0.5374     4.5383     2.3496     2.3495     0.4204     0.0368  0.0002000     0.0000 1.0000e-12     0.1616     100.00     5.0000    5.26421   99.59397    33.2095    33.2053    23.5464    23.5431         50 0.0000e+00
 276.174072      9.000      8.933   4.516934   4.516468    19.4227    19.4234    19.4211    19.4218    87.4356     0.5371     4.5387     2.3472     2.3472     0.4090     0.0364  0.0002000     0.0000 1.0000e-12     0.1614     100.00     5.0000    5.24328   99.19952    33.2096    33.2052    23.5462    23.5427         43 0.0000e+00
 276.174103     10.000      9.926   4.516979   4.516464    19.4226    19.4227    19.4208    19.4209    87.4265     0.5375     4.5382     2.3435     2.3435     0.4063     0.0363  0.0002000     0.0000 1.0000e-12     0.1613     100.00     5.0000    5.24332   99.19995    33.2097    33.2054    23.5464    23.5431         36 0.0000e+00
 276.174103     11.000     10.925   4.516819   4.516344    19.4202    19.4207    19.4183    19.4188    86.8020     0.5665     4.5062     2.3440     2.3440     0.4112     0.0364  0.0002000     0.0000 1.0000e-12     0.1615     100.00     5.0000    5.24430   99.21442    33.2099    33.2056    23.5472    23.5438         34 0.0000e+00
 276.174133     12.000     11.914   4.516835   4.516401    19.4201    19.4209    19.4180    19.4188    87.4346     0.5371     4.5386     2.3405     2.3405     0.4136     0.0365  0.0002000     0.0000 1.0000e-12     0.1614     100.00     5.0000    5.23213   98.98383    33.2098    33.2056    23.5472    23.5438         41 0.0000e+00
 276.174194     13.000     12.904   4.516850   4.516396    19.4197    19.4203    19.4174    19.4179    87.4415     0.5368     4.5390     2.3381     2.3381     0.4041     0.0362  0.0002000     0.0000 1.0000e-12     0.1613     100.00     5.0000    5.23067   98.95546    33.2099    33.2057    23.5475    23.5441         38 0.0000e+00
 276.174194     14.000     13.902   4.516916   4.516457    19.4199    19.4206    19.4174    19.4181    87.4333     0.5372     4.5386     2.3404     2.3404     0.4096     0.0364  0.0002000     0.0000 1.0000e-12     0.1622     100.00     5.0000    5.24215   99.17303    33.2100    33.2056    23.5475    23.5440         47 0.0000e+00
