      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 274.945221      2.000      1.984   4.358400   4.357995    18.3043    18.3030    18.3039    18.3027    82.8569     0.7519     4.3041     2.3720     2.3719     0.4451     0.0378  108.55350     0.1109 1.9751e+02     2.7816      71.40     3.5699    5.45191  100.75202    32.7852    32.7828    23.5023    23.5007         32 0.0000e+00
 274.945251      3.000      2.975   4.356239   4.358698    18.2796    18.3097    18.2791    18.3091    84.9860     0.6511     4.4132     2.3724     2.3722     0.4381     0.0375  105.80009     0.1081 2.2187e+02     2.8308      70.83     3.5415    5.45976  100.85075    32.7864    32.7830    23.5093    23.4994         37 0.0000e+00
 274.945313      4.000      3.975   4.355584   4.355800    18.2726    18.2779    18.2719    18.2773    85.5157     0.6259     4.4403     2.3721     2.3720     0.4409     0.0376  72.842140     0.0744 1.9143e+02     2.7659      98.34     4.9169    5.45429  100.73606    32.7861    32.7836    23.5109    23.5076         41 0.0000e+00
 274.945374      5.000      4.958   4.353908   4.352923    18.2547    18.2476    18.2539    18.2468    85.7082     0.6169     4.4502     2.3650     2.3649     0.4414     0.0377  51.328682     0.0524 1.3091e+02     2.5999     100.00     5.0000    5.44896  100.60346    32.7859    32.7833    23.5151    23.5149         38 0.0000e+00
 274.945374      6.000      5.957   4.346117   4.342843    18.1726    18.1412    18.1716    18.1402    85.6327     0.6204     4.4463     2.3689     2.3688     0.4395     0.0376  48.428757     0.0495 1.2356e+02     2.5777     100.00     5.0000    5.47363  100.90176    32.7856    32.7831    23.5350    23.5408         27 0.0000e+00
 274.945496      7.000      6.954   4.340149   4.339064    18.1096    18.1021    18.1084    18.1009    85.7393     0.6154     4.4518     2.3587     2.3586     0.4411     0.0376  37.968643     0.0388 1.0358e+02     2.4998     100.00     5.0000    5.43152  100.00605    32.7854    32.7822    23.5503    23.5496         35 0.0000e+00
 274.945557      8.000      7.935   4.332304   4.331557    18.0278    18.0234    18.0264    18.0220    85.7161     0.6165     4.4506     2.3443     2.3442     0.4395     0.0376  31.215944     0.0319 9.3708e+01     2.4586     100.00     5.0000    5.41570   99.55904    32.7843    32.7815    23.5694    23.5683         46 0.0000e+00
 274.945587      9.000      8.934   4.319315   4.318929    17.8907    17.8904    17.8892    17.8889    85.6817     0.6181     4.4488     2.3474     2.3472     0.4551     0.0382  29.482189     0.0301 9.2037e+01     2.4504     100.00     5.0000    5.43321   99.62061    32.7840    32.7809    23.6025    23.6002         28 0.0000e+00
 274.945587     10.000      9.931   4.316760   4.316462    17.8644    17.8645    17.8628    17.8628    85.6319     0.6204     4.4463     2.3475     2.3474     0.4676     0.0387  26.081602     0.0266 8.5060e+01     2.4162     100.00     5.0000    5.44279   99.74600    32.7830    32.7804    23.6081    23.6061         31 0.0000e+00
 274.945618     11.000     10.921   4.315231   4.314916    17.8487    17.8483    17.8468    17.8465    85.6442     0.6199     4.4469     2.3510     2.3508     0.4710     0.0388  24.853283     0.0254 8.3548e+01     2.4086     100.00     5.0000    5.45520   99.94286    32.7823    32.7800    23.6115    23.6097         42 0.0000e+00
 274.945618     12.000     11.913   4.313101   4.312829    17.8256    17.8256    17.8236    17.8236    85.6044     0.6217     4.4449     2.3512     2.3511     0.4711     0.0388  24.180519     0.0247 8.1830e+01     2.3997     100.00     5.0000    5.45460   99.88819    32.7824    32.7801    23.6171    23.6153         43 0.0000e+00
 274.945648     13.000     12.907   4.311472   4.311254    17.8076    17.8086    17.8054    17.8065    85.5868     0.6226     4.4440     2.3521     2.3520     0.4546     0.0382  24.262835     0.0248 8.2801e+01     2.4047     100.00     5.0000    5.45899   99.93431    32.7827    32.7801    23.6217    23.6194         44 0.0000e+00
 274.945679     14.000     13.898   4.310397   4.310100    17.7960    17.7959    17.7936    17.7936    85.5606     0.6238     4.4426     2.3487     2.3485     0.4775     0.0391  24.148333     0.0247 8.4403e+01     2.4130     100.00     5.0000    5.44708   99.69408    32.7826    32.7801    23.6245    23.6226         50 0.0000e+00
