      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 282.907837      5.000      4.965   4.181243   4.181188    16.0051    16.0068    16.0043    16.0060    82.2002     0.7840     4.2705     2.3624     2.3624     1.5118     0.0805  105.83332     0.1081 2.4244e+02     2.8708     100.00     5.0000    5.67702  100.57852    33.1344    33.1325    24.3120    24.3101         30 0.0000e+00
 282.907898      6.000      5.957   4.181026   4.180814    16.0026    16.0027    16.0017    16.0018    82.0290     0.7924     4.2617     2.3629     2.3629     1.7300     0.0892  87.145912     0.0890 2.1178e+02     2.8101     100.00     5.0000    5.69035  100.80956    33.1341    33.1322    24.3124    24.3108         64 0.0000e+00
 282.907959      7.000      6.950   4.180818   4.180508    16.0000    15.9992    15.9990    15.9981    82.1397     0.7870     4.2674     2.3632     2.3631     1.9289     0.0972  77.939178     0.0796 1.8611e+02     2.7550     100.00     5.0000    5.68426  100.69662    33.1341    33.1320    24.3129    24.3115         27 0.0000e+00
 282.908020      8.000      7.938   4.180568   4.180428    15.9971    15.9981    15.9959    15.9968    82.3012     0.7791     4.2757     2.3617     2.3616     1.9251     0.0970  65.149750     0.0665 1.5971e+02     2.6886     100.00     5.0000    5.68654  100.73111    33.1339    33.1319    24.3135    24.3117         45 0.0000e+00
 282.908020      9.000      8.936   4.180876   4.180781    15.9997    16.0010    15.9983    15.9996    82.3263     0.7779     4.2770     2.3630     2.3629     2.0253     0.1010  56.069538     0.0573 1.4096e+02     2.6344     100.00     5.0000    5.69159  100.82570    33.1341    33.1322    24.3131    24.3113         48 0.0000e+00
 282.908081     10.000      9.925   4.181160   4.180906    16.0021    16.0019    16.0005    16.0004    82.3093     0.7787     4.2761     2.3648     2.3647     2.1046     0.1042  45.027462     0.0460 1.2265e+02     2.5737     100.00     5.0000    5.69689  100.92443    33.1343    33.1321    24.3127    24.3111         48 0.0000e+00
 282.908112     11.000     10.919   4.180768   4.180584    15.9978    15.9985    15.9961    15.9968    82.3294     0.7778     4.2771     2.3640     2.3640     2.2135     0.1085  37.201660     0.0380 1.0901e+02     2.5235     100.00     5.0000    5.69237  100.83586    33.1340    33.1318    24.3135    24.3117         47 0.0000e+00
 282.908173     12.000     11.911   4.180848   4.180702    15.9982    15.9990    15.9963    15.9972    82.3553     0.7765     4.2784     2.3643     2.3643     2.2445     0.1098  31.012821     0.0317 9.6813e+01     2.4721     100.00     5.0000    5.71023  101.15276    33.1340    33.1320    24.3135    24.3117         37 0.0000e+00
 282.908234     13.000     12.907   4.181096   4.180922    16.0001    16.0008    15.9981    15.9988    82.3578     0.7764     4.2786     2.3630     2.3630     2.2862     0.1114  31.546471     0.0322 9.5021e+01     2.4641     100.00     5.0000    5.69335  100.85778    33.1342    33.1321    24.3132    24.3115         65 0.0000e+00
 282.908295     14.000     13.897   4.181087   4.180889    15.9996    16.0000    15.9974    15.9978    82.3822     0.7752     4.2798     2.3626     2.3625     2.2774     0.1111  32.848984     0.0335 9.4865e+01     2.4634     100.00     5.0000    5.68190  100.65386    33.1342    33.1321    24.3134    24.3117         59 0.0000e+00
 282.908325     15.000     14.885   4.181097   4.180877    15.9991    15.9994    15.9968    15.9971    82.3836     0.7751     4.2799     2.3622     2.3622     2.2955     0.1118  26.331377     0.0269 8.0737e+01     2.3934     100.00     5.0000    5.69504  100.88589    33.1343    33.1321    24.3136    24.3118         43 0.0000e+00
 282.908356     16.000     15.887   4.181134   4.180902    15.9993    15.9994    15.9969    15.9970    82.3208     0.7782     4.2767     2.3637     2.3636     2.2807     0.1112  24.965549     0.0255 7.5373e+01     2.3642     100.00     5.0000    5.69183  100.82919    33.1341    33.1319    24.3134    24.3117         51 0.0000e+00
 282.908417     17.000     16.867   4.181346   4.181146    16.0010    16.0014    15.9983    15.9988    82.3673     0.7759     4.2791     2.3610     2.3609     2.2889     0.1116  23.482656     0.0240 7.2338e+01     2.3464     100.00     5.0000    5.69080  100.81430    33.1342    33.1321    24.3132    24.3114         41 0.0000e+00
 282.908447     18.000     17.866   4.181298   4.181147    16.0001    16.0010    15.9973    15.9982    82.3670     0.7759     4.2790     2.3607     2.3607     2.2710     0.1108  21.880379     0.0223 6.6725e+01     2.3115     100.00     5.0000    5.67877  100.59946    33.1341    33.1320    24.3133    24.3116         28 0.0000e+00
 282.908447     19.000     18.874   4.180782   4.180444    15.9944    15.9936    15.9914    15.9906    82.3804     0.7753     4.2797     2.3585     2.3584     2.2321     0.1093  20.225367     0.0207 6.0485e+01     2.2695     100.00     5.0000    5.67526  100.52582    33.1340    33.1316    24.3145    24.3129         28 0.0000e+00
 282.908508     20.000     19.851   4.180182   4.180090    15.9885    15.9898    15.9854    15.9866    82.4070     0.7740     4.2811     2.3567     2.3566     2.3289     0.1132  18.749466     0.0191 5.4716e+01     2.2258     100.00     5.0000    5.67576  100.52268    33.1331    33.1313    24.3153    24.3136         49 0.0000e+00
 282.908539     21.000     20.844   4.179790   4.179574    15.9840    15.9842    15.9807    15.9810    82.4834     0.7703     4.2850     2.3566     2.3565     2.3309     0.1132  16.837181     0.0172 4.7183e+01     2.1624     100.00     5.0000    5.67820  100.55698    33.1331    33.1310    24.3163    24.3146         46 0.0000e+00
 282.908539     22.000     21.846   4.179314   4.179196    15.9782    15.9796    15.9748    15.9761    82.4918     0.7699     4.2854     2.3571     2.3571     2.3530     0.1141  16.125538     0.0165 4.2962e+01     2.1223     100.00     5.0000    5.67905  100.56075    33.1333    33.1312    24.3178    24.3158         35 0.0000e+00
 282.908600     23.000     22.828   4.179258   4.179039    15.9744    15.9749    15.9708    15.9714    82.5757     0.7658     4.2897     2.3495     2.3494     2.3724     0.1149  14.904874     0.0152 3.7611e+01     2.0649     100.00     5.0000    5.64590   99.96775    33.1356    33.1333    24.3205    24.3185         42 0.0000e+00
 282.908630     24.000     23.811   4.177496   4.177643    15.9487    15.9534    15.9450    15.9496    82.7710     0.7564     4.2997     2.3397     2.3396     2.4022     0.1161  13.974097     0.0143 3.4112e+01     2.0234     100.00     5.0000    5.62310   99.51704    33.1412    33.1386    24.3305    24.3275         32 0.0000e+00
 282.908661     25.000     24.823   4.174441   4.174380    15.8969    15.8988    15.8930    15.8949    83.0538     0.7427     4.3142     2.3382     2.3382     2.3698     0.1148  13.213381     0.0135 3.1446e+01     1.9883     100.00     5.0000    5.63089   99.56301    33.1571    33.1549    24.3545    24.3524         24 0.0000e+00
 282.908691     26.000     25.812   4.171376   4.171527    15.8392    15.8434    15.8351    15.8394    83.1715     0.7371     4.3203     2.3281     2.3281     2.4364     0.1175  12.209454     0.0125 2.8184e+01     1.9415     100.00     5.0000    5.60139   98.94179    33.1779    33.1756    24.3834    24.3807         48 0.0000e+00
 282.908722     27.000     26.802   4.154482   4.152365    15.6280    15.5992    15.6239    15.5951    83.3330     0.7293     4.3285     2.3096     2.3096     2.4997     0.1200  11.153875     0.0114 2.4975e+01     1.8900     100.00     5.0000    5.55873   97.79689    33.2045    33.2098    24.4510    24.4615         43 0.0000e+00
 282.908752     28.000     27.788   4.140952   4.141398    15.4604    15.4662    15.4562    15.4619    83.4647     0.7230     4.3353     2.2990     2.2989     2.6341     0.1254  10.785125     0.0110 2.3463e+01     1.8635     100.00     5.0000    5.57070   97.69443    33.2245    33.2236    24.5036    24.5017         32 0.0000e+00
 282.908783     29.000     28.789   4.125398   4.126454    15.2902    15.2986    15.2858    15.2942    83.6019     0.7164     4.3423     2.3033     2.3033     2.6548     0.1262  9.8708935     0.0101 2.1334e+01     1.8229     100.00     5.0000    5.60611   97.98657    33.2285    33.2309    24.5441    24.5441         28 0.0000e+00
 282.908813     30.000     29.783   4.084742   4.087569    14.8670    14.8966    14.8626    14.8922    83.9008     0.7021     4.3576     2.2825     2.2824     2.7479     0.1299  8.8358383     0.0090 1.8493e+01     1.7622     100.00     5.0000    5.55654   96.30065    33.2203    33.2208    24.6298    24.6238         41 0.0000e+00
 282.908844     31.000     30.774   4.066466   4.066764    14.6767    14.6789    14.6721    14.6744    84.0209     0.6964     4.3638     2.2618     2.2618     2.7359     0.1294  7.5193019     0.0077 1.5669e+01     1.6920     100.00     5.0000    5.52383   95.36602    33.2162    33.2170    24.6675    24.6676         39 0.0000e+00
 282.908875     32.000     31.765   4.042904   4.044505    14.4308    14.4459    14.4262    14.4413    84.1683     0.6894     4.3713     2.2546     2.2546     2.5941     0.1238  7.1269140     0.0073 1.3838e+01     1.6404     100.00     5.0000    5.54143   95.19464    33.2109    33.2126    24.7155    24.7137         51 0.0000e+00
 282.908905     33.000     32.754   4.025786   4.026206    14.2410    14.2456    14.2362    14.2408    84.1719     0.6892     4.3715     2.2449     2.2448     2.5584     0.1223  6.6899643     0.0068 1.2947e+01     1.6124     100.00     5.0000    5.53055   94.64793    33.2164    33.2163    24.7598    24.7588         44 0.0000e+00
 282.908936     34.000     33.744   4.016118   4.016408    14.1301    14.1330    14.1253    14.1282    84.1482     0.6904     4.3703     2.2361     2.2361     2.5919     0.1237  5.9665127     0.0061 1.1680e+01     1.5695     100.00     5.0000    5.52722   94.38229    33.2223    33.2225    24.7875    24.7871         29 0.0000e+00
 282.908966     35.000     34.749   3.991488   3.993346    13.8633    13.8799    13.8584    13.8750    84.1461     0.6905     4.3702     2.2139     2.2139     2.6879     0.1275  5.3723602     0.0055 1.0472e+01     1.5240      95.36     4.7680    5.46452   92.81480    33.2243    33.2272    24.8442    24.8430         35 0.0000e+00
 282.908997     36.000     35.736   3.920462   3.922474    13.1110    13.1250    13.1061    13.1201    83.8463     0.7049     4.3548     2.1436     2.1436     2.7198     0.1288  4.7380099     0.0048 9.5835e+00     1.4873      97.97     4.8985    5.30033   88.63765    33.2137    33.2204    24.9881    24.9905         27 0.0000e+00
 282.909027     37.000     36.731   3.883361   3.884577    12.7283    12.7367    12.7234    12.7318    84.5556     0.6711     4.3912     2.1217     2.1217     2.4327     0.1173  4.7243390     0.0048 8.6227e+00     1.4438      99.92     4.9962    5.23636   86.86991    33.1973    33.2015    25.0508    25.0524         41 0.0000e+00
 282.909058     38.000     37.719   3.862561   3.863838    12.5160    12.5216    12.5110    12.5166    84.8094     0.6591     4.4042     2.0922     2.0922     2.3387     0.1135  4.6025734     0.0047 8.0468e+00     1.4156     100.00     5.0000    5.24610   86.63956    33.1854    33.1928    25.0827    25.0874         60 0.0000e+00
 282.909088     39.000     38.708   3.808527   3.805903    11.9425    11.9002    11.9376    11.8952    84.3318     0.6822     4.3797     2.0632     2.0632     2.1369     0.1055  3.8155692     0.0039 7.1688e+00     1.3681     100.00     5.0000    5.18093   84.53712    33.1727    33.1850    25.1818    25.1993         53 0.0000e+00
 282.909119     40.000     39.699   3.792240   3.791568    11.7383    11.7293    11.7333    11.7243    84.8372     0.6580     4.4056     2.0041     2.0041     2.0277     0.1011  3.4912753     0.0036 6.3350e+00     1.3185     100.00     5.0000    4.99749   81.20498    33.1961    33.1976    25.2380    25.2408         26 0.0000e+00
 282.909149     41.000     40.706   3.785678   3.786101    11.6367    11.6396    11.6315    11.6345    85.6120     0.6214     4.4453     1.9917     1.9917     1.8228     0.0929  3.4876716     0.0036 5.9101e+00     1.2905     100.00     5.0000    4.97055   80.60777    33.2226    33.2241    25.2773    25.2780         36 0.0000e+00
 282.909180     42.000     41.680   3.773578   3.774335    11.4991    11.5027    11.4939    11.4975    85.8172     0.6118     4.4558     1.9555     1.9555     1.7497     0.0900  3.1999056     0.0033 5.5695e+00     1.2668     100.00     5.0000    4.92066   79.56818    33.2271    33.2312    25.3061    25.3086         36 0.0000e+00
 282.909210     43.000     42.689   3.749547   3.750791    11.2531    11.2645    11.2479    11.2593    86.3882     0.5853     4.4850     1.9535     1.9535     1.4632     0.0785  2.5299888     0.0026 5.0216e+00     1.2257     100.00     5.0000    4.93613   79.39472    33.2116    33.2136    25.3387    25.3382         35 0.0000e+00
 282.909241     44.000     43.674   3.743196   3.745494    11.1840    11.2062    11.1786    11.2009    86.4675     0.5816     4.4891     1.9385     1.9385     1.3886     0.0755  2.3908803     0.0024 4.5997e+00     1.1911     100.00     5.0000    4.88332   78.42960    33.2109    33.2135    25.3506    25.3486         56 0.0000e+00
 282.909302     45.000     44.663   3.735670   3.736010    11.0860    11.0884    11.0806    11.0829    86.6529     0.5730     4.4986     1.8889     1.8890     1.3051     0.0722  2.3911645     0.0024 4.1194e+00     1.1480     100.00     5.0000    4.65589   74.62824    33.2245    33.2257    25.3787    25.3792         40 0.0000e+00
 282.909332     46.000     45.659   3.729488   3.729609    10.9571    10.9568    10.9516    10.9513    86.6705     0.5722     4.4995     1.8523     1.8524     1.2501     0.0700  1.6669037     0.0017 3.6744e+00     1.1041      96.08     4.8042    4.57583   73.16737    33.2794    33.2809    25.4444    25.4456         40 0.0000e+00
 282.909332     47.000     46.653   3.729831   3.729886    10.9345    10.9352    10.9289    10.9296    86.8272     0.5650     4.5075     1.8375     1.8376     1.1789     0.0672  1.6392990     0.0017 3.3558e+00     1.0696      99.91     4.9954    4.56038   72.89595    33.3030    33.3028    25.4668    25.4666         54 0.0000e+00
 282.909363     48.000     47.645   3.730181   3.730175    10.9292    10.9294    10.9234    10.9237    86.8479     0.5640     4.5086     1.8225     1.8226     1.2050     0.0682  1.3601269     0.0014 3.1569e+00     1.0466     100.00     5.0000    4.49764   71.88853    33.3108    33.3105    25.4739    25.4736         59 0.0000e+00
 282.909393     49.000     48.633   3.729678   3.729760    10.9041    10.9054    10.8982    10.8996    86.8573     0.5636     4.5091     1.7741     1.7741     1.2092     0.0684  1.2031403     0.0012 2.9570e+00     1.0222     100.00     5.0000    4.27081   68.23409    33.3282    33.3278    25.4919    25.4913         44 0.0000e+00
 282.909424     50.000     49.631   3.726181   3.726241    10.8170    10.8172    10.8110    10.8112    86.9279     0.5604     4.5127     1.7422     1.7423     1.1591     0.0664  1.1956823     0.0012 2.7307e+00     0.9927     100.00     5.0000    4.21285   67.20110    33.3723    33.3727    25.5416    25.5419         44 0.0000e+00
 282.909454     51.000     50.620   3.721842   3.722321    10.7368    10.7437    10.7308    10.7377    87.0048     0.5568     4.5166     1.7143     1.7144     1.0755     0.0630  1.1702722     0.0012 2.5286e+00     0.9646     100.00     5.0000    4.14491   66.01655    33.4017    33.4002    25.5786    25.5762         48 0.0000e+00
