      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 276.957275      1.000      0.937   4.467339   4.465814    19.1972    19.1975    19.1970    19.1973    87.2120     0.5473     4.5272     2.3673     2.3671     0.4376     0.0375  919.56470     0.9392 4.5076e+03     4.2591      37.17     1.8583    5.36363  100.91554    32.9827    32.9699    23.4302    23.4203          2 0.0000e+00
 276.957397      2.000      1.989   4.470902   4.470438    19.2041    19.2042    19.2037    19.2039    86.9016     0.5616     4.5113     2.3592     2.3591     0.4556     0.0382  593.96545     0.6066 1.8545e+03     3.7081      68.78     3.4392    5.32170  100.15335    33.0063    33.0024    23.4465    23.4435         52 0.0000e+00
 276.957550      3.000      2.981   4.471149   4.470631    19.2049    19.2048    19.2044    19.2043    86.7557     0.5683     4.5039     2.3478     2.3476     0.4334     0.0373  822.20752     0.8398 1.4048e+03     3.6313      97.68     4.8838    5.27484   99.27366    33.0073    33.0032    23.4471    23.4440         30 0.0000e+00
 276.957550      4.000      3.971   4.471072   4.470542    19.2016    19.2009    19.2008    19.2002    87.0624     0.5542     4.5196     2.3466     2.3465     0.4585     0.0383  521.93243     0.5331 9.0118e+02     3.4367     100.05     5.0024    5.27793   99.32656    33.0090    33.0051    23.4493    23.4465         36 0.0000e+00
 276.957581      5.000      4.964   4.471274   4.470767    19.2036    19.2030    19.2027    19.2021    87.0717     0.5538     4.5200     2.3463     2.3462     0.4371     0.0375  435.84369     0.4451 8.2725e+02     3.3969     100.00     5.0000    5.27417   99.25936    33.0087    33.0050    23.4486    23.4460         31 0.0000e+00
 276.957581      6.000      5.963   4.471100   4.470630    19.1951    19.1963    19.1941    19.1952    87.0577     0.5544     4.5193     2.3448     2.3447     0.4400     0.0376  396.80432     0.4053 8.9762e+02     3.4325      92.27     4.6137    5.27045   99.17666    33.0137    33.0089    23.4546    23.4506         45 0.0000e+00
 276.957611      7.000      6.947   4.471087   4.470616    19.1937    19.1950    19.1925    19.1937    87.0550     0.5545     4.5192     2.3405     2.3404     0.4456     0.0378  272.72946     0.2786 6.3710e+02     3.2861      80.77     4.0384    5.25753   98.93143    33.0143    33.0095    23.4555    23.4515         66 0.0000e+00
 276.957642      8.000      7.936   4.471163   4.470669    19.1931    19.1949    19.1917    19.1935    87.0754     0.5536     4.5202     2.3385     2.3384     0.4712     0.0388  279.11649     0.2851 5.0353e+02     3.1865     100.80     5.0402    5.26097   98.99534    33.0151    33.0096    23.4563    23.4516         32 0.0000e+00
 276.957642      9.000      8.939   4.471203   4.470718    19.1882    19.1889    19.1866    19.1873    87.0765     0.5535     4.5203     2.3388     2.3387     0.4366     0.0375  324.79132     0.3317 5.6835e+02     3.2380     100.00     5.0000    5.25536   98.88314    33.0190    33.0144    23.4606    23.4568         27 0.0000e+00
 276.957703     10.000      9.928   4.471282   4.470983    19.1897    19.1896    19.1879    19.1878    87.0911     0.5529     4.5210     2.3351     2.3350     0.4383     0.0375  221.01686     0.2257 5.0606e+02     3.1840     100.00     5.0000    5.24650   98.71852    33.0181    33.0157    23.4596    23.4578         42 0.0000e+00
 276.957703     11.000     10.907   4.472214   4.471795    19.1821    19.1829    19.1801    19.1810    87.0269     0.5558     4.5177     2.3333     2.3331     0.4307     0.0372  312.72498     0.3194 5.4068e+02     3.2126     100.00     5.0000    5.25406   98.85475    33.0315    33.0274    23.4717    23.4684         22 0.0000e+00
 276.957733     12.000     11.913   4.473860   4.473324    19.1818    19.1825    19.1797    19.1803    87.0695     0.5539     4.5199     2.3377     2.3375     0.4368     0.0375  257.18112     0.2627 5.4062e+02     3.2161     100.00     5.0000    5.27346   99.22723    33.0450    33.0400    23.4821    23.4782         16 0.0000e+00
 276.957733     13.000     12.920   4.474546   4.473946    19.1831    19.1835    19.1808    19.1812    87.0995     0.5525     4.5215     2.3395     2.3393     0.4386     0.0375  238.27844     0.2434 5.0094e+02     3.1817     100.00     5.0000    5.26909   99.14994    33.0492    33.0440    23.4851    23.4810         20 0.0000e+00
 276.957764     14.000     13.903   4.474651   4.474011    19.1839    19.1846    19.1815    19.1821    87.1009     0.5524     4.5215     2.3400     2.3399     0.4395     0.0376  158.50937     0.1619 4.7805e+02     3.1581     100.00     5.0000    5.27039   99.17574    33.0491    33.0433    23.4848    23.4803         45 0.0000e+00
 276.957794     15.000     14.885   4.476726   4.475780    19.1919    19.1913    19.1893    19.1886    87.1025     0.5523     4.5216     2.3432     2.3430     0.4414     0.0377  253.31818     0.2587 4.7412e+02     3.1562     100.00     5.0000    5.28042   99.38546    33.0596    33.0522    23.4908    23.4854         25 0.0000e+00
 276.957794     16.000     15.889   4.478729   4.477937    19.2008    19.2000    19.1979    19.1972    87.0977     0.5526     4.5214     2.3440     2.3438     0.4595     0.0384  200.66295     0.2049 4.9633e+02     3.1779     100.00     5.0000    5.27569   99.31821    33.0687    33.0628    23.4956    23.4913         25 0.0000e+00
 276.957825     17.000     16.884   4.480535   4.479759    19.2093    19.2084    19.2063    19.2054    87.1100     0.5520     4.5220     2.3426     2.3425     0.4409     0.0376  196.85399     0.2011 4.1174e+02     3.0962     100.00     5.0000    5.27299   99.28785    33.0765    33.0708    23.4995    23.4953         39 0.0000e+00
 276.957855     18.000     17.871   4.482771   4.481868    19.2196    19.2182    19.2164    19.2150    87.1136     0.5518     4.5222     2.3420     2.3419     0.4373     0.0375  174.03845     0.1778 3.9432e+02     3.0787     100.00     5.0000    5.26634   99.18749    33.0865    33.0801    23.5045    23.5000         51 0.0000e+00
 276.957855     19.000     18.859   4.487659   4.486737    19.2414    19.2404    19.2381    19.2370    87.1334     0.5509     4.5232     2.3439     2.3438     0.4391     0.0376  184.25194     0.1882 4.0052e+02     3.0869     100.00     5.0000    5.28156   99.52809    33.1091    33.1023    23.5162    23.5113         38 0.0000e+00
 276.957886     20.000     19.858   4.494168   4.493480    19.2663    19.2665    19.2628    19.2630    87.1645     0.5495     4.5248     2.3461     2.3459     0.4325     0.0373  142.38165     0.1454 3.7874e+02     3.0589     100.00     5.0000    5.28154   99.59361    33.1427    33.1368    23.5356    23.5311         33 0.0000e+00
 276.957886     21.000     20.851   4.496759   4.496155    19.2739    19.2742    19.2701    19.2705    87.1674     0.5494     4.5249     2.3475     2.3473     0.4557     0.0382  153.71945     0.1570 3.2699e+02     2.9985     100.00     5.0000    5.27741   99.53864    33.1577    33.1524    23.5452    23.5411         40 0.0000e+00
 276.957916     22.000     21.845   4.501589   4.500893    19.2864    19.2863    19.2825    19.2823    87.1616     0.5496     4.5246     2.3463     2.3462     0.4385     0.0375  150.32962     0.1535 3.2929e+02     3.0019     100.00     5.0000    5.27474   99.52909    33.1872    33.1816    23.5645    23.5603         51 0.0000e+00
 276.957947     23.000     22.830   4.506052   4.505656    19.2988    19.2995    19.2947    19.2954    87.1390     0.5507     4.5235     2.3491     2.3490     0.4386     0.0375  150.68414     0.1539 3.3908e+02     3.0149     100.00     5.0000    5.28751   99.80869    33.2138    33.2100    23.5817    23.5786         55 0.0000e+00
 276.957977     24.000     23.827   4.509092   4.508512    19.3017    19.3025    19.2974    19.2982    87.1388     0.5507     4.5235     2.3501     2.3500     0.4538     0.0382  142.24945     0.1453 3.1132e+02     2.9778     100.00     5.0000    5.27769   99.64209    33.2362    33.2308    23.5981    23.5938         33 0.0000e+00
 276.957977     25.000     24.822   4.509304   4.508778    19.2899    19.2912    19.2855    19.2868    87.1766     0.5489     4.5254     2.3491     2.3489     0.4478     0.0379  137.98074     0.1409 3.1903e+02     2.9883     100.00     5.0000    5.28149   99.69834    33.2470    33.2416    23.6094    23.6050         47 0.0000e+00
 276.958008     26.000     25.805   4.508952   4.508409    19.2824    19.2828    19.2778    19.2782    87.1910     0.5483     4.5261     2.3483     2.3481     0.4614     0.0385  109.46147     0.1118 2.5827e+02     2.8973     100.00     5.0000    5.28116   99.67987    33.2497    33.2449    23.6135    23.6097         34 0.0000e+00
 276.958038     27.000     26.805   4.508272   4.507741    19.2706    19.2711    19.2658    19.2663    87.1950     0.5481     4.5264     2.3492     2.3491     0.4387     0.0375  140.72884     0.1437 2.9771e+02     2.9584     100.00     5.0000    5.28772   99.78368    33.2532    33.2484    23.6192    23.6154         24 0.0000e+00
 276.958038     28.000     27.805   4.507120   4.506688    19.2520    19.2540    19.2470    19.2491    87.1982     0.5479     4.5265     2.3501     2.3499     0.4460     0.0378  116.91605     0.1194 2.8297e+02     2.9360     100.00     5.0000    5.29321   99.85582    33.2582    33.2530    23.6278    23.6233         27 0.0000e+00
 276.958069     29.000     28.794   4.505457   4.504684    19.2274    19.2255    19.2222    19.2203    87.1880     0.5484     4.5260     2.3513     2.3512     0.4659     0.0386  103.50929     0.1057 2.4743e+02     2.8775     100.00     5.0000    5.29874   99.91762    33.2638    33.2589    23.6383    23.6351         63 0.0000e+00
 276.958099     30.000     29.783   4.500410   4.499688    19.1580    19.1558    19.1527    19.1505    87.1775     0.5489     4.5255     2.3507     2.3506     0.4387     0.0375  97.657791     0.0997 2.3647e+02     2.8579     100.00     5.0000    5.30561   99.92582    33.2772    33.2730    23.6663    23.6636         65 0.0000e+00
 276.958130     31.000     30.776   4.492890   4.492473    19.0590    19.0613    19.0536    19.0558    87.1495     0.5502     4.5240     2.3588     2.3587     0.4419     0.0377  105.98055     0.1082 2.3973e+02     2.8645     100.00     5.0000    5.35438  100.66837    33.2939    33.2886    23.7041    23.6995         42 0.0000e+00
 276.958130     32.000     31.766   4.472261   4.472168    18.8566    18.8626    18.8510    18.8570    87.1605     0.5497     4.5246     2.3659     2.3658     0.4669     0.0387  91.576416     0.0935 2.2564e+02     2.8380     100.00     5.0000    5.39447  101.03323    33.2847    33.2791    23.7481    23.7423         34 0.0000e+00
 276.958160     33.000     32.755   4.456277   4.456219    18.7107    18.7142    18.7049    18.7084    87.1172     0.5517     4.5224     2.3718     2.3716     0.4745     0.0390  83.884872     0.0857 2.0521e+02     2.7974     100.00     5.0000    5.46098  101.98985    33.2685    33.2652    23.7724    23.7690         24 0.0000e+00
 276.958160     34.000     33.759   4.447027   4.446929    18.6230    18.6271    18.6171    18.6212    87.1713     0.5492     4.5251     2.3919     2.3917     0.4740     0.0390  87.753288     0.0896 2.0538e+02     2.7977     100.00     5.0000    5.53098  103.12305    33.2614    33.2574    23.7889    23.7848         22 0.0000e+00
 276.958160     35.000     34.755   4.433401   4.434148    18.4996    18.5097    18.4936    18.5036    87.1769     0.5489     4.5254     2.3919     2.3918     0.4745     0.0390  86.191429     0.0880 2.0746e+02     2.8020     100.00     5.0000    5.46660  101.67792    33.2465    33.2447    23.8081    23.8042         27 0.0000e+00
 276.958221     36.000     35.740   4.402679   4.397342    18.2111    18.1809    18.2050    18.1748    87.1198     0.5515     4.5225     2.3842     2.3840     0.4725     0.0389  73.180382     0.0747 1.8249e+02     2.7462     100.00     5.0000    5.48951  101.53159    33.2209    33.2004    23.8597    23.8514         50 0.0000e+00
 276.958252     37.000     36.724   4.343078   4.342956    17.6621    17.6654    17.6560    17.6592    87.0920     0.5528     4.5211     2.4033     2.4031     0.4681     0.0387  72.175568     0.0737 1.8118e+02     2.7433     100.00     5.0000    5.64721  103.32917    33.1611    33.1574    23.9474    23.9439         25 0.0000e+00
 276.958252     38.000     37.727   4.333770   4.333547    17.4928    17.4968    17.4865    17.4905    87.0670     0.5540     4.5198     2.4068     2.4066     0.4681     0.0387  66.645142     0.0681 1.6785e+02     2.7103     100.00     5.0000    5.68275  103.67921    33.2196    33.2144    24.0329    24.0279         21 0.0000e+00
 276.958282     39.000     38.718   4.324204   4.324677    17.3763    17.3847    17.3699    17.3783    87.0836     0.5532     4.5206     2.4154     2.4152     0.4699     0.0388  63.249809     0.0646 1.6030e+02     2.6904     100.00     5.0000    5.77791  105.18743    33.2326    33.2297    24.0707    24.0665         22 0.0000e+00
 276.958282     40.000     39.711   4.280994   4.282326    16.9895    17.0066    16.9830    17.0001    87.0596     0.5543     4.5194     2.4437     2.4435     0.4685     0.0387  61.556698     0.0629 1.5403e+02     2.6731     100.00     5.0000    5.90173  106.61005    33.1776    33.1750    24.1199    24.1138         22 0.0000e+00
 276.958282     41.000     40.706   4.247131   4.248014    16.6902    16.7010    16.6837    16.6944    87.0366     0.5554     4.5182     2.4436     2.4434     0.4728     0.0389  61.593445     0.0629 1.5146e+02     2.6658     100.00     5.0000    5.82968  104.67123    33.1300    33.1289    24.1532    24.1498         23 0.0000e+00
 276.958313     42.000     41.704   4.208613   4.209457    16.3308    16.3400    16.3242    16.3333    86.9735     0.5583     4.5150     2.4294     2.4293     0.4787     0.0391  54.153706     0.0553 1.4086e+02     2.6341     100.00     5.0000    5.82093  103.75980    33.0904    33.0902    24.2055    24.2032         28 0.0000e+00
 276.958344     43.000     42.681   4.229315   4.208174    16.5110    16.3071    16.5041    16.3003    87.0431     0.5551     4.5186     2.4429     2.4427     0.4932     0.0397  50.429222     0.0515 1.3365e+02     2.6115     100.00     5.0000    5.93246  106.14223    33.1219    33.1059    24.1882    24.2229         31 0.0000e+00
 276.958374     44.000     43.671   4.198704   4.198799    16.1890    16.1944    16.1822    16.1875    87.0121     0.5565     4.5170     2.4598     2.4596     0.4921     0.0397  43.328171     0.0443 1.2011e+02     2.5653     100.00     5.0000    6.03688  107.33135    33.1204    33.1168    24.2610    24.2570         16 0.0000e+00
 276.958374     45.000     44.676   4.200116   4.200277    16.1882    16.1915    16.1812    16.1845    87.0070     0.5567     4.5167     2.4672     2.4670     0.4993     0.0400  39.871265     0.0407 1.0960e+02     2.5259     100.00     5.0000    6.06592  107.85412    33.1332    33.1319    24.2710    24.2692         15 0.0000e+00
 276.958374     46.000     45.677   4.186953   4.187703    16.0327    16.0420    16.0255    16.0348    86.9487     0.5594     4.5137     2.4787     2.4785     0.4938     0.0398  39.456356     0.0403 1.0562e+02     2.5099     100.00     5.0000    6.10944  108.30589    33.1463    33.1452    24.3164    24.3134         18 0.0000e+00
 276.958374     47.000     46.661   4.179898   4.180141    15.9240    15.9292    15.9167    15.9219    87.0384     0.5553     4.5183     2.4838     2.4836     0.4961     0.0398  40.892559     0.0418 1.0735e+02     2.5169     100.00     5.0000    6.09319  107.80624    33.1744    33.1722    24.3625    24.3596         19 0.0000e+00
 276.958405     48.000     47.658   4.179404   4.179587    15.8809    15.8846    15.8735    15.8772    87.0521     0.5547     4.5190     2.4789     2.4788     0.5059     0.0402  41.675915     0.0426 1.1015e+02     2.5280     100.00     5.0000    6.03272  106.66647    33.2058    33.2043    24.3963    24.3943         22 0.0000e+00
 276.958405     49.000     48.649   4.183259   4.184020    15.8940    15.9037    15.8864    15.8961    87.0624     0.5542     4.5196     2.4660     2.4658     0.5223     0.0409  36.002735     0.0368 1.0044e+02     2.4878     100.00     5.0000    6.01235  106.34863    33.2287    33.2273    24.4109    24.4076         39 0.0000e+00
 276.958435     50.000     49.620   4.180123   4.187924    15.8425    15.9532    15.8347    15.9454    87.0520     0.5547     4.5190     2.4686     2.4684     0.4967     0.0399  35.041008     0.0358 9.7922e+01     2.4771     100.00     5.0000    6.04935  106.90317    33.2438    33.2200    24.4340    24.3909         25 0.0000e+00
 276.958466     51.000     50.624   4.149988   4.151676    15.4885    15.5047    15.4808    15.4970    87.0693     0.5539     4.5199     2.4665     2.4663     0.5035     0.0401  31.313791     0.0320 9.0172e+01     2.4415     100.00     5.0000    6.07666  106.65842    33.2728    33.2742    24.5354    24.5329         16 0.0000e+00
 276.958466     52.000     51.631   4.138923   4.139206    15.3531    15.3583    15.3452    15.3504    87.0862     0.5531     4.5208     2.4636     2.4634     0.4953     0.0398  29.841736     0.0305 8.4451e+01     2.4132     100.00     5.0000    6.08588  106.54392    33.2879    33.2861    24.5769    24.5743         15 0.0000e+00
 276.958466     53.000     52.624   4.130497   4.131049    15.2509    15.2576    15.2429    15.2496    87.1347     0.5509     4.5233     2.4622     2.4620     0.4977     0.0399  28.456314     0.0291 8.0762e+01     2.3940     100.00     5.0000    6.10365  106.64537    33.2985    33.2978    24.6074    24.6054         19 0.0000e+00
 276.958496     54.000     53.614   4.120615   4.121089    15.1513    15.1574    15.1432    15.1493    87.1460     0.5503     4.5238     2.4615     2.4613     0.5119     0.0405  27.612885     0.0282 7.8774e+01     2.3832     100.00     5.0000    6.10999  106.54193    33.2937    33.2927    24.6255    24.6235         25 0.0000e+00
 276.958496     55.000     54.606   4.109666   4.110344    15.0463    15.0556    15.0382    15.0474    87.1519     0.5501     4.5241     2.4540     2.4538     0.5278     0.0411  26.877972     0.0275 7.5249e+01     2.3633      95.83     4.7916    6.07903  105.77431    33.2837    33.2819    24.6407    24.6373         41 0.0000e+00
 276.958527     56.000     55.590   4.099324   4.099848    14.9410    14.9566    14.9327    14.9483    87.1215     0.5515     4.5226     2.4266     2.4264     0.5488     0.0420  23.636696     0.0241 6.7586e+01     2.3172     100.01     5.0006    5.97717  103.78111    33.2794    33.2709    24.6602    24.6503         49 0.0000e+00
 276.958557     57.000     56.578   4.085557   4.085671    14.8157    14.8174    14.8073    14.8090    87.1820     0.5487     4.5257     2.3983     2.3981     0.5448     0.0418  23.530146     0.0240 6.6434e+01     2.3097     100.01     5.0005    5.89298  102.05115    33.2610    33.2606    24.6731    24.6724         26 0.0000e+00
 276.958557     58.000     57.575   4.072324   4.072891    14.6907    14.6984    14.6822    14.6899    87.1910     0.5483     4.5261     2.3842     2.3840     0.5496     0.0420  22.700384     0.0232 6.3761e+01     2.2920     100.00     5.0000    5.88937  101.72484    33.2470    33.2456    24.6891    24.6864         21 0.0000e+00
