      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 272.984131      1.000      0.993   3.962527   3.963075    13.3202    13.3254    13.3201    13.3252    79.2884     0.9284     4.1213     2.2870     2.2869     3.6042     0.1642  100.63945     0.1028 4.6171e+02     3.1278     100.00     5.0000    5.76041   96.88460    33.4411    33.4418    25.1215    25.1210         53 0.0000e+00
 272.984772      2.000      1.989   3.971675   3.969070    13.4186    13.3904    13.4183    13.3901    77.9668     0.9957     4.0536     2.3423     2.3422     4.1090     0.1844  70.914795     0.0724 1.9475e+02     2.7831     100.00     5.0000    5.94458  100.18273    33.4404    33.4407    25.1011    25.1070         54 0.0000e+00
 272.985077      3.000      2.974   3.983351   3.979902    13.5407    13.5064    13.5402    13.5060    77.9455     0.9967     4.0526     2.3253     2.3252     4.8994     0.2160  44.402882     0.0454 1.4818e+02     2.6557     100.00     5.0000    5.78325   97.71015    33.4424    33.4401    25.0780    25.0832         58 0.0000e+00
 272.985077      4.000      3.971   3.969495   3.967726    13.3882    13.3710    13.3876    13.3704    77.8162     1.0034     4.0459     2.3049     2.3047     4.3609     0.1944  27.136314     0.0277 1.1294e+02     2.5374     100.00     5.0000    5.81151   97.88248    33.4458    33.4443    25.1115    25.1138         42 0.0000e+00
 272.985107      5.000      4.965   3.958461   3.958342    13.2621    13.2688    13.2614    13.2681    77.9858     0.9946     4.0546     2.3239     2.3237     4.1509     0.1860  12.887540     0.0132 8.2204e+01     2.3991     100.00     5.0000    5.93461   99.70208    33.4524    33.4454    25.1420    25.1352         65 0.0000e+00
 272.985138      6.000      5.952   3.980120   3.981522    13.5074    13.5238    13.5065    13.5230    77.5066     1.0193     4.0301     2.3059     2.3057     4.3789     0.1952  6.2360239     0.0064 6.2966e+01     2.2870     100.00     5.0000    5.63330   95.10969    33.4401    33.4388    25.0831    25.0787         46 0.0000e+00
 272.985168      7.000      6.953   3.981581   3.975949    13.5228    13.4563    13.5218    13.4553    77.5729     1.0158     4.0335     2.2400     2.2399     4.1807     0.1872  0.4527241     0.0005 5.0927e+01     2.1944     100.00     5.0000    5.43402   91.77541    33.4398    33.4453    25.0797    25.0973         42 0.0000e+00
 272.985199      8.000      7.939   3.923149   3.922962    12.8754    12.8741    12.8743    12.8731    80.4553     0.8702     4.1811     2.1373     2.1371     2.7320     0.1293 -0.0025702    -0.0000 3.8726e+01     2.0773     100.00     5.0000    5.15262   85.88121    33.4582    33.4576    25.2234    25.2232         55 0.0000e+00
 272.985199      9.000      8.932   3.913175   3.914467    12.7566    12.7708    12.7554    12.7696    82.6707     0.7613     4.2946     2.0793     2.0792     2.0879     0.1035  0.0002000     0.0000 3.2382e+01     2.0007     100.00     5.0000    5.05643   84.07587    33.4682    33.4678    25.2544    25.2514         40 0.0000e+00
 272.985229     10.000      9.929   3.904449   3.905132    12.6590    12.6670    12.6577    12.6657    83.5650     0.7182     4.3404     2.0418     2.0417     1.3440     0.0738  0.0002000     0.0000 2.7210e+01     1.9257     100.00     5.0000    4.95796   82.27353    33.4711    33.4705    25.2758    25.2738         57 0.0000e+00
 272.985260     11.000     10.917   3.889872   3.890270    12.5003    12.5056    12.4988    12.5042    83.9926     0.6978     4.3623     1.9909     1.9908     1.1451     0.0658  0.0002000     0.0000 2.1637e+01     1.8288     100.00     5.0000    4.84272   80.09670    33.4724    33.4714    25.3076    25.3058         62 0.0000e+00
 272.985291     12.000     11.908   3.875339   3.875424    12.3442    12.3444    12.3426    12.3428    84.5491     0.6714     4.3908     1.9690     1.9689     1.1355     0.0654  0.0002000     0.0000 1.8545e+01     1.7638     100.00     5.0000    4.81451   79.37098    33.4716    33.4722    25.3370    25.3375         37 0.0000e+00
 272.985321     13.000     12.907   3.870485   3.870665    12.2919    12.2938    12.2902    12.2921    85.0018     0.6500     4.4140     1.9619     1.9618     1.1336     0.0653  0.0002000     0.0000 1.7232e+01     1.7327     100.00     5.0000    4.82434   79.44597    33.4711    33.4711    25.3467    25.3463         35 0.0000e+00
