      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 277.767883      5.000      4.975   4.474120   4.473712    19.1984    19.1996    19.1976    19.1987    87.4288     0.5374     4.5383     2.3379     2.3379     0.4044     0.0362  189.76382     0.1938 3.4632e+02     3.0258     100.00     5.0000    5.24356   98.69009    33.0363    33.0321    23.4710    23.4675         15 0.0000e+00
 277.767914      6.000      5.960   4.474690   4.474265    19.2000    19.2009    19.1990    19.1998    87.4332     0.5372     4.5386     2.3286     2.3286     0.4265     0.0371  154.62688     0.1579 2.9298e+02     2.9508     100.00     5.0000    5.20675   98.00197    33.0394    33.0352    23.4730    23.4696         38 0.0000e+00
 277.767914      7.000      6.946   4.474685   4.474245    19.2007    19.2016    19.1995    19.2003    87.4313     0.5373     4.5385     2.3241     2.3241     0.4237     0.0369  133.24316     0.1361 2.5755e+02     2.8958     100.00     5.0000    5.22214   98.29244    33.0385    33.0342    23.4722    23.4687         34 0.0000e+00
 277.767944      8.000      7.944   4.474792   4.474321    19.2017    19.2025    19.2003    19.2011    87.4354     0.5371     4.5387     2.3275     2.3275     0.4391     0.0376  119.48866     0.1220 2.3577e+02     2.8574     100.00     5.0000    5.22850   98.41369    33.0383    33.0337    23.4718    23.4681         30 0.0000e+00
 277.767944      9.000      8.940   4.474850   4.474381    19.2021    19.2031    19.2005    19.2015    87.4491     0.5365     4.5394     2.3281     2.3280     0.4376     0.0375  107.49181     0.1098 2.1996e+02     2.8273     100.00     5.0000    5.23403   98.51859    33.0380    33.0334    23.4715    23.4678         35 0.0000e+00
 277.767975     10.000      9.927   4.474866   4.474428    19.2017    19.2022    19.1999    19.2004    87.4457     0.5366     4.5392     2.3326     2.3326     0.4347     0.0374  93.732971     0.0957 2.0210e+02     2.7907     100.00     5.0000    5.24445   98.71381    33.0382    33.0341    23.4718    23.4686         61 0.0000e+00
 277.768005     11.000     10.914   4.474743   4.474322    19.1997    19.2011    19.1977    19.1992    87.4191     0.5378     4.5378     2.3326     2.3326     0.4390     0.0376  98.869514     0.1010 2.1701e+02     2.8216     100.00     5.0000    5.24473   98.71555    33.0384    33.0338    23.4725    23.4686         29 0.0000e+00
 277.768005     12.000     11.907   4.474838   4.474426    19.2006    19.2019    19.1985    19.1998    87.4303     0.5373     4.5384     2.3330     2.3330     0.4263     0.0371  98.323387     0.1004 2.1452e+02     2.8166      95.22     4.7608    5.24603   98.74152    33.0381    33.0337    23.4721    23.4684         20 0.0000e+00
 277.768005     13.000     12.909   4.474782   4.474303    19.2003    19.2012    19.1980    19.1989    87.4389     0.5369     4.5388     2.3341     2.3341     0.4238     0.0370  88.863495     0.0908 2.0341e+02     2.7935      99.99     4.9995    5.25725   98.95189    33.0375    33.0329    23.4718    23.4680         19 0.0000e+00
 277.768036     14.000     13.909   4.474837   4.474391    19.2006    19.2018    19.1981    19.1993    87.4487     0.5365     4.5393     2.3373     2.3373     0.4367     0.0375  86.599350     0.0884 1.9949e+02     2.7851     100.00     5.0000    5.26352   99.07029    33.0374    33.0328    23.4717    23.4678         24 0.0000e+00
 277.768066     15.000     14.892   4.475029   4.474524    19.2016    19.2024    19.1989    19.1997    87.4534     0.5363     4.5396     2.3369     2.3368     0.4400     0.0376  86.717117     0.0886 2.0338e+02     2.7935     100.00     5.0000    5.25666   98.94326    33.0379    33.0331    23.4718    23.4679         39 0.0000e+00
 277.768066     16.000     15.877   4.477019   4.476524    19.1993    19.2004    19.1965    19.1976    87.4522     0.5363     4.5395     2.3374     2.3374     0.4373     0.0375  90.861282     0.0928 2.0963e+02     2.8066     100.00     5.0000    5.26294   99.06799    33.0557    33.0508    23.4861    23.4820         24 0.0000e+00
 277.768097     17.000     16.884   4.478592   4.477528    19.2005    19.2014    19.1975    19.1984    87.4326     0.5372     4.5385     2.3396     2.3396     0.4120     0.0365  88.125206     0.0900 2.0961e+02     2.8065     100.00     5.0000    5.27625   99.32756    33.0675    33.0580    23.4948    23.4873         23 0.0000e+00
 277.768097     18.000     17.876   4.480847   4.479683    19.2009    19.2016    19.1977    19.1984    87.4384     0.5369     4.5388     2.3429     2.3428     0.4423     0.0377  84.340561     0.0861 2.0299e+02     2.7926     100.00     5.0000    5.28129   99.43375    33.0854    33.0752    23.5084    23.5005         39 0.0000e+00
 277.768127     19.000     18.858   4.484461   4.484372    19.2013    19.2027    19.1980    19.1993    87.4273     0.5374     4.5383     2.3469     2.3468     0.4483     0.0379  93.064262     0.0951 2.1740e+02     2.8224     100.00     5.0000    5.29072   99.62939    33.1146    33.1128    23.5306    23.5289         35 0.0000e+00
 277.768127     20.000     19.855   4.493174   4.493450    19.2191    19.2217    19.2155    19.2182    87.4092     0.5383     4.5373     2.3460     2.3460     0.4401     0.0376  90.256798     0.0922 2.1652e+02     2.8206     100.00     5.0000    5.27429   99.38687    33.1721    33.1723    23.5701    23.5695         25 0.0000e+00
 277.768158     21.000     20.854   4.499244   4.498597    19.2346    19.2351    19.2309    19.2314    87.4583     0.5360     4.5398     2.3447     2.3447     0.4327     0.0373  89.299423     0.0912 2.1154e+02     2.8105     100.00     5.0000    5.27268   99.40750    33.2095    33.2037    23.5947    23.5902         27 0.0000e+00
 277.768158     22.000     21.844   4.501534   4.500869    19.2376    19.2383    19.2337    19.2344    87.4660     0.5357     4.5402     2.3463     2.3463     0.4554     0.0382  89.514877     0.0914 2.1259e+02     2.8127     100.00     5.0000    5.28795   99.71062    33.2257    33.2196    23.6063    23.6015         33 0.0000e+00
 277.768188     23.000     22.835   4.501491   4.500707    19.2179    19.2128    19.2138    19.2087    87.4585     0.5360     4.5399     2.3506     2.3506     0.4426     0.0377  85.296852     0.0871 2.0434e+02     2.7955     100.00     5.0000    5.29834   99.87872    33.2407    33.2383    23.6229    23.6223         35 0.0000e+00
 277.768188     24.000     23.829   4.497396   4.496642    19.1510    19.1480    19.1468    19.1438    87.4964     0.5343     4.5418     2.3496     2.3496     0.4410     0.0376  85.977135     0.0878 2.0957e+02     2.8064     100.00     5.0000    5.29094   99.62640    33.2600    33.2561    23.6546    23.6524         40 0.0000e+00
 277.768219     25.000     24.820   4.496442   4.496267    19.1333    19.1377    19.1289    19.1333    87.5133     0.5335     4.5427     2.3517     2.3517     0.4427     0.0377  84.108749     0.0859 2.0363e+02     2.7940     100.00     5.0000    5.32972  100.32705    33.2659    33.2609    23.6637    23.6587         42 0.0000e+00
 277.768250     26.000     25.803   4.493612   4.493684    19.1015    19.1076    19.0970    19.1031    87.5094     0.5337     4.5425     2.3636     2.3636     0.4401     0.0376  77.900909     0.0796 1.9371e+02     2.7723     100.00     5.0000    5.36218  100.87931    33.2675    33.2632    23.6730    23.6682         25 0.0000e+00
 277.768250     27.000     26.806   4.486000   4.487410    19.0126    19.0346    19.0078    19.0298    87.4902     0.5346     4.5415     2.3665     2.3665     0.4405     0.0376  76.662857     0.0783 1.8596e+02     2.7547     100.00     5.0000    5.37261  100.91250    33.2754    33.2694    23.7015    23.6914         21 0.0000e+00
