      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 282.060486      2.000      1.985   4.194602   4.194329    16.0097    16.0106    16.0094    16.0103    80.5538     0.8650     4.1862     2.3611     2.3610     2.8163     0.1327  9.6495037     0.0099 2.5067e+01     1.9000     100.00     5.0000    5.67330  100.59261    33.2499    33.2467    24.3996    24.3970         32 0.0000e+00
 282.060547      3.000      2.970   4.194634   4.194344    16.0096    16.0102    16.0091    16.0097    81.1982     0.8331     4.2192     2.3621     2.3620     2.9841     0.1394  6.6958117     0.0068 1.4445e+01     1.6577     100.00     5.0000    5.67311  100.58887    33.2499    33.2469    24.3997    24.3972         35 0.0000e+00
 282.060547      4.000      3.977   4.194654   4.194351    16.0091    16.0098    16.0085    16.0092    81.2163     0.8322     4.2201     2.3616     2.3615     2.8516     0.1341  5.8805742     0.0060 1.0959e+01     1.5414     100.00     5.0000    5.67552  100.63084    33.2501    33.2468    24.4000    24.3973         35 0.0000e+00
 282.060608      5.000      4.952   4.194728   4.194427    16.0093    16.0100    16.0085    16.0092    81.2689     0.8296     4.2228     2.3609     2.3607     2.8912     0.1356  4.8716617     0.0050 9.1355e+00     1.4679     100.00     5.0000    5.67754  100.66719    33.2502    33.2470    24.4001    24.3974         20 0.0000e+00
 282.060608      6.000      5.967   4.194765   4.194461    16.0095    16.0100    16.0085    16.0091    81.3075     0.8277     4.2248     2.3617     2.3616     2.8405     0.1336  4.8358374     0.0049 8.5033e+00     1.4381     100.00     5.0000    5.67626  100.64471    33.2500    33.2469    24.3999    24.3974         23 0.0000e+00
 282.060638      7.000      6.951   4.194781   4.194499    16.0092    16.0100    16.0081    16.0089    81.2859     0.8288     4.2237     2.3604     2.3602     2.9510     0.1380  3.7153609     0.0038 6.9981e+00     1.3584     100.00     5.0000    5.66994  100.53198    33.2500    33.2468    24.4000    24.3974         43 0.0000e+00
 282.060699      8.000      7.944   4.194817   4.194521    16.0092    16.0098    16.0080    16.0086    81.3565     0.8253     4.2273     2.3574     2.3573     2.9215     0.1369  3.4817963     0.0036 6.1745e+00     1.3078     100.00     5.0000    5.66001  100.35590    33.2499    33.2468    24.4000    24.3974         43 0.0000e+00
 282.060730      9.000      8.926   4.194903   4.194591    16.0095    16.0102    16.0081    16.0088    81.3764     0.8243     4.2283     2.3536     2.3534     2.8874     0.1355  2.5728807     0.0026 5.2654e+00     1.2445     100.00     5.0000    5.65427  100.25477    33.2501    33.2467    24.4001    24.3973         31 0.0000e+00
 282.060760     10.000      9.933   4.194937   4.194640    16.0095    16.0102    16.0079    16.0087    81.3227     0.8270     4.2255     2.3552     2.3551     2.8598     0.1344  2.3243320     0.0024 4.6273e+00     1.1932     100.00     5.0000    5.66185  100.38920    33.2500    33.2468    24.4000    24.3974         31 0.0000e+00
 282.060791     11.000     10.919   4.195025   4.194732    16.0098    16.0104    16.0081    16.0087    81.3646     0.8249     4.2277     2.3544     2.3542     2.9473     0.1379  2.1807432     0.0022 4.1839e+00     1.1540     100.00     5.0000    5.65747  100.31234    33.2501    33.2470    24.4001    24.3976         53 0.0000e+00
 282.060822     12.000     11.914   4.194930   4.194621    16.0085    16.0090    16.0066    16.0071    81.3584     0.8252     4.2274     2.3542     2.3540     2.8556     0.1342  1.5042510     0.0015 3.5099e+00     1.0862     100.00     5.0000    5.65575  100.27897    33.2500    33.2469    24.4003    24.3978         61 0.0000e+00
 282.060852     13.000     12.904   4.195028   4.194715    16.0092    16.0094    16.0072    16.0074    81.3937     0.8235     4.2292     2.3539     2.3538     2.8064     0.1323  1.4897647     0.0015 3.3681e+00     1.0711     100.00     5.0000    5.65488  100.26490    33.2499    33.2470    24.4001    24.3978         57 0.0000e+00
 282.060883     14.000     13.896   4.195093   4.194814    16.0093    16.0101    16.0072    16.0079    81.3762     0.8244     4.2283     2.3532     2.3531     2.8490     0.1340  1.2174456     0.0012 2.9882e+00     1.0259     100.00     5.0000    5.65450  100.25851    33.2500    33.2469    24.4002    24.3977         45 0.0000e+00
 282.060913     15.000     14.892   4.195230   4.194961    16.0104    16.0110    16.0081    16.0086    81.3018     0.8280     4.2245     2.3537     2.3536     2.8698     0.1348  1.2211314     0.0012 2.8042e+00     1.0025     100.00     5.0000    5.64901  100.16326    33.2499    33.2471    24.3999    24.3976         47 0.0000e+00
 282.060974     16.000     15.884   4.195302   4.195005    16.0104    16.0110    16.0079    16.0086    81.3942     0.8235     4.2292     2.3510     2.3509     2.8797     0.1352  1.1986620     0.0012 2.4941e+00     0.9593     100.00     5.0000    5.65232  100.22207    33.2502    33.2470    24.4002    24.3976         54 0.0000e+00
 282.061005     17.000     16.871   4.195303   4.195009    16.0099    16.0105    16.0073    16.0079    81.4089     0.8227     4.2300     2.3520     2.3519     2.8509     0.1340  1.0873510     0.0011 2.2554e+00     0.9235     100.00     5.0000    5.64989  100.17807    33.2503    33.2471    24.4004    24.3978         61 0.0000e+00
 282.061005     18.000     17.869   4.195099   4.194910    16.0074    16.0092    16.0046    16.0064    81.4179     0.8223     4.2304     2.3508     2.3507     2.9033     0.1361  0.8608391     0.0009 2.0422e+00     0.8884     100.00     5.0000    5.65802  100.31719    33.2501    33.2470    24.4009    24.3980         32 0.0000e+00
 282.061066     19.000     18.864   4.194360   4.194599    15.9990    16.0054    15.9961    16.0025    81.5746     0.8146     4.2384     2.3522     2.3521     2.9052     0.1362  0.6224158     0.0006 1.8358e+00     0.8514     100.00     5.0000    5.66045  100.34395    33.2503    33.2470    24.4029    24.3990         45 0.0000e+00
 282.061096     20.000     19.853   4.193983   4.193598    15.9947    15.9944    15.9916    15.9913    81.6479     0.8110     4.2422     2.3520     2.3519     2.8227     0.1329  0.1597988     0.0002 1.5469e+00     0.7940     100.00     5.0000    5.66192  100.36140    33.2502    33.2470    24.4038    24.4015         60 0.0000e+00
 282.061127     21.000     20.844   4.194025   4.193784    15.9947    15.9959    15.9914    15.9926    81.6362     0.8116     4.2416     2.3556     2.3555     2.8598     0.1344  0.0975297     0.0001 1.4112e+00     0.7643     100.00     5.0000    5.67432  100.58107    33.2502    33.2471    24.4039    24.4012         49 0.0000e+00
 282.061157     22.000     21.841   4.194693   4.194254    16.0012    16.0003    15.9977    15.9969    81.5755     0.8146     4.2385     2.3542     2.3540     2.8440     0.1338  0.0408770     0.0000 1.2730e+00     0.7316     100.00     5.0000    5.66135  100.36405    33.2503    33.2471    24.4025    24.4003         57 0.0000e+00
 282.061188     23.000     22.827   4.195394   4.195079    16.0083    16.0088    16.0047    16.0052    81.5060     0.8180     4.2349     2.3487     2.3486     2.8202     0.1328  0.0047266     0.0000 1.1652e+00     0.7042     100.00     5.0000    5.63547   99.91921    33.2501    33.2469    24.4008    24.3983         37 0.0000e+00
 282.061218     24.000     23.823   4.194570   4.194443    15.9983    16.0011    15.9946    15.9974    81.6280     0.8120     4.2412     2.3437     2.3436     2.7813     0.1313  0.0002000     0.0000 1.0512e+00     0.6734     100.00     5.0000    5.62591   99.73064    33.2508    33.2474    24.4036    24.4004         37 0.0000e+00
 282.061249     25.000     24.821   4.187585   4.188688    15.9142    15.9305    15.9103    15.9266    81.8851     0.7994     4.2544     2.3256     2.3255     2.8063     0.1323  0.0002000     0.0000 9.2508e-01     0.6364     100.00     5.0000    5.56049   98.41425    33.2592    33.2552    24.4291    24.4224         39 0.0000e+00
 282.061310     26.000     25.809   4.163890   4.165467    15.6334    15.6510    15.6294    15.6471    82.4678     0.7711     4.2842     2.2771     2.2770     2.6055     0.1242  0.0002000     0.0000 8.1661e-01     0.6019     100.00     5.0000    5.43020   95.59181    33.2843    33.2835    24.5111    24.5066         58 0.0000e+00
 282.061340     27.000     26.796   4.114020   4.116501    15.0630    15.0873    15.0590    15.0833    82.9800     0.7463     4.3104     2.2496     2.2495     2.5864     0.1235  0.0002000     0.0000 7.2325e-01     0.5699     100.00     5.0000    5.43314   94.58800    33.3197    33.3214    24.6639    24.6599         39 0.0000e+00
