      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 280.396362      5.000      4.966   4.155463   4.155323    15.5125    15.5135    15.5118    15.5127    83.6375     0.7147     4.3441     2.3242     2.3241     2.4884     0.1195  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    5.61057   98.55251    33.3192    33.3172    24.5642    24.5624         30 0.0000e+00
 280.396393      6.000      5.952   4.155646   4.155508    15.5141    15.5150    15.5131    15.5141    83.6276     0.7152     4.3436     2.3173     2.3172     2.4179     0.1167  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    5.59062   98.20501    33.3192    33.3171    24.5639    24.5621         50 0.0000e+00
 280.396423      7.000      6.952   4.155602   4.155441    15.5130    15.5139    15.5120    15.5128    83.6218     0.7155     4.3433     2.3171     2.3171     2.4526     0.1181  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    5.60279   98.41692    33.3193    33.3171    24.5642    24.5624         41 0.0000e+00
 280.396423      8.000      7.931   4.155627   4.155435    15.5126    15.5132    15.5114    15.5120    83.6509     0.7141     4.3448     2.3197     2.3197     2.5069     0.1203  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    5.60889   98.52336    33.3194    33.3172    24.5645    24.5626         36 0.0000e+00
 280.396454      9.000      8.943   4.155816   4.155630    15.5143    15.5150    15.5129    15.5136    83.6274     0.7152     4.3436     2.3184     2.3183     2.4894     0.1196  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    5.59535   98.28870    33.3194    33.3171    24.5641    24.5622         35 0.0000e+00
 280.396484     10.000      9.926   4.155809   4.155689    15.5145    15.5150    15.5129    15.5134    83.6552     0.7139     4.3450     2.3123     2.3123     2.3799     0.1152  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    5.57367   97.90778    33.3188    33.3173    24.5636    24.5624         63 0.0000e+00
 280.396515     11.000     10.915   4.155856   4.155666    15.5138    15.5143    15.5121    15.5127    83.6337     0.7149     4.3439     2.3074     2.3074     2.2526     0.1101  0.0002000     0.0000 1.0000e-12     0.1295     100.00     5.0000    5.56614   97.77451    33.3194    33.3172    24.5643    24.5625         34 0.0000e+00
 280.396515     12.000     11.908   4.155370   4.155265    15.5076    15.5094    15.5058    15.5076    83.6520     0.7140     4.3449     2.3077     2.3077     2.3160     0.1126  0.0002000     0.0000 1.0000e-12     0.1300     100.00     5.0000    5.57731   97.95900    33.3199    33.3174    24.5661    24.5638         25 0.0000e+00
 280.396515     13.000     12.907   4.155280   4.154680    15.5060    15.5026    15.5041    15.5006    83.6464     0.7143     4.3446     2.3084     2.3083     2.3400     0.1136  0.0002000     0.0000 1.0000e-12     0.1298     100.00     5.0000    5.57928   97.99065    33.3200    33.3175    24.5666    24.5654         24 0.0000e+00
 280.396545     14.000     13.903   4.153325   4.153380    15.4836    15.4873    15.4815    15.4851    83.6766     0.7128     4.3461     2.3092     2.3091     2.4392     0.1176  0.0002000     0.0000 1.0000e-12     0.1302     100.00     5.0000    5.58124   97.98224    33.3211    33.3185    24.5724    24.5696         45 0.0000e+00
