      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 281.083374      1.000      0.951   4.178936   4.178319    15.7887    15.7833    15.7885    15.7832    78.3492     0.9758     4.0732     2.3777     2.3775     2.8570     0.1343  0.7397655     0.0008 7.6514e+00     1.4638     100.00     5.0000    5.74984  101.53691    33.2970    33.2961    24.4855    24.4860         11 0.0000e+00
 281.083527      2.000      1.988   4.179045   4.178929    15.7850    15.7864    15.7846    15.7861    79.6608     0.9097     4.1404     2.3776     2.3775     2.7800     0.1312  0.1804394     0.0002 2.8423e+00     0.9710     100.00     5.0000    5.74454  101.43831    33.3008    33.2985    24.4893    24.4872         43 0.0000e+00
 281.083771      3.000      2.977   4.178977   4.178768    15.7824    15.7831    15.7819    15.7827    79.8252     0.9013     4.1488     2.3736     2.3734     2.8220     0.1329  0.0103650     0.0000 1.1376e+00     0.6839     100.00     5.0000    5.72772  101.13677    33.3020    33.2995    24.4908    24.4887         44 0.0000e+00
 281.083832      4.000      3.971   4.179021   4.178814    15.7821    15.7826    15.7814    15.7820    80.4981     0.8678     4.1833     2.3707     2.3705     2.7907     0.1316  0.0002000     0.0000 8.0773e-01     0.5988     100.00     5.0000    5.72531  101.09388    33.3022    33.2999    24.4911    24.4892         51 0.0000e+00
 281.083862      5.000      4.965   4.179079   4.178855    15.7818    15.7824    15.7811    15.7816    80.7852     0.8535     4.1980     2.3686     2.3685     2.7961     0.1318  0.0002000     0.0000 6.6776e-01     0.5483     100.00     5.0000    5.71428  100.89877    33.3026    33.3001    24.4914    24.4894         37 0.0000e+00
 281.083923      6.000      5.956   4.179216   4.178962    15.7826    15.7832    15.7817    15.7822    80.9743     0.8442     4.2077     2.3647     2.3645     2.7834     0.1313  0.0002000     0.0000 4.8004e-01     0.4734     100.00     5.0000    5.70689  100.76992    33.3027    33.3000    24.4914    24.4892         49 0.0000e+00
 281.083954      7.000      6.949   4.179344   4.179110    15.7836    15.7843    15.7825    15.7833    80.9258     0.8466     4.2052     2.3638     2.3636     3.0199     0.1408  0.0002000     0.0000 4.1130e-01     0.4411     100.00     5.0000    5.70099  100.66774    33.3026    33.2999    24.4912    24.4889         52 0.0000e+00
 281.084015      8.000      7.933   4.179428   4.179186    15.7839    15.7845    15.7827    15.7833    80.9609     0.8448     4.2070     2.3631     2.3630     3.0097     0.1404  0.0002000     0.0000 3.1870e-01     0.3949     100.00     5.0000    5.71202  100.86317    33.3027    33.3001    24.4912    24.4890         34 0.0000e+00
 281.084015      9.000      8.946   4.179508   4.179277    15.7844    15.7850    15.7830    15.7836    81.0036     0.8427     4.2092     2.3652     2.3651     2.9079     0.1363  0.0002000     0.0000 2.8158e-01     0.3745     100.00     5.0000    5.71888  100.98510    33.3027    33.3001    24.4911    24.4890         30 0.0000e+00
 281.084106     10.000      9.925   4.179599   4.179336    15.7848    15.7852    15.7833    15.7837    80.9416     0.8458     4.2060     2.3673     2.3672     3.2304     0.1492  0.0002000     0.0000 1.8261e-01     0.3153     100.00     5.0000    5.71924  100.99249    33.3027    33.3000    24.4911    24.4889         65 0.0000e+00
