      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 277.930481      2.000      1.978   4.490707   4.490268    19.3764    19.3776    19.3761    19.3773    87.4797     0.5351     4.5409     2.3627     2.3626     0.4336     0.0373  483.34363     0.4937 9.2464e+02     3.4509     100.00     5.0000    5.31389  100.34357    33.0329    33.0284    23.4230    23.4192         23 0.0000e+00
 277.930573      3.000      2.982   4.490381   4.489836    19.3721    19.3722    19.3716    19.3716    87.4425     0.5368     4.5390     2.3597     2.3596     0.4165     0.0367  422.69479     0.4317 8.2612e+02     3.4011     100.00     5.0000    5.29657  100.00877    33.0333    33.0288    23.4244    23.4210         41 0.0000e+00
 277.930756      4.000      3.975   4.489514   4.488834    19.3608    19.3596    19.3601    19.3589    87.4085     0.5383     4.5373     2.3412     2.3410     0.4134     0.0365  364.88562     0.3727 7.3394e+02     3.3489      91.44     4.5721    5.24483   99.01183    33.0348    33.0302    23.4285    23.4253         25 0.0000e+00
 277.930786      5.000      4.969   4.489830   4.489155    19.3646    19.3628    19.3637    19.3619    87.4762     0.5352     4.5408     2.3402     2.3401     0.4361     0.0374  280.08643     0.2861 5.6184e+02     3.2331      89.85     4.4924    5.24560   99.03301    33.0340    33.0300    23.4269    23.4243         33 0.0000e+00
 277.930786      6.000      5.959   4.489945   4.489441    19.3654    19.3658    19.3643    19.3648    87.5084     0.5337     4.5424     2.3439     2.3438     0.4396     0.0376  259.45792     0.2650 5.0531e+02     3.1875      75.57     3.7787    5.25457   99.20373    33.0341    33.0295    23.4268    23.4233         51 0.0000e+00
 277.930817      7.000      6.951   4.489942   4.489368    19.3652    19.3648    19.3640    19.3635    87.5120     0.5336     4.5426     2.3363     2.3361     0.4270     0.0371  212.64075     0.2172 4.3601e+02     3.1239      99.64     4.9819    5.21570   98.46931    33.0338    33.0294    23.4267    23.4235         52 0.0000e+00
 277.930847      8.000      7.935   4.489583   4.489139    19.3596    19.3613    19.3582    19.3598    87.5105     0.5336     4.5425     2.3315     2.3314     0.4380     0.0375  192.70998     0.1968 3.9432e+02     3.0805     100.02     5.0008    5.22648   98.66324    33.0350    33.0300    23.4291    23.4249         40 0.0000e+00
 277.930847      9.000      8.936   4.488491   4.487991    19.3456    19.3459    19.3440    19.3443    87.5086     0.5337     4.5424     2.3343     2.3342     0.4353     0.0374  171.39122     0.1750 3.5771e+02     3.0382     100.00     5.0000    5.23911   98.87700    33.0367    33.0323    23.4340    23.4306         25 0.0000e+00
 277.930878     10.000      9.932   4.487922   4.487545    19.3378    19.3399    19.3360    19.3382    87.5066     0.5338     4.5423     2.3390     2.3389     0.4370     0.0375  159.48978     0.1629 3.4091e+02     3.0173     100.00     5.0000    5.25958   99.24956    33.0378    33.0331    23.4369    23.4327         33 0.0000e+00
 277.930878     11.000     10.924   4.486662   4.486264    19.3225    19.3242    19.3205    19.3223    87.5007     0.5341     4.5420     2.3438     2.3437     0.4387     0.0375  140.01222     0.1430 3.0785e+02     2.9730     100.00     5.0000    5.26518   99.32787    33.0393    33.0346    23.4420    23.4380         49 0.0000e+00
