      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 276.730286      5.000      4.967   4.484584   4.484483    19.2361    19.2371    19.2353    19.2362    87.0696     0.5538     4.5199     2.3313     2.3313     0.4361     0.0374  232.53470     0.2375 5.2406e+02     3.2040     100.00     5.0000    5.22695   98.47960    33.0928    33.0912    23.5045    23.5031         25 0.0000e+00
 276.730316      6.000      5.955   4.484665   4.484434    19.2358    19.2366    19.2347    19.2355    87.0791     0.5534     4.5204     2.3316     2.3316     0.4378     0.0375  211.03615     0.2155 5.0116e+02     3.1838     100.00     5.0000    5.23434   98.61871    33.0934    33.0909    23.5051    23.5030         43 0.0000e+00
 276.730316      7.000      6.948   4.484457   4.484247    19.2327    19.2339    19.2314    19.2326    87.0723     0.5537     4.5201     2.3340     2.3340     0.4374     0.0375  235.23412     0.2403 5.1648e+02     3.1963     100.00     5.0000    5.23763   98.67512    33.0938    33.0911    23.5063    23.5039         31 0.0000e+00
 276.730347      8.000      7.948   4.484504   4.484283    19.2328    19.2337    19.2313    19.2323    87.0812     0.5533     4.5205     2.3289     2.3289     0.4364     0.0375  209.76573     0.2142 4.8285e+02     3.1674     100.00     5.0000    5.20653   98.08932    33.0938    33.0912    23.5062    23.5040         43 0.0000e+00
 276.730377      9.000      8.927   4.484508   4.484284    19.2325    19.2334    19.2309    19.2318    87.0900     0.5529     4.5210     2.3191     2.3191     0.4377     0.0375  231.99927     0.2370 4.6936e+02     3.1550     100.00     5.0000    5.19767   97.92178    33.0937    33.0911    23.5063    23.5041         39 0.0000e+00
 276.730377     10.000      9.927   4.484642   4.484424    19.2329    19.2339    19.2311    19.2321    87.0727     0.5537     4.5201     2.3204     2.3204     0.4353     0.0374  191.73254     0.1958 4.3434e+02     3.1223     100.00     5.0000    5.20779   98.11346    33.0941    33.0915    23.5066    23.5043         25 0.0000e+00
 276.730408     11.000     10.927   4.484837   4.484500    19.2338    19.2339    19.2318    19.2320    87.0784     0.5534     4.5204     2.3216     2.3216     0.4351     0.0374  222.58559     0.2273 4.7851e+02     3.1641     100.00     5.0000    5.20852   98.12923    33.0947    33.0918    23.5068    23.5046         30 0.0000e+00
 276.730408     12.000     11.917   4.484687   4.484448    19.2323    19.2330    19.2302    19.2309    87.0927     0.5528     4.5211     2.3222     2.3222     0.4409     0.0376  243.13678     0.2483 5.0319e+02     3.1859     100.00     5.0000    5.21192   98.19045    33.0942    33.0917    23.5069    23.5048         60 0.0000e+00
 276.730438     13.000     12.902   4.485001   4.484728    19.2339    19.2345    19.2316    19.2322    87.0913     0.5529     4.5210     2.3270     2.3270     0.4181     0.0367  181.49260     0.1854 4.4756e+02     3.1342     100.00     5.0000    5.22965   98.52797    33.0952    33.0925    23.5073    23.5051         42 0.0000e+00
 276.730469     14.000     13.903   4.485062   4.484794    19.2339    19.2346    19.2314    19.2321    87.0936     0.5527     4.5212     2.3283     2.3283     0.4380     0.0375  210.70628     0.2152 4.2533e+02     3.1127     100.00     5.0000    5.22810   98.49866    33.0954    33.0926    23.5075    23.5052         35 0.0000e+00
 276.730499     15.000     14.892   4.485101   4.484878    19.2339    19.2348    19.2312    19.2322    87.0924     0.5528     4.5211     2.3274     2.3274     0.4385     0.0375  174.25313     0.1780 3.7642e+02     3.0599     100.00     5.0000    5.22344   98.41094    33.0954    33.0928    23.5075    23.5053         63 0.0000e+00
