      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 280.897522      1.000      0.929   4.153295   4.154124    15.5138    15.5168    15.5136    15.5167    67.9767     1.5293     3.5419     2.3389     2.3388     1.3783     0.0751  1337.9333     1.3665 4.7781e+03     4.2188      94.93     4.7463    5.66046   99.41976    33.3003    33.3052    24.5493    24.5523          5 0.0000e+00
 280.897583      2.000      1.985   4.154225   4.154239    15.5135    15.5159    15.5132    15.5156    75.8145     1.1127     3.9434     2.3409     2.3408     1.3554     0.0742  1002.4446     1.0238 2.7981e+03     3.8953      89.69     4.4847    5.66916   99.57691    33.3085    33.3066    24.5557    24.5536         39 0.0000e+00
 280.897614      3.000      2.963   4.154154   4.154137    15.5105    15.5117    15.5100    15.5113    81.7874     0.8037     4.2494     2.3358     2.3356     1.4212     0.0768  360.32932     0.3680 8.2975e+02     3.4166     100.36     5.0179    5.64680   99.17919    33.3100    33.3088    24.5575    24.5563         30 0.0000e+00
 280.897614      4.000      3.981   4.154273   4.154291    15.5108    15.5126    15.5101    15.5119    81.7635     0.8054     4.2481     2.3353     2.3352     1.4854     0.0794  282.62701     0.2887 7.2043e+02     3.3367     100.00     5.0000    5.65568   99.33602    33.3105    33.3091    24.5579    24.5564         29 0.0000e+00
 280.897675      5.000      4.963   4.154196   4.154167    15.5096    15.5107    15.5088    15.5100    81.8065     0.8033     4.2503     2.3395     2.3394     1.6358     0.0854  285.75073     0.2919 6.9938e+02     3.3277     100.00     5.0000    5.66539   99.50430    33.3104    33.3091    24.5581    24.5569         45 0.0000e+00
 280.897675      6.000      5.939   4.154219   4.154202    15.5092    15.5105    15.5083    15.5096    81.7829     0.8044     4.2491     2.3397     2.3396     1.8369     0.0935  231.19739     0.2361 5.4550e+02     3.2200     100.00     5.0000    5.66258   99.45426    33.3105    33.3093    24.5583    24.5571         28 0.0000e+00
 280.897705      7.000      6.941   4.154152   4.154167    15.5079    15.5094    15.5069    15.5083    81.7641     0.8053     4.2482     2.3382     2.3380     1.9086     0.0963  198.89096     0.2031 4.1150e+02     3.0990     100.00     5.0000    5.65236   99.27222    33.3106    33.3095    24.5587    24.5575         16 0.0000e+00
 280.897705      8.000      7.958   4.154066   4.154087    15.5064    15.5082    15.5052    15.5070    81.7756     0.8048     4.2487     2.3360     2.3359     1.8863     0.0955  147.61449     0.1508 3.5691e+02     3.0363     100.00     5.0000    5.64435   99.12864    33.3107    33.3094    24.5592    24.5577         19 0.0000e+00
 280.897736      9.000      8.941   4.154115   4.154122    15.5066    15.5084    15.5052    15.5070    81.7675     0.8052     4.2483     2.3333     2.3332     1.9456     0.0978  124.75690     0.1274 2.9390e+02     2.9523     100.00     5.0000    5.64639   99.16471    33.3107    33.3092    24.5591    24.5576         44 0.0000e+00
 280.897736     10.000      9.926   4.154050   4.153995    15.5055    15.5064    15.5040    15.5049    81.7857     0.8043     4.2493     2.3349     2.3348     2.0237     0.1009  133.97540     0.1368 3.0150e+02     2.9638     100.00     5.0000    5.65991   99.39999    33.3106    33.3093    24.5594    24.5581         47 0.0000e+00
 280.897766     11.000     10.919   4.154216   4.154188    15.5069    15.5081    15.5052    15.5064    81.7818     0.8045     4.2491     2.3311     2.3310     2.0514     0.1021  96.288475     0.0983 2.3900e+02     2.8625     100.00     5.0000    5.63761   99.01105    33.3106    33.3093    24.5590    24.5578         57 0.0000e+00
 280.897797     12.000     11.903   4.154468   4.154545    15.5088    15.5113    15.5070    15.5095    81.7960     0.8038     4.2498     2.3329     2.3327     2.0647     0.1026  81.556931     0.0833 2.0814e+02     2.8036     100.00     5.0000    5.66566   99.50766    33.3108    33.3094    24.5588    24.5571         29 0.0000e+00
 280.897797     13.000     12.903   4.154221   4.154127    15.5054    15.5060    15.5034    15.5041    81.7641     0.8053     4.2482     2.3350     2.3349     2.0779     0.1031  72.549873     0.0741 1.9461e+02     2.7744     100.00     5.0000    5.65937   99.39070    33.3111    33.3097    24.5598    24.5586         20 0.0000e+00
 280.897827     14.000     13.902   4.153584   4.153467    15.4978    15.4984    15.4957    15.4963    81.7828     0.8044     4.2491     2.3344     2.3342     2.1085     0.1043  62.500511     0.0638 1.8109e+02     2.7430     100.00     5.0000    5.65367   99.27593    33.3114    33.3098    24.5618    24.5604         23 0.0000e+00
 280.897827     15.000     14.895   4.153629   4.153927    15.4978    15.5030    15.4956    15.5007    81.8978     0.7988     4.2550     2.3337     2.3336     2.2326     0.1093  53.135807     0.0543 1.5993e+02     2.6890     100.00     5.0000    5.65513   99.30154    33.3114    33.3097    24.5618    24.5594         43 0.0000e+00
 280.897858     16.000     15.877   4.153032   4.152902    15.4906    15.4911    15.4881    15.4887    81.9707     0.7952     4.2587     2.3312     2.3310     2.4842     0.1194  46.914898     0.0479 1.4266e+02     2.6396     100.00     5.0000    5.63665   98.96313    33.3118    33.3102    24.5638    24.5624         36 0.0000e+00
 280.897858     17.000     16.875   4.154128   4.153690    15.5025    15.4996    15.4999    15.4971    81.9096     0.7982     4.2556     2.3272     2.3271     2.5378     0.1215  40.562603     0.0414 1.2780e+02     2.5922     100.00     5.0000    5.62029   98.69870    33.3112    33.3097    24.5607    24.5601         29 0.0000e+00
 280.897888     18.000     17.868   4.152818   4.152617    15.4873    15.4871    15.4846    15.4844    81.8910     0.7991     4.2547     2.3206     2.3205     2.5208     0.1208  37.293030     0.0381 1.1997e+02     2.5650     100.00     5.0000    5.58766   98.09666    33.3119    33.3103    24.5646    24.5634         28 0.0000e+00
 280.897888     19.000     18.858   4.152525   4.152530    15.4836    15.4862    15.4807    15.4833    81.9105     0.7982     4.2557     2.3116     2.3114     2.5208     0.1208  35.931858     0.0367 1.1465e+02     2.5453     100.00     5.0000    5.56548   97.70020    33.3120    33.3099    24.5656    24.5633         27 0.0000e+00
 280.897919     20.000     19.858   4.150763   4.151299    15.4639    15.4716    15.4609    15.4686    82.0474     0.7915     4.2627     2.3054     2.3053     2.5539     0.1222  33.856815     0.0346 1.0887e+02     2.5228     100.00     5.0000    5.55403   97.46160    33.3125    33.3108    24.5703    24.5673         31 0.0000e+00
 280.897919     21.000     20.847   4.139201   4.138724    15.3335    15.3301    15.3303    15.3270    82.4932     0.7698     4.2855     2.3002     2.3001     2.6092     0.1244  28.920717     0.0295 9.4239e+01     2.4600     100.00     5.0000    5.57164   97.52182    33.3190    33.3175    24.6041    24.6037         59 0.0000e+00
 280.897949     22.000     21.829   4.137832   4.137197    15.3193    15.3133    15.3160    15.3100    82.8225     0.7539     4.3024     2.2965     2.2964     2.6456     0.1258  25.644018     0.0262 8.2797e+01     2.4048     100.00     5.0000    5.55397   97.18502    33.3183    33.3177    24.6067    24.6076         35 0.0000e+00
 280.897980     23.000     22.829   4.137009   4.136579    15.3089    15.3062    15.3055    15.3027    82.7942     0.7552     4.3009     2.2929     2.2928     2.7121     0.1285  22.686501     0.0232 7.3815e+01     2.3550     100.00     5.0000    5.54271   96.96859    33.3193    33.3178    24.6098    24.6093         24 0.0000e+00
 280.897980     24.000     23.830   4.135896   4.135377    15.2963    15.2920    15.2927    15.2884    82.8255     0.7537     4.3025     2.2878     2.2877     2.7117     0.1285  20.988871     0.0214 6.7164e+01     2.3142     100.00     5.0000    5.48767   95.98191    33.3196    33.3186    24.6129    24.6130         28 0.0000e+00
 280.898010     25.000     24.820   4.132184   4.130657    15.2538    15.2373    15.2500    15.2336    82.9485     0.7478     4.3088     2.2245     2.2244     2.8487     0.1339  19.420305     0.0198 5.9714e+01     2.2633     100.00     5.0000    5.04011   88.08207    33.3220    33.3222    24.6240    24.6278         46 0.0000e+00
 280.898010     26.000     25.802   4.123985   4.122713    15.1622    15.1462    15.1583    15.1424    83.0713     0.7419     4.3151     2.0135     2.0134     2.6738     0.1270  17.485920     0.0179 5.1699e+01     2.2019     100.00     5.0000    4.29658   74.95133    33.3256    33.3277    24.6468    24.6520         49 0.0000e+00
 280.898041     27.000     26.796   4.015344   4.023574    13.9433    14.0408    13.9395    14.0370    83.0230     0.7442     4.3126     1.9124     1.9123     2.8070     0.1323  16.611609     0.0170 4.6740e+01     2.1583     100.00     5.0000    4.20831   71.65567    33.3790    33.3705    24.9454    24.9186         23 0.0000e+00
 280.898041     28.000     27.799   3.896373   3.897681    12.5588    12.5820    12.5551    12.5783    82.0871     0.7896     4.2647     1.8554     1.8554     3.6547     0.1662  15.690053     0.0160 4.2925e+01     2.1217     100.00     5.0000    4.17668   69.16779    33.4754    33.4673    25.2989    25.2881         26 0.0000e+00
 280.898071     29.000     28.789   3.869181   3.868490    12.2357    12.2319    12.2320    12.2282    82.1289     0.7875     4.2668     1.7864     1.7863     3.9234     0.1769  15.301504     0.0156 3.9090e+01     2.0814     100.00     5.0000    4.04088   66.48065    33.5020    33.4988    25.3818    25.3799         43 0.0000e+00
 280.898071     30.000     29.775   3.833902   3.835307    11.8255    11.8389    11.8217    11.8351    82.5443     0.7673     4.2881     1.7249     1.7249     3.4090     0.1564  13.932790     0.0142 3.3845e+01     2.0195     100.00     5.0000    3.97181   64.79314    33.5281    33.5297    25.4795    25.4782         37 0.0000e+00
 280.898102     31.000     30.768   3.816549   3.817485    11.6192    11.6272    11.6153    11.6233    82.7307     0.7584     4.2977     1.6986     1.6986     3.3356     0.1534  12.430290     0.0127 2.8547e+01     1.9467     100.00     5.0000    3.94907   64.14906    33.5446    33.5465    25.5305    25.5306         28 0.0000e+00
 280.898102     32.000     31.767   3.810703   3.811245    11.5486    11.5518    11.5446    11.5478    83.1935     0.7360     4.3214     1.6790     1.6790     3.2675     0.1507  11.562151     0.0118 2.4912e+01     1.8889     100.00     5.0000    3.87249   62.81386    33.5508    33.5533    25.5484    25.5497         27 0.0000e+00
 280.898132     33.000     32.760   3.807437   3.807842    11.5066    11.5085    11.5025    11.5044    83.3978     0.7262     4.3318     1.6462     1.6462     3.2287     0.1491  10.716119     0.0109 2.2460e+01     1.8447     100.00     5.0000    3.70376   60.02569    33.5565    33.5587    25.5606    25.5620         35 0.0000e+00
 280.898132     34.000     33.743   3.804072   3.804424    11.4625    11.4637    11.4583    11.4595    83.5517     0.7188     4.3397     1.5948     1.5948     3.1014     0.1441  9.5618267     0.0098 1.9741e+01     1.7900     100.00     5.0000    3.54397   57.38464    33.5629    33.5653    25.5737    25.5753         34 0.0000e+00
 280.898163     35.000     34.742   3.783970   3.785136    11.2224    11.2363    11.2182    11.2320    83.6761     0.7129     4.3461     1.5657     1.5657     2.9869     0.1395  8.2956657     0.0085 1.6986e+01     1.7262     100.00     5.0000    3.51864   56.69178    33.5828    33.5817    25.6326    25.6293         27 0.0000e+00
 280.898163     36.000     35.741   3.759232   3.759386    10.9282    10.9291    10.9239    10.9248    84.5448     0.6716     4.3906     1.5372     1.5373     2.7380     0.1295  7.3555841     0.0075 1.4578e+01     1.6618     100.00     5.0000    3.42646   54.86958    33.6059    33.6067    25.7035    25.7039         41 0.0000e+00
 280.898193     37.000     36.713   3.753876   3.756814    10.8592    10.8890    10.8548    10.8845    84.9080     0.6544     4.4092     1.4587     1.4588     1.9768     0.0991  6.9470000     0.0071 1.3095e+01     1.6174     100.00     5.0000    3.07358   49.14886    33.6155    33.6174    25.7232    25.7195         36 0.0000e+00
 280.898224     38.000     37.705   3.742621   3.743627    10.7242    10.7325    10.7197    10.7280    85.4351     0.6297     4.4362     1.4199     1.4200     2.1654     0.1066  6.0171380     0.0061 1.1684e+01     1.5695     100.00     5.0000    3.01922   48.14265    33.6267    33.6291    25.7558    25.7562         19 0.0000e+00
 280.898224     39.000     38.709   3.730198   3.730996    10.5729    10.5786    10.5683    10.5740    85.8897     0.6084     4.4595     1.4064     1.4065     1.8455     0.0938  5.4641771     0.0056 1.0385e+01     1.5206     100.00     5.0000    3.09256   49.15680    33.6412    33.6440    25.7936    25.7948         14 0.0000e+00
 280.898224     40.000     39.706   3.724917   3.725631    10.4977    10.5024    10.4931    10.4977    86.0093     0.6029     4.4656     1.4066     1.4067     1.7156     0.0886  4.7902012     0.0049 9.3312e+00     1.4763     100.00     5.0000    3.19238   50.66634    33.6571    33.6600    25.8191    25.8205         15 0.0000e+00
 280.898224     41.000     40.713   3.718534   3.719164    10.4053    10.4108    10.4006    10.4060    86.2368     0.5923     4.4773     1.4154     1.4155     1.5674     0.0827  4.7194171     0.0048 8.4535e+00     1.4356     100.00     5.0000    3.27795   51.92765    33.6779    33.6792    25.8513    25.8514         18 0.0000e+00
 280.898285     42.000     41.691   3.728581   3.732700    10.5241    10.5718    10.5192    10.5669    86.0902     0.5991     4.4698     1.3742     1.3743     1.5012     0.0800  4.0857959     0.0042 7.5730e+00     1.3907     100.00     5.0000    2.94094   46.68752    33.6687    33.6660    25.8234    25.8130         36 0.0000e+00
 280.898315     43.000     42.675   3.727452   3.727949    10.4968    10.4977    10.4918    10.4927    86.2483     0.5918     4.4779     1.2938     1.2939     1.6195     0.0848  3.5753646     0.0037 6.6163e+00     1.3359     100.00     5.0000    2.57971   40.94894    33.6822    33.6863    25.8387    25.8418         23 0.0000e+00
 280.898315     44.000     43.679   3.705750   3.706131    10.1852    10.1887    10.1801    10.1837    86.8559     0.5637     4.5090     1.2716     1.2717     1.4136     0.0765  3.4832728     0.0036 5.9362e+00     1.2923     100.00     5.0000    2.58135   40.71761    33.7518    33.7524    25.9468    25.9466         23 0.0000e+00
 280.898315     45.000     44.665   3.703980   3.704254    10.1608    10.1630    10.1557    10.1579    87.0023     0.5569     4.5165     1.2532     1.2534     1.1942     0.0678  3.0810490     0.0031 5.5140e+00     1.2629     100.00     5.0000    2.56044   40.36759    33.7561    33.7568    25.9543    25.9545         26 0.0000e+00
 280.898346     46.000     45.658   3.703341   3.703526    10.1502    10.1514    10.1449    10.1462    87.0690     0.5539     4.5199     1.2407     1.2408     1.1241     0.0650  2.7893364     0.0028 5.2818e+00     1.2458     100.00     5.0000    2.54779   40.15970    33.7591    33.7598    25.9584    25.9588         24 0.0000e+00
 280.898346     47.000     46.656   3.702712   3.702936    10.1388    10.1405    10.1334    10.1352    87.0767     0.5535     4.5203     1.2302     1.2303     1.0797     0.0632  2.5522070     0.0026 5.0169e+00     1.2254     100.00     5.0000    2.52391   39.77446    33.7629    33.7635    25.9634    25.9636         31 0.0000e+00
