      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 281.022644      2.000      1.986   4.205905   4.207024    16.1431    16.1457    16.1428    16.1454    56.1977     2.2826     2.9385     2.8032     2.8029     2.3936     0.1157  112.08886     0.1145 4.5832e+02     3.1300     104.32     5.2160    6.92995  123.18703    33.2381    33.2458    24.3603    24.3656         36 0.0000e+00
 281.022675      3.000      2.975   4.206582   4.206602    16.1454    16.1461    16.1450    16.1456    73.1718     1.2508     3.8080     2.5436     2.5434     2.4351     0.1174  99.579102     0.1017 3.1291e+02     2.9805      79.04     3.9521    5.73857  102.01572    33.2417    33.2413    24.3626    24.3622         49 0.0000e+00
 281.022675      4.000      3.974   4.207951   4.206934    16.1463    16.1470    16.1457    16.1464    74.9950     1.1528     3.9014     2.4388     2.4386     2.4579     0.1183  70.426361     0.0719 2.3175e+02     2.8467      97.19     4.8595    5.86424  104.25864    33.2527    33.2431    24.3709    24.3634         35 0.0000e+00
 281.022705      5.000      4.961   4.207661   4.207855    16.1442    16.1457    16.1435    16.1449    80.4331     0.8705     4.1800     2.4281     2.4278     2.4931     0.1197  42.197544     0.0431 1.5414e+02     2.6717     100.12     5.0061    5.71520  101.60421    33.2515    33.2520    24.3705    24.3706         52 0.0000e+00
 281.022736      6.000      5.948   4.206805   4.208040    16.1448    16.1461    16.1438    16.1451    80.5890     0.8632     4.1880     2.3197     2.3194     2.5531     0.1221  27.499815     0.0281 9.9595e+01     2.4847     100.00     5.0000    5.28311   93.91850    33.2431    33.2529    24.3640    24.3712         24 0.0000e+00
 281.022736      7.000      6.958   4.207371   4.207778    16.1464    16.1473    16.1453    16.1462    80.2929     0.8780     4.1728     2.2836     2.2833     2.5612     0.1224  26.319500     0.0269 9.2054e+01     2.4498     100.00     5.0000    5.35603   95.21977    33.2464    33.2492    24.3661    24.3681         27 0.0000e+00
 281.022766      8.000      7.938   4.206410   4.207644    16.1410    16.1409    16.1397    16.1396    81.0470     0.8406     4.2114     2.2544     2.2542     2.6124     0.1245  36.754623     0.0375 1.2340e+02     2.5752     100.00     5.0000    5.24175   93.17580    33.2421    33.2530    24.3641    24.3725         38 0.0000e+00
 281.022797      9.000      8.925   4.207567   4.207883    16.1381    16.1402    16.1367    16.1388    81.2214     0.8320     4.2204     2.1965     2.1962     2.5878     0.1235  30.353170     0.0310 1.0945e+02     2.5248     100.00     5.0000    4.99903   88.86282    33.2543    33.2554    24.3742    24.3745         24 0.0000e+00
 281.022797     10.000      9.933   4.207245   4.207871    16.1241    16.1326    16.1225    16.1311    81.3080     0.8277     4.2248     2.1618     2.1616     2.6509     0.1260  24.246832     0.0248 9.1320e+01     2.4458     100.00     5.0000    5.00049   88.86893    33.2628    33.2612    24.3839    24.3807         25 0.0000e+00
 281.022827     11.000     10.922   4.206818   4.207885    16.1135    16.1232    16.1117    16.1215    81.4024     0.8231     4.2296     2.2328     2.2326     2.7552     0.1302  22.910915     0.0234 7.8888e+01     2.3837     100.00     5.0000    5.33612   94.81698    33.2676    33.2689    24.3900    24.3888         41 0.0000e+00
 281.022858     12.000     11.906   4.205173   4.207920    16.0571    16.0664    16.0552    16.0646    81.5692     0.8149     4.2382     2.2504     2.2501     2.8212     0.1328  20.520903     0.0210 7.3336e+01     2.3517     100.00     5.0000    5.15399   91.49783    33.2999    33.3163    24.4277    24.4382         28 0.0000e+00
 281.022858     13.000     12.898   4.201945   4.207981    15.9938    16.0819    15.9918    16.0799    81.7261     0.8072     4.2462     2.1985     2.1983     2.9023     0.1361  18.535906     0.0189 6.1164e+01     2.2739     100.00     5.0000    4.97246   88.17860    33.3241    33.3035    24.4606    24.4249         21 0.0000e+00
 281.022888     14.000     13.895   4.198640   4.207977    15.9680    16.0446    15.9658    16.0424    81.8271     0.8022     4.2514     2.1587     2.1585     2.9053     0.1362  17.118486     0.0175 5.3787e+01     2.2186     100.00     5.0000    4.87494   86.40119    33.3162    33.3345    24.4604    24.4571         18 0.0000e+00
 281.022888     15.000     14.898   4.195354   4.207892    15.2277    16.0062    15.2254    16.0039    81.9557     0.7960     4.2580     2.1259     2.1257     2.9320     0.1373  16.336063     0.0167 4.8110e+01     2.1705     100.00     5.0000    4.84567   84.95018    33.9216    33.3657    25.0906    24.4898         20 0.0000e+00
 281.022919     16.000     15.892   4.199440   4.207836    15.0235    16.0246    15.0211    16.0221    80.9484     0.8455     4.2064     2.0846     2.0844     3.5978     0.1639  15.494898     0.0158 4.2775e+01     2.1193     100.00     5.0000    4.79227   83.77856    34.1385    33.3503    25.3020    24.4738         36 0.0000e+00
 281.022949     17.000     16.871   4.166932   4.187450    12.9321    13.3262    12.9298    13.3239    81.0640     0.8398     4.2123     2.0158     2.0156     4.2334     0.1893  13.107090     0.0134 3.2777e+01     2.0059     100.00     5.0000    4.71632   79.83569    35.7313    35.5653    26.9735    26.7633         40 0.0000e+00
 281.022980     18.000     17.866   4.111996   4.137438    13.1427    13.5403    13.1402    13.5378    81.6739     0.8098     4.2435     1.9614     1.9612     3.7104     0.1684  12.024320     0.0123 2.7658e+01     1.9336     100.00     5.0000    4.57449   77.39000    35.0011    34.8772    26.3627    26.1850         39 0.0000e+00
 281.022980     19.000     18.858   3.813203   3.813369    11.7950    11.7829    11.7926    11.7805    82.4126     0.7737     4.2814     1.9305     1.9303     3.5156     0.1606  11.236113     0.0115 2.5055e+01     1.8912     100.00     5.0000    4.69197   76.41166    33.3592    33.3719    25.3538    25.3660         32 0.0000e+00
 281.023010     20.000     19.858   3.796128   3.794675    11.6083    11.5935    11.6058    11.5910    82.8523     0.7524     4.3039     1.9053     1.9051     3.4030     0.1561  9.8412285     0.0101 2.1202e+01     1.8197     100.00     5.0000    4.63314   75.15607    33.3592    33.3583    25.3882    25.3903         38 0.0000e+00
 281.023010     21.000     20.843   3.785489   3.784181    11.4948    11.4826    11.4922    11.4800    83.3013     0.7308     4.3269     1.8758     1.8756     3.0574     0.1423  8.8543129     0.0090 1.8107e+01     1.7534     100.00     5.0000    4.56127   73.81117    33.3567    33.3550    25.4072    25.4080         41 0.0000e+00
 281.023041     22.000     21.836   3.767123   3.767226    11.2872    11.2909    11.2845    11.2882    83.6547     0.7139     4.3450     1.8544     1.8542     2.8365     0.1335  8.3616953     0.0085 1.6185e+01     1.7062     100.00     5.0000    4.53820   73.11759    33.3633    33.3609    25.4500    25.4475         37 0.0000e+00
 281.023071     23.000     22.828   3.759656   3.759703    11.2004    11.2013    11.1976    11.1985    84.0025     0.6973     4.3628     1.8424     1.8422     2.7016     0.1281  7.2832599     0.0074 1.4153e+01     1.6496     100.00     5.0000    4.54190   73.04416    33.3677    33.3674    25.4692    25.4687         26 0.0000e+00
 281.023071     24.000     23.825   3.750488   3.751235    11.1057    11.1133    11.1028    11.1104    84.2519     0.6854     4.3756     1.8411     1.8409     2.8015     0.1321  6.2649755     0.0064 1.1941e+01     1.5782     100.00     5.0000    4.57660   73.45129    33.3624    33.3629    25.4821    25.4811         26 0.0000e+00
 281.023102     25.000     24.816   3.746878   3.748017    11.0539    11.0674    11.0509    11.0644    84.3135     0.6825     4.3787     1.8182     1.8180     2.8188     0.1328  5.3249545     0.0054 9.9010e+00     1.5008     100.00     5.0000    4.45103   71.36182    33.3733    33.3723    25.4998    25.4967         38 0.0000e+00
 281.023132     26.000     25.801   3.738300   3.738607    10.9407    10.9442    10.9376    10.9411    84.7786     0.6605     4.4026     1.7715     1.7713     2.5960     0.1238  4.9050431     0.0050 8.9560e+00     1.4595     100.00     5.0000    4.26514   68.22373    33.3906    33.3905    25.5335    25.5328         19 0.0000e+00
 281.023132     27.000     26.804   3.735879   3.736156    10.9069    10.9099    10.9037    10.9067    85.0017     0.6500     4.4140     1.7639     1.7637     2.3851     0.1154  4.7834167     0.0049 8.2037e+00     1.4235     100.00     5.0000    4.32698   69.16557    33.3969    33.3969    25.5444    25.5439         18 0.0000e+00
 281.023163     28.000     27.800   3.735698   3.735732    10.8964    10.8975    10.8930    10.8941    85.1575     0.6427     4.4220     1.7694     1.7692     2.1452     0.1058  4.2480373     0.0043 7.4827e+00     1.3859     100.00     5.0000    4.39760   70.28193    33.4043    33.4036    25.5520    25.5513         20 0.0000e+00
 281.023163     29.000     28.792   3.743807   3.743711    10.9501    10.9464    10.9466    10.9429    85.1184     0.6445     4.4200     1.7316     1.7314     2.0247     0.1010  3.6422248     0.0037 6.5345e+00     1.3302     100.00     5.0000    4.11228   65.80373    33.4355    33.4380    25.5668    25.5694         38 0.0000e+00
 281.023224     30.000     29.770   3.734323   3.735257    10.7505    10.7619    10.7469    10.7584    85.8704     0.6093     4.4585     1.5943     1.5942     1.7388     0.0896  2.8148201     0.0029 5.4509e+00     1.2583     100.00     5.0000    3.57282   56.96456    33.5232    33.5219    25.6704    25.6674         24 0.0000e+00
 281.023224     31.000     30.783   3.725991   3.726208    10.6142    10.6168    10.6105    10.6132    86.2180     0.5932     4.4763     1.5702     1.5701     1.5720     0.0829  2.4252791     0.0025 4.9206e+00     1.2175     100.00     5.0000    3.56274   56.65323    33.5645    33.5642    25.7264    25.7258         32 0.0000e+00
 281.023254     32.000     31.765   3.723490   3.723111    10.5663    10.5615    10.5626    10.5577    86.3020     0.5893     4.4806     1.5187     1.5186     1.4207     0.0768  2.4079523     0.0025 4.7147e+00     1.2009     100.00     5.0000    3.36122   53.40048    33.5830    33.5836    25.7492    25.7506         70 0.0000e+00
 281.023285     33.000     32.751   3.719077   3.719145    10.4930    10.4942    10.4891    10.4904    86.7682     0.5677     4.5045     1.4289     1.4288     1.2398     0.0696  2.2935705     0.0023 4.1925e+00     1.1548     100.00     5.0000    3.01643   47.85347    33.6058    33.6053    25.7798    25.7792         40 0.0000e+00
 281.023285     34.000     33.751   3.711015   3.711225    10.3561    10.3590    10.3522    10.3550    86.9587     0.5590     4.5142     1.3913     1.3913     1.2674     0.0707  1.8937625     0.0019 3.5503e+00     1.0908     100.00     5.0000    2.96169   46.86012    33.6507    33.6502    25.8384    25.8375         31 0.0000e+00
 281.023315     35.000     34.743   3.708642   3.708726    10.2993    10.3005    10.2953    10.2964    87.0143     0.5564     4.5171     1.3618     1.3617     1.2236     0.0689  1.5098068     0.0015 3.2435e+00     1.0568     100.00     5.0000    2.91764   46.11473    33.6789    33.6787    25.8702    25.8699         44 0.0000e+00
 281.023346     36.000     35.736   3.707834   3.707874    10.2751    10.2765    10.2710    10.2724    87.0952     0.5527     4.5212     1.3363     1.3362     1.2916     0.0717  1.4784909     0.0015 3.1553e+00     1.0464     100.00     5.0000    2.86566   45.27339    33.6928    33.6919    25.8852    25.8843         55 0.0000e+00
 281.023376     37.000     36.721   3.707200   3.707207    10.2581    10.2591    10.2538    10.2548    87.1177     0.5516     4.5224     1.3133     1.3132     1.2356     0.0694  1.1949329     0.0012 2.7455e+00     0.9948     100.00     5.0000    2.80633   44.32222    33.7018    33.7009    25.8952    25.8943         50 0.0000e+00
