      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 281.229553      1.000      0.947   4.181840   4.181561    15.8236    15.8244    15.8235    15.8242    74.6481     1.1693     3.8836     2.3644     2.3643     3.7246     0.1690  0.0002000     0.0000 1.0000e-12     0.1711     100.00     5.0000    5.70315  100.77943    33.2934    33.2903    24.4749    24.4724         10 0.0000e+00
 281.229553      2.000      1.986   4.182021   4.181916    15.8244    15.8252    15.8241    15.8249    76.3132     1.0826     3.9689     2.3643     2.3641     3.4346     0.1574  0.0002000     0.0000 1.0000e-12     0.1283     100.00     5.0000    5.70299  100.77859    33.2940    33.2924    24.4752    24.4738         25 0.0000e+00
 281.229645      3.000      2.994   4.182158   4.182009    15.8243    15.8250    15.8239    15.8246    79.2381     0.9307     4.1188     2.3636     2.3635     3.6078     0.1643  0.0002000     0.0000 1.0000e-12     0.1352     100.00     5.0000    5.70266  100.77323    33.2949    33.2930    24.4760    24.4743         32 0.0000e+00
 281.229706      4.000      3.977   4.182282   4.182085    15.8241    15.8247    15.8235    15.8241    80.5681     0.8644     4.1869     2.3614     2.3613     3.6716     0.1669  0.0002000     0.0000 1.0000e-12     0.1351     100.00     5.0000    5.69307  100.60392    33.2958    33.2935    24.4767    24.4748         40 0.0000e+00
 281.229736      5.000      4.961   4.182496   4.182263    15.8252    15.8259    15.8244    15.8251    81.2238     0.8318     4.2205     2.3587     2.3586     3.5313     0.1613  0.0002000     0.0000 1.0000e-12     0.1331     100.00     5.0000    5.68272  100.42351    33.2964    33.2938    24.4770    24.4748         42 0.0000e+00
 281.229767      6.000      5.958   4.182545   4.182285    15.8253    15.8255    15.8244    15.8245    81.1985     0.8331     4.2192     2.3547     2.3546     3.9731     0.1789  0.0002000     0.0000 1.0000e-12     0.1341     100.00     5.0000    5.66797  100.16308    33.2964    33.2939    24.4770    24.4751         47 0.0000e+00
 281.229797      7.000      6.940   4.182130   4.181900    15.8201    15.8214    15.8190    15.8204    81.2292     0.8316     4.2208     2.3548     2.3547     4.0268     0.1811  0.0002000     0.0000 1.0000e-12     0.1340     100.00     5.0000    5.68227  100.40555    33.2967    33.2935    24.4784    24.4757         42 0.0000e+00
 281.229797      8.000      7.945   4.182234   4.182085    15.8210    15.8222    15.8197    15.8210    81.2071     0.8327     4.2196     2.3559     2.3557     3.7581     0.1703  0.0002000     0.0000 1.0000e-12     0.1343     100.00     5.0000    5.68249  100.41103    33.2965    33.2941    24.4781    24.4760         24 0.0000e+00
 281.229828      9.000      8.939   4.182467   4.182254    15.8230    15.8236    15.8216    15.8222    81.2271     0.8317     4.2206     2.3539     2.3538     3.8737     0.1749  0.0002000     0.0000 1.0000e-12     0.1343     100.00     5.0000    5.67125  100.21648    33.2965    33.2941    24.4777    24.4757         38 0.0000e+00
 281.229858     10.000      9.922   4.182209   4.182041    15.8193    15.8206    15.8178    15.8190    81.2302     0.8315     4.2208     2.3482     2.3480     3.9391     0.1776  0.0002000     0.0000 1.0000e-12     0.1343     100.00     5.0000    5.66368  100.07570    33.2969    33.2943    24.4789    24.4766         31 0.0000e+00
