      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 276.984314      1.000      0.980   4.474762   4.474197    19.2295    19.2298    19.2293    19.2297    85.3570     0.6339     4.4322     2.3431     2.3430     0.4399     0.0376  848.10931     0.8662 3.7821e+03     4.0632      63.56     3.1780    5.26599   99.15897    33.0184    33.0134    23.4492    23.4454         24 0.0000e+00
 276.984344      2.000      1.969   4.474730   4.474261    19.2283    19.2292    19.2280    19.2289    87.3056     0.5429     4.5320     2.3449     2.3447     0.4418     0.0377  254.79805     0.2602 2.2160e+03     3.8212      82.62     4.1309    5.27455   99.31827    33.0187    33.0141    23.4498    23.4461         20 0.0000e+00
 276.984344      3.000      2.997   4.474481   4.473992    19.2250    19.2256    19.2244    19.2250    87.2572     0.5452     4.5295     2.3465     2.3463     0.4394     0.0376  199.70947     0.2040 1.1866e+03     3.5396      95.81     4.7904    5.28060   99.42603    33.0189    33.0144    23.4509    23.4473         30 0.0000e+00
 276.984436      4.000      3.969   4.474666   4.474224    19.2267    19.2277    19.2260    19.2270    87.2810     0.5442     4.5308     2.3479     2.3477     0.4423     0.0377  317.51874     0.3243 8.1343e+02     3.3931     100.21     5.0106    5.28085   99.43388    33.0187    33.0143    23.4503    23.4468         22 0.0000e+00
 276.984467      5.000      4.977   4.474887   4.474405    19.2285    19.2292    19.2276    19.2283    87.2905     0.5437     4.5312     2.3475     2.3474     0.4369     0.0375  279.90222     0.2859 6.2843e+02     3.2794     100.00     5.0000    5.27035   99.23938    33.0188    33.0143    23.4500    23.4464         31 0.0000e+00
 276.984497      6.000      5.950   4.475032   4.474522    19.2298    19.2302    19.2287    19.2292    87.2470     0.5457     4.5290     2.3425     2.3423     0.4415     0.0377  240.81851     0.2460 5.6353e+02     3.2349      93.97     4.6983    5.26026   99.05186    33.0186    33.0141    23.4496    23.4460         37 0.0000e+00
 276.984528      7.000      6.954   4.475262   4.474787    19.2318    19.2325    19.2305    19.2313    87.2959     0.5435     4.5315     2.3374     2.3372     0.4379     0.0375  204.52739     0.2089 5.1167e+02     3.1904      99.62     4.9809    5.24485   98.76518    33.0186    33.0141    23.4491    23.4455         46 0.0000e+00
 276.984558      8.000      7.936   4.475365   4.474889    19.2324    19.2332    19.2310    19.2318    87.3111     0.5428     4.5323     2.3378     2.3376     0.4243     0.0370  172.49548     0.1762 4.3825e+02     3.1261     100.00     5.0000    5.25520   98.96135    33.0186    33.0140    23.4490    23.4453         39 0.0000e+00
 276.984558      9.000      8.935   4.475310   4.474830    19.2311    19.2318    19.2295    19.2302    87.3073     0.5429     4.5321     2.3368     2.3367     0.4294     0.0372  224.11865     0.2289 5.1325e+02     3.1913     100.00     5.0000    5.24457   98.75888    33.0188    33.0143    23.4495    23.4459         29 0.0000e+00
 276.984589     10.000      9.932   4.475238   4.474744    19.2298    19.2304    19.2280    19.2286    87.3051     0.5430     4.5320     2.3363     2.3362     0.4404     0.0376  158.77261     0.1622 4.3078e+02     3.1142     100.00     5.0000    5.25079   98.87358    33.0190    33.0144    23.4500    23.4464         33 0.0000e+00
