      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 278.076385      2.000      1.984   4.484035   4.483610    19.3091    19.3098    19.3087    19.3095    86.1063     0.5985     4.4706     2.3509     2.3508     0.4513     0.0381  15.759777     0.0161 3.8927e+01     2.0707     100.00     5.0000    5.27631   99.50838    33.0314    33.0273    23.4390    23.4356         44 0.0000e+00
 278.076477      3.000      2.982   4.484299   4.483843    19.3099    19.3106    19.3094    19.3101    86.9369     0.5599     4.5131     2.3439     2.3438     0.4571     0.0383  14.987567     0.0153 2.9614e+01     1.9644     100.00     5.0000    5.25389   99.08779    33.0326    33.0282    23.4397    23.4362         38 0.0000e+00
 278.076508      4.000      3.966   4.484368   4.483902    19.3102    19.3109    19.3094    19.3102    87.0279     0.5558     4.5178     2.3425     2.3424     0.4723     0.0389  13.872418     0.0142 2.6368e+01     1.9131     100.00     5.0000    5.25914   99.18728    33.0326    33.0282    23.4397    23.4361         26 0.0000e+00
 278.076508      5.000      4.966   4.484410   4.483923    19.3100    19.3107    19.3091    19.3098    86.9361     0.5600     4.5131     2.3450     2.3449     0.4410     0.0376  13.151531     0.0134 2.4337e+01     1.8790     100.00     5.0000    5.27183   99.42627    33.0327    33.0281    23.4398    23.4362         23 0.0000e+00
 278.076508      6.000      5.964   4.484475   4.483996    19.3103    19.3109    19.3092    19.3098    87.1499     0.5502     4.5240     2.3476     2.3475     0.4609     0.0384  11.719893     0.0120 2.0728e+01     1.8100     100.00     5.0000    5.27096   99.41036    33.0326    33.0282    23.4398    23.4363         30 0.0000e+00
 278.076538      7.000      6.953   4.484559   4.484107    19.3105    19.3113    19.3093    19.3101    87.1536     0.5500     4.5242     2.3443     2.3442     0.4517     0.0381  10.493169     0.0107 1.7157e+01     1.7299     100.00     5.0000    5.25545   99.11836    33.0328    33.0285    23.4399    23.4364         62 0.0000e+00
 278.076569      8.000      7.940   4.484656   4.484185    19.3108    19.3115    19.3094    19.3101    87.3295     0.5419     4.5332     2.3411     2.3410     0.4570     0.0383  9.1882610     0.0094 1.4423e+01     1.6581     100.00     5.0000    5.25371   99.08619    33.0330    33.0286    23.4401    23.4365         56 0.0000e+00
 278.076599      9.000      8.930   4.484686   4.484222    19.3111    19.3116    19.3095    19.3100    87.3267     0.5421     4.5331     2.3437     2.3436     0.4668     0.0387  8.3272572     0.0085 1.3472e+01     1.6293     100.00     5.0000    5.26355   99.27223    33.0327    33.0285    23.4398    23.4364         32 0.0000e+00
 278.076599     10.000      9.930   4.484745   4.484264    19.3117    19.3124    19.3099    19.3107    87.3308     0.5419     4.5333     2.3422     2.3421     0.4428     0.0377  8.3685760     0.0085 1.3058e+01     1.6162     100.00     5.0000    5.25069   99.03051    33.0324    33.0278    23.4394    23.4358         27 0.0000e+00
 278.076630     11.000     10.926   4.484727   4.484263    19.3109    19.3116    19.3090    19.3097    87.3345     0.5417     4.5335     2.3411     2.3410     0.4393     0.0376  8.0337305     0.0082 1.2447e+01     1.5961     100.00     5.0000    5.25473   99.10546    33.0325    33.0281    23.4397    23.4362         34 0.0000e+00
 278.076630     12.000     11.915   4.484816   4.484355    19.3112    19.3119    19.3091    19.3098    87.3260     0.5421     4.5331     2.3444     2.3443     0.4357     0.0374  7.4280119     0.0076 1.1893e+01     1.5771     100.00     5.0000    5.27524   99.49290    33.0326    33.0283    23.4398    23.4363         52 0.0000e+00
