      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 282.876282      2.000      1.972   4.189728   4.188139    16.0435    16.0672    16.0431    16.0669    82.4012     0.7743     4.2808     2.6110     2.6109     1.5143     0.0806  335.17471     0.3423 5.2125e+02     3.2034      37.58     1.8790    6.53722  115.93594    33.1785    33.1446    24.3371    24.3057         16 0.0000e+00
 282.876495      3.000      2.984   4.185110   4.185010    16.0398    16.0388    16.0393    16.0383    82.2241     0.7829     4.2717     2.3798     2.3797     1.4918     0.0797  258.37747     0.2639 4.6532e+02     3.1502      99.99     4.9993    5.81196  103.04261    33.1403    33.1403    24.3086    24.3088         41 0.0000e+00
 282.876648      4.000      3.979   4.184954   4.184830    16.0413    16.0418    16.0407    16.0411    82.3799     0.7753     4.2797     2.3673     2.3672     1.5342     0.0814  166.58798     0.1701 3.1591e+02     2.9812      99.79     4.9895    5.68750  100.83768    33.1373    33.1358    24.3060    24.3048         26 0.0000e+00
 282.876648      5.000      4.969   4.185021   4.184890    16.0427    16.0430    16.0419    16.0422    82.3818     0.7752     4.2798     2.3646     2.3645     1.5457     0.0818  133.44083     0.1363 2.4544e+02     2.8731     100.00     5.0000    5.68196  100.74153    33.1364    33.1350    24.3050    24.3038         49 0.0000e+00
 282.876709      6.000      5.955   4.184284   4.183972    16.0343    16.0325    16.0333    16.0316    82.7607     0.7569     4.2992     2.3659     2.3658     1.7269     0.0891  98.598106     0.1007 1.9240e+02     2.7684     100.00     5.0000    5.68916  100.85263    33.1365    33.1353    24.3071    24.3065         72 0.0000e+00
 282.876740      7.000      6.949   4.183928   4.183833    16.0292    16.0301    16.0281    16.0291    82.8550     0.7523     4.3040     2.3632     2.3631     1.8448     0.0938  76.486115     0.0781 1.5854e+02     2.6846     100.00     5.0000    5.67733  100.63331    33.1372    33.1356    24.3088    24.3073         52 0.0000e+00
 282.876740      8.000      7.940   4.183885   4.183883    16.0283    16.0303    16.0271    16.0290    82.8114     0.7544     4.3018     2.3611     2.3610     1.8876     0.0955  61.455643     0.0628 1.3059e+02     2.6015     100.00     5.0000    5.67337  100.56137    33.1372    33.1356    24.3090    24.3073         47 0.0000e+00
 282.876770      9.000      8.936   4.183893   4.183898    16.0282    16.0300    16.0268    16.0286    82.8352     0.7533     4.3030     2.3608     2.3607     1.9631     0.0985  57.479637     0.0587 1.2339e+02     2.5771     100.00     5.0000    5.67829  100.64817    33.1370    33.1355    24.3089    24.3073         37 0.0000e+00
 282.876831     10.000      9.927   4.184011   4.183799    16.0284    16.0277    16.0269    16.0262    82.7905     0.7554     4.3007     2.3570     2.3569     1.9906     0.0996  50.135368     0.0512 1.1310e+02     2.5394     100.00     5.0000    5.67360  100.56587    33.1375    33.1362    24.3093    24.3084         55 0.0000e+00
 282.876862     11.000     10.918   4.184052   4.183945    16.0289    16.0296    16.0272    16.0279    82.8277     0.7536     4.3026     2.3563     2.3562     2.0560     0.1022  41.171810     0.0421 9.8787e+01     2.4791     100.00     5.0000    5.66011  100.32735    33.1371    33.1355    24.3089    24.3075         51 0.0000e+00
