      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 277.080750      1.000      0.989   4.474619   4.474135    19.2168    19.2184    19.2166    19.2183    79.6118     0.9110     4.1379     2.3293     2.3291     0.4370     0.0375  16.690582     0.0170 7.5584e+01     2.3989     107.37     5.3687    5.21640   98.20721    33.0273    33.0220    23.4592    23.4548         24 0.0000e+00
 277.080780      2.000      1.985   4.475014   4.474486    19.2177    19.2180    19.2173    19.2177    84.8556     0.6572     4.4065     2.3319     2.3317     0.4640     0.0386  11.693146     0.0119 3.3517e+01     2.0056      77.25     3.8627    5.23597   98.57859    33.0295    33.0248    23.4608    23.4571         51 0.0000e+00
 277.080841      3.000      2.980   4.475080   4.474610    19.2181    19.2184    19.2176    19.2178    86.4635     0.5819     4.4889     2.3320     2.3319     0.4394     0.0376  11.160631     0.0114 2.2810e+01     1.8497      99.88     4.9939    5.23342   98.53120    33.0294    33.0252    23.4606    23.4574         39 0.0000e+00
 277.080872      4.000      3.969   4.475151   4.474781    19.2178    19.2195    19.2171    19.2188    87.2151     0.5472     4.5274     2.3325     2.3323     0.4507     0.0380  10.509134     0.0107 1.8415e+01     1.7609     100.00     5.0000    5.23554   98.57091    33.0298    33.0254    23.4610    23.4573         51 0.0000e+00
 277.080872      5.000      4.966   4.475369   4.474953    19.2195    19.2208    19.2187    19.2199    87.1891     0.5484     4.5260     2.3296     2.3294     0.4382     0.0375  9.1541338     0.0093 1.5651e+01     1.6913     100.00     5.0000    5.22221   98.32309    33.0299    33.0254    23.4607    23.4570         40 0.0000e+00
 277.080902      6.000      5.957   4.475504   4.475045    19.2205    19.2211    19.2194    19.2201    87.2045     0.5477     4.5268     2.3322     2.3321     0.4512     0.0380  8.3638191     0.0085 1.3286e+01     1.6232     100.00     5.0000    5.25027   98.85322    33.0299    33.0256    23.4605    23.4571         44 0.0000e+00
 277.080933      7.000      6.949   4.475713   4.475145    19.2221    19.2218    19.2208    19.2206    87.2118     0.5473     4.5272     2.3377     2.3375     0.4601     0.0384  8.3113012     0.0085 1.2712e+01     1.6050     100.00     5.0000    5.25771   98.99635    33.0300    33.0255    23.4603    23.4569         42 0.0000e+00
 277.080933      8.000      7.944   4.476081   4.475551    19.2244    19.2244    19.2230    19.2230    87.2180     0.5470     4.5275     2.3385     2.3384     0.4648     0.0386  7.7335410     0.0079 1.2051e+01     1.5825     100.00     5.0000    5.24929   98.84261    33.0309    33.0265    23.4604    23.4570         41 0.0000e+00
 277.080963      9.000      8.936   4.476428   4.475972    19.2264    19.2273    19.2248    19.2257    87.2280     0.5466     4.5280     2.3373     2.3371     0.4364     0.0375  6.7647414     0.0069 1.0837e+01     1.5380     100.00     5.0000    5.25422   98.93963    33.0318    33.0273    23.4606    23.4570         44 0.0000e+00
 277.080994     10.000      9.921   4.476481   4.476015    19.2264    19.2271    19.2247    19.2253    87.2156     0.5471     4.5274     2.3411     2.3410     0.4592     0.0384  6.0077796     0.0061 9.3320e+00     1.4767     100.00     5.0000    5.25692   98.99045    33.0319    33.0275    23.4607    23.4572         36 0.0000e+00
 277.081024     11.000     10.924   4.476550   4.476088    19.2263    19.2269    19.2244    19.2250    87.2152     0.5472     4.5274     2.3397     2.3395     0.4388     0.0376  5.9355764     0.0061 9.1727e+00     1.4694     100.00     5.0000    5.25894   99.02851    33.0322    33.0279    23.4610    23.4576         28 0.0000e+00
 277.081024     12.000     11.920   4.476593   4.476137    19.2267    19.2271    19.2246    19.2250    87.2211     0.5469     4.5277     2.3375     2.3373     0.4361     0.0374  5.9963708     0.0061 9.4071e+00     1.4798     100.00     5.0000    5.24852   98.83282    33.0318    33.0278    23.4607    23.4575         50 0.0000e+00
 277.081055     13.000     12.907   4.476634   4.476183    19.2265    19.2268    19.2242    19.2245    87.2368     0.5462     4.5285     2.3374     2.3372     0.4431     0.0377  5.4586163     0.0056 8.6498e+00     1.4453     100.00     5.0000    5.25733   98.99850    33.0320    33.0281    23.4610    23.4579         67 0.0000e+00
 277.081085     14.000     13.898   4.476804   4.476339    19.2259    19.2258    19.2234    19.2234    87.2251     0.5467     4.5279     2.3383     2.3381     0.4382     0.0375  4.9648643     0.0051 8.3704e+00     1.4316     100.00     5.0000    5.25839   99.01814    33.0336    33.0298    23.4623    23.4594         57 0.0000e+00
 277.081116     15.000     14.884   4.476866   4.476401    19.2233    19.2246    19.2206    19.2219    87.1980     0.5480     4.5265     2.3385     2.3383     0.4601     0.0384  4.8089242     0.0049 7.8017e+00     1.4031     100.00     5.0000    5.26157   99.07452    33.0358    33.0309    23.4647    23.4607         32 0.0000e+00
 277.081116     16.000     15.890   4.476900   4.476436    19.2241    19.2248    19.2213    19.2220    87.2333     0.5463     4.5283     2.3404     2.3402     0.4379     0.0375  4.8247352     0.0049 8.0126e+00     1.4139     100.00     5.0000    5.26768   99.19074    33.0351    33.0307    23.4640    23.4605         28 0.0000e+00
 277.081146     17.000     16.885   4.476890   4.476468    19.2228    19.2245    19.2197    19.2215    87.2333     0.5463     4.5283     2.3388     2.3386     0.4436     0.0377  4.7215009     0.0048 7.8947e+00     1.4079     100.00     5.0000    5.25414   98.93365    33.0357    33.0308    23.4649    23.4607         42 0.0000e+00
