      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 273.627106      3.000      2.977   4.228385   4.227827    16.2888    16.2859    16.2883    16.2854    84.1841     0.6887     4.3721     2.3942     2.3941     1.5619     0.0825  14.713189     0.0150 3.8506e+01     2.0750     100.00     5.0000    5.73115  102.21474    33.3140    33.3115    24.3855    24.3842         53 0.0000e+00
 273.627594      4.000      3.967   4.229924   4.229571    16.3035    16.3042    16.3029    16.3035    84.5336     0.6721     4.3900     2.3981     2.3979     1.3970     0.0759  16.236485     0.0166 3.2841e+01     2.0070     100.00     5.0000    5.75457  102.66260    33.3148    33.3112    24.3828    24.3798         43 0.0000e+00
 273.627594      5.000      4.970   4.229525   4.229291    16.2991    16.2999    16.2983    16.2991    84.5305     0.6722     4.3899     2.3980     2.3979     1.4614     0.0785  14.841925     0.0152 2.8938e+01     1.9530     100.00     5.0000    5.73030  102.22053    33.3146    33.3119    24.3837    24.3814         38 0.0000e+00
 273.627625      6.000      5.949   4.226721   4.226213    16.2696    16.2679    16.2687    16.2669    83.9634     0.6992     4.3608     2.3879     2.3877     1.6569     0.0863  13.399452     0.0137 2.4830e+01     1.8874     100.00     5.0000    5.71599  101.90639    33.3142    33.3112    24.3902    24.3883         34 0.0000e+00
 273.627625      7.000      6.949   4.214468   4.214065    16.1407    16.1365    16.1396    16.1354    83.7479     0.7094     4.3498     2.3872     2.3871     1.6239     0.0850  12.365156     0.0126 2.2119e+01     1.8383     100.00     5.0000    5.73115  101.91920    33.3138    33.3138    24.4192    24.4201         31 0.0000e+00
 273.627655      8.000      7.938   4.211104   4.208986    16.1051    16.0846    16.1039    16.0833    83.6440     0.7144     4.3445     2.3833     2.3831     1.7246     0.0890  11.424310     0.0117 1.9995e+01     1.7956     100.00     5.0000    5.71047  101.48048    33.3136    33.3121    24.4271    24.4307         30 0.0000e+00
 273.627655      9.000      8.937   4.204416   4.203858    16.0338    16.0291    16.0324    16.0277    83.3955     0.7263     4.3317     2.3793     2.3791     1.8048     0.0922  10.333389     0.0106 1.8179e+01     1.7552     100.00     5.0000    5.71738  101.46173    33.3139    33.3129    24.4436    24.4439         30 0.0000e+00
 273.627686     10.000      9.931   4.190083   4.189955    15.8816    15.8804    15.8800    15.8788    83.1044     0.7403     4.3168     2.3737     2.3735     2.0342     0.1014  9.3173504     0.0095 1.6225e+01     1.7068     100.00     5.0000    5.69965  100.84596    33.3144    33.3143    24.4784    24.4785         51 0.0000e+00
 273.627716     11.000     10.913   4.176287   4.176200    15.7361    15.7362    15.7344    15.7345    83.1823     0.7365     4.3208     2.3434     2.3433     2.0736     0.1029  8.4175491     0.0086 1.4429e+01     1.6577     100.00     5.0000    5.61910   99.13627    33.3139    33.3131    24.5106    24.5100         37 0.0000e+00
 273.627747     12.000     11.908   4.167505   4.167515    15.6435    15.6416    15.6417    15.6398    83.2071     0.7354     4.3221     2.3304     2.3303     2.0963     0.1039  7.6032362     0.0078 1.2729e+01     1.6041     100.00     5.0000    5.60647   98.73221    33.3134    33.3151    24.5309    24.5327         29 0.0000e+00
 273.627747     13.000     12.903   4.156146   4.156317    15.5186    15.5175    15.5167    15.5155    83.0480     0.7430     4.3139     2.3269     2.3268     2.1226     0.1049  7.0315976     0.0072 1.0591e+01     1.5287     100.00     5.0000    5.61241   98.59538    33.3171    33.3196    24.5615    24.5637         25 0.0000e+00
 273.627777     14.000     13.906   4.144634   4.145282    15.3927    15.3982    15.3906    15.3961    82.9010     0.7501     4.3064     2.3191     2.3190     2.4182     0.1167  6.3129525     0.0064 9.5083e+00     1.4839     100.00     5.0000    5.58569   97.88380    33.3202    33.3214    24.5918    24.5915         32 0.0000e+00
 273.627808     15.000     14.889   4.130978   4.131807    15.2429    15.2508    15.2406    15.2485    82.7546     0.7572     4.2989     2.2881     2.2880     2.4672     0.1187  5.3177028     0.0054 8.1324e+00     1.4193     100.00     5.0000    5.48888   95.90536    33.3243    33.3250    24.6278    24.6267         41 0.0000e+00
 273.627838     16.000     15.878   4.100832   4.106194    14.9138    14.9642    14.9115    14.9618    82.4638     0.7713     4.2840     2.2561     2.2560     2.6926     0.1277  4.7624278     0.0049 7.1364e+00     1.3667     100.00     5.0000    5.43386   94.32629    33.3319    33.3375    24.7053    24.6987         31 0.0000e+00
 273.627838     17.000     16.874   4.090483   4.088424    14.7991    14.7716    14.7966    14.7691    82.3290     0.7778     4.2771     2.2450     2.2448     2.8504     0.1340  3.9823895     0.0041 6.5347e+00     1.3308     100.00     5.0000    5.41769   93.83253    33.3356    33.3405    24.7329    24.7425         27 0.0000e+00
 273.627838     18.000     17.872   4.059749   4.054945    14.4634    14.4007    14.4608    14.3981    81.9750     0.7950     4.2590     2.2251     2.2250     3.0370     0.1415  2.0605440     0.0021 6.6313e+00     1.3368     100.00     5.0000    5.33487   91.78393    33.3428    33.3528    24.8099    24.8309         36 0.0000e+00
 273.627869     19.000     18.858   4.037630   4.039214    14.2219    14.2364    14.2192    14.2337    81.6441     0.8112     4.2420     2.1607     2.1605     3.4322     0.1573  3.5225263     0.0036 5.8469e+00     1.2863     100.00     5.0000    5.11231   87.52747    33.3475    33.3495    24.8645    24.8631         55 0.0000e+00
 273.627899     20.000     19.847   4.005315   4.008431    13.8727    13.8823    13.8698    13.8795    81.2470     0.8308     4.2217     2.1099     2.1098     3.3142     0.1526  2.6993484     0.0028 5.2262e+00     1.2415     100.00     5.0000    5.02113   85.36184    33.3507    33.3712    24.9395    24.9533         30 0.0000e+00
 273.627899     21.000     20.849   3.951371   3.950018    13.2603    13.2319    13.2574    13.2290    81.6467     0.8111     4.2421     2.0791     2.0790     3.3889     0.1556  2.3521025     0.0024 4.5925e+00     1.1903     100.00     5.0000    4.97546   83.54900    33.3806    33.3928    25.0872    25.1023         29 0.0000e+00
 273.627930     22.000     21.837   3.937098   3.939113    13.1004    13.1169    13.0974    13.1140    81.6774     0.8096     4.2437     2.0349     2.0348     3.4949     0.1598  1.9933370     0.0020 3.9569e+00     1.1324     100.00     5.0000    4.76878   79.81870    33.3860    33.3905    25.1234    25.1236         33 0.0000e+00
 273.627930     23.000     22.831   3.921367   3.929018    12.9203    12.9984    12.9172    12.9953    81.7700     0.8050     4.2485     1.9570     1.9569     3.3864     0.1555  1.3875685     0.0014 3.4213e+00     1.0768     100.00     5.0000    4.37284   72.92695    33.3954    33.3990    25.1662    25.1537         31 0.0000e+00
 273.627960     24.000     23.822   3.896383   3.897728    12.6328    12.6338    12.6297    12.6307    81.8735     0.8000     4.2538     1.8411     1.8411     3.4219     0.1569  1.1935368     0.0012 2.7491e+00     0.9932     100.00     5.0000    3.93121   65.17797    33.4114    33.4234    25.2350    25.2440         32 0.0000e+00
 273.627960     25.000     24.814   3.849573   3.853735    12.0838    12.1107    12.0806    12.1075    81.9940     0.7941     4.2599     1.7261     1.7260     3.4839     0.1594  1.1956823     0.0012 2.5147e+00     0.9626     100.00     5.0000    3.65432   59.91209    33.4501    33.4664    25.3700    25.3775         30 0.0000e+00
 273.627991     26.000     25.805   3.778537   3.780217    11.2370    11.2325    11.2338    11.2293    82.8904     0.7506     4.3059     1.6434     1.6434     3.1822     0.1473  0.7461632     0.0008 2.2021e+00     0.9143     100.00     5.0000    3.54233   57.06903    33.5197    33.5404    25.5807    25.5976         27 0.0000e+00
 273.627991     27.000     26.801   3.739276   3.741025    10.7654    10.7719    10.7622    10.7687    83.9749     0.6986     4.3614     1.5898     1.5898     2.6280     0.1251  0.6466261     0.0007 1.9029e+00     0.8637     100.00     5.0000    3.48765   55.63839    33.5602    33.5717    25.6966    25.7043         24 0.0000e+00
 273.628021     28.000     27.799   3.728412   3.729725    10.6231    10.6243    10.6198    10.6210    84.4710     0.6751     4.3868     1.5479     1.5478     2.2901     0.1116  0.0133162     0.0000 1.7315e+00     0.8316     100.00     5.0000    3.39258   53.96423    33.5818    33.5939    25.7384    25.7475         29 0.0000e+00
 273.628021     29.000     28.788   3.723013   3.724078    10.5459    10.5488    10.5425    10.5454    85.0336     0.6485     4.4156     1.4961     1.4961     1.9238     0.0970  0.0002000     0.0000 1.5137e+00     0.7869     100.00     5.0000    3.27718   52.04714    33.5984    33.6064    25.7647    25.7705         44 0.0000e+00
 273.628052     30.000     29.775   3.717007   3.718190    10.4447    10.4529    10.4412    10.4495    85.4205     0.6303     4.4355     1.4557     1.4557     1.7503     0.0900  0.0002000     0.0000 1.3175e+00     0.7422     100.00     5.0000    3.22708   51.15023    33.6309    33.6352    25.8076    25.8096         38 0.0000e+00
 273.628052     31.000     30.767   3.716796   3.717397    10.4268    10.4278    10.4232    10.4242    85.7984     0.6127     4.4548     1.4380     1.4380     1.5671     0.0827  0.0002000     0.0000 1.0316e+00     0.6676     100.00     5.0000    3.18545   50.47538    33.6449    33.6500    25.8216    25.8255         26 0.0000e+00
 273.628082     32.000     31.765   3.717117   3.717660    10.4248    10.4254    10.4211    10.4217    85.8078     0.6122     4.4553     1.4240     1.4240     1.4922     0.0797  0.0002000     0.0000 8.9157e-01     0.6261     100.00     5.0000    3.13397   49.65896    33.6495    33.6544    25.8257    25.8294         26 0.0000e+00
