      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 276.927582      1.000      0.964   4.481716   4.481412    19.2662    19.2683    19.2660    19.2681    86.9998     0.5571     4.5164     2.3425     2.3423     0.4087     0.0363  1023.2859     1.0451 4.0761e+03     4.1330     100.00     5.0000    5.26087   99.14708    33.0466    33.0425    23.4615    23.4578         12 0.0000e+00
 276.927582      2.000      1.982   4.481800   4.481409    19.2665    19.2678    19.2662    19.2674    87.0356     0.5554     4.5182     2.3424     2.3422     0.4070     0.0363  661.58459     0.6757 2.3141e+03     3.8188     100.00     5.0000    5.25391   99.01645    33.0467    33.0425    23.4615    23.4579         28 0.0000e+00
 276.927582      3.000      2.983   4.481390   4.480887    19.2626    19.2628    19.2621    19.2622    87.0482     0.5548     4.5188     2.3397     2.3395     0.4047     0.0362  757.12756     0.7733 1.4669e+03     3.6440     100.00     5.0000    5.24555   98.85144    33.0461    33.0418    23.4620    23.4588         49 0.0000e+00
 276.927612      4.000      3.962   4.480859   4.480266    19.2577    19.2570    19.2570    19.2563    87.0395     0.5552     4.5184     2.3387     2.3386     0.4166     0.0367  671.81482     0.6862 1.3673e+03     3.6186     100.00     5.0000    5.25041   98.93337    33.0453    33.0409    23.4627    23.4596         34 0.0000e+00
 276.927643      5.000      4.973   4.479912   4.479138    19.2484    19.2463    19.2476    19.2454    87.0448     0.5550     4.5187     2.3377     2.3376     0.4392     0.0376  424.45670     0.4335 9.0020e+02     3.4313     100.00     5.0000    5.24323   98.78062    33.0444    33.0397    23.4645    23.4614         34 0.0000e+00
 276.927673      6.000      5.950   4.479725   4.479303    19.2460    19.2472    19.2450    19.2461    87.0452     0.5550     4.5187     2.3364     2.3363     0.4384     0.0375  342.09061     0.3494 5.7062e+02     3.2395     100.00     5.0000    5.24074   98.72918    33.0445    33.0401    23.4652    23.4615         35 0.0000e+00
 276.927673      7.000      6.954   4.480386   4.479630    19.2514    19.2497    19.2502    19.2485    87.0439     0.5550     4.5186     2.3300     2.3299     0.4124     0.0365  332.54883     0.3396 6.0203e+02     3.2629      91.90     4.5949    5.20887   98.13922    33.0453    33.0404    23.4645    23.4612         31 0.0000e+00
 276.927704      8.000      7.942   4.480732   4.479941    19.2539    19.2519    19.2525    19.2505    87.0492     0.5548     4.5189     2.3292     2.3290     0.4196     0.0368  341.98605     0.3493 6.0613e+02     3.2646      91.41     4.5707    5.23175   98.57512    33.0458    33.0409    23.4643    23.4610         57 0.0000e+00
 276.927734      9.000      8.928   4.480733   4.480348    19.2535    19.2552    19.2520    19.2536    87.0449     0.5550     4.5187     2.3324     2.3322     0.4047     0.0362  317.32983     0.3241 6.1869e+02     3.2750     100.29     5.0143    5.23585   98.65179    33.0458    33.0413    23.4644    23.4606         29 0.0000e+00
 276.927734     10.000      9.926   4.480237   4.479460    19.2487    19.2468    19.2469    19.2450    87.0455     0.5550     4.5187     2.3333     2.3331     0.4307     0.0372  301.60757     0.3080 6.1123e+02     3.2705     100.00     5.0000    5.24010   98.72263    33.0452    33.0403    23.4652    23.4620         21 0.0000e+00
 276.927734     11.000     10.927   4.479563   4.478947    19.2425    19.2421    19.2405    19.2401    87.0438     0.5550     4.5186     2.3326     2.3324     0.4410     0.0376  349.09851     0.3566 5.2613e+02     3.2048     100.00     5.0000    5.23639   98.64075    33.0442    33.0394    23.4661    23.4626         23 0.0000e+00
 276.927765     12.000     11.919   4.480163   4.479276    19.2474    19.2446    19.2453    19.2425    87.0437     0.5550     4.5186     2.3334     2.3332     0.4337     0.0373  268.43799     0.2742 5.6911e+02     3.2339     100.00     5.0000    5.24329   98.78017    33.0449    33.0398    23.4654    23.4622         38 0.0000e+00
 276.927795     13.000     12.909   4.478786   4.478553    19.2352    19.2381    19.2329    19.2358    87.0471     0.5549     4.5188     2.3359     2.3358     0.4429     0.0377  286.30283     0.2924 5.5269e+02     3.2239     100.00     5.0000    5.25435   98.96468    33.0429    33.0386    23.4670    23.4630         51 0.0000e+00
 276.927795     14.000     13.896   4.477062   4.476570    19.2204    19.2211    19.2179    19.2186    87.0401     0.5552     4.5184     2.3382     2.3381     0.4486     0.0379  201.10034     0.2054 5.2808e+02     3.2002     100.00     5.0000    5.25534   98.95440    33.0401    33.0354    23.4687    23.4650         45 0.0000e+00
 276.927826     15.000     14.886   4.475387   4.475529    19.2059    19.2118    19.2032    19.2092    87.0277     0.5558     4.5178     2.3354     2.3352     0.4377     0.0375  284.08627     0.2902 5.0105e+02     3.1804     100.00     5.0000    5.25133   98.85072    33.0374    33.0339    23.4704    23.4662         29 0.0000e+00
 276.927826     16.000     15.880   4.474948   4.474083    19.2018    19.1994    19.1990    19.1966    86.8832     0.5624     4.5104     2.3369     2.3368     0.4375     0.0375  256.61725     0.2621 5.5801e+02     3.2310     100.00     5.0000    5.26454   99.09143    33.0366    33.0314    23.4709    23.4675         21 0.0000e+00
 276.927856     17.000     16.878   4.475983   4.475410    19.2103    19.2103    19.2073    19.2073    87.0186     0.5562     4.5173     2.3388     2.3387     0.4350     0.0374  248.62822     0.2539 5.0061e+02     3.1836     100.00     5.0000    5.26853   99.18296    33.0382    33.0334    23.4699    23.4663         19 0.0000e+00
 276.927856     18.000     17.863   4.472094   4.471097    19.1770    19.1736    19.1739    19.1704    87.0192     0.5562     4.5173     2.3396     2.3395     0.4392     0.0376  189.97191     0.1940 4.8673e+02     3.1716     100.00     5.0000    5.26993   99.14433    33.0321    33.0265    23.4737    23.4704         17 0.0000e+00
