      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 282.727844      5.000      4.966   4.173949   4.173949    15.9103    15.9117    15.9095    15.9109    82.5334     0.7679     4.2876     2.3442     2.3441     1.2000     0.0680  97.351105     0.0994 2.3630e+02     2.8607     100.00     5.0000    5.63717   99.69560    33.1490    33.1479    24.3446    24.3434         14 0.0000e+00
 282.727844      6.000      5.961   4.174016   4.173855    15.9093    15.9103    15.9084    15.9094    82.7491     0.7574     4.2986     2.3442     2.3442     1.4221     0.0769  76.295670     0.0779 1.8995e+02     2.7625     100.00     5.0000    5.64341   99.80460    33.1501    33.1478    24.3456    24.3437         39 0.0000e+00
 282.727875      7.000      6.944   4.174055   4.173870    15.9089    15.9095    15.9078    15.9084    82.8244     0.7538     4.3025     2.3473     2.3473     1.6236     0.0849  71.828537     0.0734 1.6434e+02     2.7012     100.00     5.0000    5.64847   99.89346    33.1504    33.1483    24.3460    24.3443         43 0.0000e+00
 282.727875      8.000      7.942   4.174168   4.173960    15.9096    15.9102    15.9084    15.9090    82.7774     0.7561     4.3001     2.3451     2.3450     1.6120     0.0845  56.229240     0.0574 1.4611e+02     2.6499     100.00     5.0000    5.63606   99.67557    33.1504    33.1481    24.3459    24.3440         32 0.0000e+00
 282.727905      9.000      8.937   4.174151   4.173980    15.9089    15.9097    15.9075    15.9083    82.7693     0.7565     4.2997     2.3442     2.3442     1.5532     0.0821  43.350235     0.0443 1.2267e+02     2.5739     100.00     5.0000    5.64190   99.77744    33.1505    33.1483    24.3461    24.3443         37 0.0000e+00
 282.727936     10.000      9.927   4.174214   4.174025    15.9091    15.9098    15.9076    15.9082    82.8483     0.7526     4.3037     2.3467     2.3466     1.6116     0.0845  40.889175     0.0418 1.1137e+02     2.5328     100.00     5.0000    5.65012   99.92312    33.1505    33.1483    24.3461    24.3443         55 0.0000e+00
 282.727936     11.000     10.917   4.174304   4.174144    15.9099    15.9110    15.9082    15.9093    82.8658     0.7518     4.3046     2.3437     2.3437     1.6113     0.0845  35.782360     0.0365 1.0313e+02     2.4993     100.00     5.0000    5.63255   99.61382    33.1502    33.1479    24.3458    24.3438         36 0.0000e+00
 282.727966     12.000     11.913   4.174356   4.174189    15.9099    15.9109    15.9081    15.9091    82.8717     0.7515     4.3049     2.3430     2.3429     1.6183     0.0847  29.717981     0.0304 8.8310e+01     2.4320     100.00     5.0000    5.63873   99.72334    33.1503    33.1480    24.3459    24.3439         35 0.0000e+00
 282.727966     13.000     12.899   4.174672   4.174444    15.9148    15.9148    15.9128    15.9128    82.8814     0.7510     4.3054     2.3433     2.3433     1.6919     0.0877  26.204033     0.0268 7.7891e+01     2.3784     100.00     5.0000    5.63877   99.73243    33.1487    33.1466    24.3436    24.3420         31 0.0000e+00
 282.727997     14.000     13.899   4.174680   4.174442    15.9139    15.9136    15.9117    15.9115    82.8753     0.7513     4.3051     2.3433     2.3433     1.7151     0.0886  25.664446     0.0262 7.4525e+01     2.3593     100.00     5.0000    5.64606   99.85998    33.1491    33.1472    24.3441    24.3427         28 0.0000e+00
 282.727997     15.000     14.898   4.174469   4.174282    15.9099    15.9106    15.9076    15.9083    82.8810     0.7511     4.3054     2.3455     2.3455     1.7624     0.0905  25.119658     0.0257 7.1814e+01     2.3433     100.00     5.0000    5.65183   99.95478    33.1502    33.1479    24.3459    24.3440         38 0.0000e+00
 282.728058     16.000     15.874   4.174560   4.174351    15.9102    15.9109    15.9077    15.9085    82.9066     0.7498     4.3067     2.3460     2.3460     1.8083     0.0923  21.677248     0.0221 6.3955e+01     2.2931     100.00     5.0000    5.65070   99.93539    33.1504    33.1479    24.3461    24.3440         35 0.0000e+00
