      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 282.983124      2.000      1.984   4.196308   4.196020    15.9833    15.9841    15.9830    15.9838    80.3424     0.8755     4.1753     2.3713     2.3712     2.8670     0.1347  129.45197     0.1322 4.4680e+02     3.1352      69.90     3.4948    5.71453  101.29427    33.2871    33.2839    24.4342    24.4315         33 0.0000e+00
 282.983154      3.000      2.978   4.196261   4.196106    15.9832    15.9842    15.9827    15.9837    80.2610     0.8795     4.1712     2.3705     2.3704     2.7165     0.1287  104.81046     0.1070 3.1912e+02     2.9875      99.77     4.9883    5.68898  100.84057    33.2865    33.2843    24.4338    24.4318         45 0.0000e+00
 282.983185      4.000      3.959   4.196290   4.196134    15.9832    15.9839    15.9826    15.9833    80.2139     0.8819     4.1688     2.3685     2.3684     2.7948     0.1318  119.83255     0.1224 2.6258e+02     2.9036      43.05     2.1525    5.69896  101.01740    33.2863    33.2844    24.4337    24.4320         33 0.0000e+00
 282.983215      5.000      4.969   4.196451   4.196304    15.9840    15.9851    15.9833    15.9844    80.1057     0.8873     4.1632     2.3696     2.3695     2.7204     0.1288  92.950195     0.0949 2.0905e+02     2.8039      55.08     2.7538    5.69467  100.94325    33.2867    33.2845    24.4338    24.4318         26 0.0000e+00
 282.983215      6.000      5.957   4.196412   4.196226    15.9834    15.9838    15.9825    15.9828    80.2860     0.8783     4.1724     2.3633     2.3632     2.7634     0.1305  75.091949     0.0767 1.6971e+02     2.7149      73.88     3.6941    5.66667  100.44556    33.2865    33.2845    24.4338    24.4322         41 0.0000e+00
 282.983276      7.000      6.948   4.196410   4.196187    15.9827    15.9830    15.9817    15.9819    80.3606     0.8746     4.1763     2.3580     2.3579     2.7728     0.1309  58.083229     0.0593 1.4013e+02     2.6298      72.52     3.6262    5.65429  100.22501    33.2866    33.2844    24.4341    24.4324         36 0.0000e+00
 282.983307      8.000      7.943   4.196386   4.196177    15.9821    15.9825    15.9809    15.9813    80.4160     0.8718     4.1791     2.3542     2.3540     2.7991     0.1320  23.853695     0.0244 8.6563e+01     2.4201      99.95     4.9975    5.64891  100.12829    33.2866    33.2844    24.4342    24.4325         51 0.0000e+00
 282.983337      9.000      8.932   4.195753   4.195699    15.9755    15.9776    15.9741    15.9762    80.5012     0.8676     4.1835     2.3553     2.3552     2.8156     0.1326  18.992424     0.0194 5.5190e+01     2.2294     100.00     5.0000    5.65657  100.25072    33.2861    33.2839    24.4354    24.4333         46 0.0000e+00
 282.983368     10.000      9.929   4.196502   4.196452    15.9823    15.9845    15.9807    15.9829    80.4261     0.8713     4.1796     2.3549     2.3548     2.9037     0.1361  20.794291     0.0212 5.5068e+01     2.2288     100.00     5.0000    5.66220  100.36435    33.2867    33.2844    24.4344    24.4321         64 0.0000e+00
 282.983429     11.000     10.915   4.196564   4.196332    15.9823    15.9828    15.9806    15.9811    80.4398     0.8706     4.1803     2.3558     2.3557     2.8958     0.1358  20.089090     0.0205 5.2608e+01     2.2092     100.00     5.0000    5.66459  100.40684    33.2869    33.2844    24.4345    24.4325         39 0.0000e+00
 282.983459     12.000     11.915   4.196879   4.196570    15.9850    15.9847    15.9831    15.9829    80.4432     0.8705     4.1805     2.3563     2.3561     2.8791     0.1352  18.213961     0.0186 4.7763e+01     2.1672     100.00     5.0000    5.66604  100.43780    33.2870    33.2845    24.4341    24.4322         35 0.0000e+00
 282.983490     13.000     12.907   4.197147   4.196909    15.9871    15.9876    15.9851    15.9856    80.4248     0.8714     4.1796     2.3558     2.3557     2.8457     0.1338  16.576441     0.0169 4.3041e+01     2.1228     100.00     5.0000    5.66445  100.41399    33.2872    33.2847    24.4338    24.4318         52 0.0000e+00
 282.983521     14.000     13.893   4.197173   4.196927    15.9869    15.9874    15.9848    15.9853    80.3993     0.8727     4.1782     2.3576     2.3575     2.9299     0.1372  15.029679     0.0154 3.7533e+01     2.0642     100.00     5.0000    5.67476  100.59645    33.2872    33.2846    24.4339    24.4318         55 0.0000e+00
 282.983551     15.000     14.891   4.196779   4.196497    15.9827    15.9826    15.9804    15.9802    80.4534     0.8700     4.1810     2.3582     2.3581     2.8980     0.1359  15.591208     0.0159 3.7461e+01     2.0634     100.00     5.0000    5.67323  100.56079    33.2869    33.2845    24.4346    24.4328         40 0.0000e+00
 282.983582     16.000     15.882   4.196790   4.196580    15.9824    15.9830    15.9799    15.9805    80.4861     0.8683     4.1827     2.3564     2.3563     2.8909     0.1356  15.587546     0.0159 3.7606e+01     2.0650     100.00     5.0000    5.66491  100.41254    33.2869    33.2845    24.4347    24.4327         51 0.0000e+00
 282.983612     17.000     16.878   4.196681   4.196371    15.9807    15.9804    15.9780    15.9778    80.5022     0.8675     4.1835     2.3560     2.3559     2.8699     0.1348  15.480063     0.0158 3.5861e+01     2.0447     100.00     5.0000    5.67234  100.54102    33.2870    33.2844    24.4352    24.4333         37 0.0000e+00
