TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
285.869690	2.000	1.985	14.8739	4.136035	2.1620	3.4325	42.3664	2.8797	41.9958	1.3364	26.73	4.4507	4.4508	33.6916	10.15111	176.45412	441.958	441.958	24.9908	1504.78	0.00	10	0.0000e+00
285.869751	3.000	2.978	14.4597	4.095706	2.3785	3.0448	46.7208	4.3031	63.3466	1.2847	25.69	4.3070	4.3071	33.6818	9.73468	167.82106	423.836	423.836	25.0719	1503.46	0.00	19	0.0000e+00
285.869812	4.000	3.970	13.9387	4.045398	2.6705	2.5770	52.5925	3.9067	57.4006	1.2350	24.70	4.0299	4.0300	33.6718	8.99466	153.43213	391.627	391.627	25.1736	1501.78	0.00	13	0.0000e+00
285.869873	5.000	4.963	13.7421	4.027724	2.9086	2.2259	57.3792	3.3953	49.7301	1.1974	23.95	3.7365	3.7366	33.6795	8.36090	142.05472	364.034	364.034	25.2202	1501.16	0.00	11	0.0000e+00
285.869934	6.000	5.956	13.5914	4.013980	3.1776	1.8631	62.7891	2.3782	34.4733	1.1428	22.86	3.5680	3.5680	33.6834	7.96650	134.94016	346.863	346.863	25.2541	1500.69	0.00	10	0.0000e+00
285.869995	7.000	6.948	13.4106	3.996815	3.4069	1.5797	67.3998	2.0352	29.3275	1.0931	21.86	3.4059	3.4060	33.6815	7.53655	127.18495	328.147	328.147	25.2894	1500.11	0.00	12	0.0000e+00
285.870056	8.000	7.941	13.2576	3.983020	3.6483	1.3003	72.2540	2.0960	30.2406	1.0370	20.74	3.2180	3.2180	33.6867	7.08078	119.12218	308.304	308.304	25.3243	1499.63	0.00	18	0.0000e+00
285.870117	9.000	8.933	13.2113	3.979112	3.6909	1.2529	73.1094	1.3419	18.9285	0.9967	19.93	3.1647	3.1647	33.6905	7.04573	118.42199	306.778	306.778	25.3366	1499.49	0.00	12	0.0000e+00
285.870178	10.000	9.926	13.1949	3.977823	3.6768	1.2684	72.8268	1.3824	19.5356	0.9459	18.92	3.1606	3.1607	33.6924	7.03982	118.28429	306.520	306.520	25.3413	1499.46	0.00	13	0.0000e+00
285.870239	11.000	10.918	13.1580	3.974382	3.7218	1.2189	73.7321	1.1832	16.5477	0.8880	17.76	3.1448	3.1448	33.6922	6.98747	117.31551	304.242	304.242	25.3486	1499.35	0.00	12	0.0000e+00
285.870300	12.000	11.911	13.1116	3.969957	3.7589	1.1788	74.4764	1.1023	15.3341	0.8431	16.86	3.1147	3.1147	33.6911	6.91479	115.98362	301.078	301.078	25.3571	1499.21	0.00	19	0.0000e+00
285.870361	13.000	12.904	13.0742	3.966471	3.7743	1.1621	74.7868	0.9933	13.6997	0.7908	15.82	3.0923	3.0923	33.6910	6.86273	115.02172	298.812	298.812	25.3645	1499.10	0.00	13	0.0000e+00
285.870422	14.000	13.896	12.9927	3.958574	3.8031	1.1313	75.3656	1.0665	14.7972	0.7563	15.13	3.0505	3.0505	33.6881	6.74458	112.84960	293.670	293.670	25.3785	1498.85	0.00	19	0.0000e+00
285.870453	15.000	14.889	13.0021	3.959755	3.8128	1.1209	75.5615	1.0400	14.3998	0.6815	13.63	3.0363	3.0363	33.6906	6.74348	112.85487	293.621	293.621	25.3785	1498.90	0.00	19	0.0000e+00
285.870544	16.000	15.881	13.0099	3.960632	3.8156	1.1179	75.6173	0.8749	11.9241	0.6597	13.19	3.0389	3.0389	33.6915	6.75181	113.01310	293.983	293.983	25.3777	1498.94	0.00	10	0.0000e+00
285.870605	17.000	16.874	13.0146	3.961139	3.8112	1.1227	75.5283	0.9809	13.5129	0.5803	11.61	3.0412	3.0412	33.6917	6.75695	113.11023	294.207	294.207	25.3770	1498.97	0.00	17	0.0000e+00
285.870667	18.000	17.866	13.0023	3.959976	3.8134	1.1203	75.5725	0.9116	12.4734	0.5654	11.31	3.0353	3.0353	33.6913	6.72922	112.61710	293.000	293.000	25.3791	1498.95	0.00	9	0.0000e+00
285.870697	19.000	18.859	12.9663	3.956450	3.8099	1.1240	75.5024	0.8404	11.4061	0.4880	9.76	3.0209	3.0209	33.6894	6.69101	111.89329	291.337	291.337	25.3848	1498.84	0.00	10	0.0000e+00
285.870789	20.000	19.851	12.8960	3.949794	3.8063	1.1278	75.4306	0.8910	12.1644	0.4603	9.21	2.9883	2.9883	33.6884	6.58468	109.95569	286.709	286.709	25.3979	1498.62	675.06	13	0.0000e+00
285.870850	21.000	20.844	12.6649	3.927587	3.8093	1.1247	75.4906	1.0423	14.4349	0.3933	7.87	2.8855	2.8855	33.6824	6.21935	103.35873	270.807	270.807	25.4387	1497.85	1494.66	17	0.0000e+00
285.870972	22.000	21.836	12.4575	3.910135	3.7614	1.1766	74.5279	0.7593	10.1896	0.3491	6.98	2.6127	2.6127	33.7006	5.54058	91.68913	241.252	241.252	25.4931	1497.19	1498.58	13	0.0000e+00
