TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.799927	2.000	1.985	13.9377	4.028893	4.0243	0.9019	79.8142	0.2303	2.2550	5.0000	100.00	2.8413	2.8413	33.5203	6.10401	104.01760	265.797	265.797	25.0567	1501.57	0.00	17	0.0000e+00
301.799957	3.000	2.978	13.8973	4.024974	4.0020	0.9244	79.3662	0.2470	2.5043	5.0000	100.00	2.8428	2.8428	33.5188	6.11607	104.13668	266.323	266.323	25.0639	1501.45	0.00	8	0.0000e+00
301.799988	4.000	3.970	13.8467	4.020010	3.9420	0.9858	78.1587	0.2875	3.1120	5.0000	100.00	2.8437	2.8437	33.5164	6.12694	104.21296	266.798	266.798	25.0726	1501.30	0.00	8	0.0000e+00
301.800018	5.000	4.963	13.8280	4.018369	3.9112	1.0175	77.5402	0.3178	3.5671	5.0000	100.00	2.8479	2.8479	33.5171	6.14345	104.45447	267.516	267.516	25.0770	1501.25	0.00	9	0.0000e+00
301.800018	6.000	5.956	13.8203	4.017711	3.9142	1.0144	77.6003	0.3454	3.9817	5.0000	100.00	2.8489	2.8489	33.5173	6.13874	104.35828	267.312	267.312	25.0787	1501.25	0.00	8	0.0000e+00
301.800049	7.000	6.948	13.8142	4.017185	3.9122	1.0165	77.5599	0.3758	4.4375	5.0000	100.00	2.8465	2.8465	33.5174	6.12969	104.19139	266.917	266.917	25.0801	1501.24	0.00	8	0.0000e+00
301.800079	8.000	7.941	13.8090	4.016797	3.9188	1.0097	77.6918	0.4016	4.8235	5.0000	100.00	2.8429	2.8430	33.5178	6.12222	104.05390	266.592	266.592	25.0815	1501.24	0.00	8	0.0000e+00
301.800110	9.000	8.933	13.8067	4.016650	3.9210	1.0075	77.7358	0.4260	5.1894	5.0000	100.00	2.8408	2.8408	33.5181	6.11964	104.00521	266.480	266.480	25.0823	1501.25	0.00	9	0.0000e+00
301.800110	10.000	9.926	13.8047	4.016539	3.9372	0.9907	78.0619	0.4485	5.5281	5.0000	100.00	2.8392	2.8392	33.5184	6.11569	103.93401	266.307	266.307	25.0829	1501.26	0.00	7	0.0000e+00
301.800140	11.000	10.919	13.8021	4.016345	3.9320	0.9960	77.9574	0.4728	5.8916	5.0000	100.00	2.8370	2.8370	33.5185	6.11102	103.84905	266.104	266.104	25.0836	1501.27	0.00	9	0.0000e+00
