TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.684998	1.000	0.993	13.4822	3.993087	3.6785	1.2665	72.8605	0.9518	13.0772	5.0000	100.00	3.0062	3.0062	33.5859	6.59393	111.37305	287.123	287.123	25.2008	1500.13	0.00	4	0.0000e+00
301.684998	2.000	1.985	13.4803	3.992969	3.6762	1.2691	72.8138	0.8767	11.9505	5.0000	100.00	3.0074	3.0074	33.5860	6.59908	111.45582	287.347	287.347	25.2013	1500.14	0.00	14	0.0000e+00
301.685059	3.000	2.978	13.4793	3.992944	3.6876	1.2565	73.0431	0.9722	13.3825	5.0000	100.00	3.0082	3.0082	33.5863	6.60177	111.49922	287.465	287.465	25.2017	1500.16	0.00	14	0.0000e+00
301.685089	4.000	3.970	13.4790	3.992946	3.6769	1.2683	72.8277	0.9711	13.3669	5.0000	100.00	3.0078	3.0079	33.5861	6.59805	111.43555	287.302	287.302	25.2017	1500.17	0.00	13	0.0000e+00
301.685120	5.000	4.963	13.4806	3.993133	3.6864	1.2578	73.0196	1.0321	14.2818	5.0000	100.00	3.0049	3.0049	33.5861	6.59215	111.33952	287.046	287.046	25.2013	1500.20	0.00	12	0.0000e+00
301.685150	6.000	5.956	13.4823	3.993323	3.6763	1.2689	72.8163	1.0310	14.2652	5.0000	100.00	3.0044	3.0045	33.5860	6.58642	111.24647	286.796	286.796	25.2010	1500.22	0.00	9	0.0000e+00
301.685181	7.000	6.948	13.4848	3.993591	3.6812	1.2635	72.9158	1.0538	14.6077	4.7460	94.92	2.9961	2.9961	33.5858	6.54593	110.56833	285.033	285.033	25.2003	1500.24	0.00	8	0.0000e+00
301.685211	8.000	7.941	13.4849	3.993623	3.6924	1.2512	73.1399	1.0951	15.2259	4.9958	99.92	2.9845	2.9845	33.5857	6.52291	110.17943	284.030	284.030	25.2003	1500.26	0.00	8	0.0000e+00
301.685242	9.000	8.933	13.4844	3.993624	3.7010	1.2417	73.3132	1.0613	14.7198	5.0000	100.00	2.9784	2.9784	33.5857	6.51774	110.09113	283.806	283.806	25.2004	1500.27	0.00	8	0.0000e+00
301.685242	10.000	9.926	13.4847	3.993703	3.7056	1.2367	73.4053	1.1131	15.4962	5.0000	100.00	2.9760	2.9760	33.5858	6.51638	110.06871	283.746	283.746	25.2005	1500.29	0.00	7	0.0000e+00
