TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
293.936829	1.000	0.993	13.6141	4.009530	1.2625	8.7351	24.2798	2.5990	37.7844	4.9268	98.54	3.4965	3.4966	33.6238	7.87455	133.39368	342.874	342.874	25.2033	1500.61	0.00	4	0.0000e+00
293.936859	2.000	1.985	13.6148	4.010090	2.9941	2.0546	59.0984	2.9170	42.5546	4.7942	95.88	3.5034	3.5034	33.6281	7.91114	134.01886	344.466	344.466	25.2064	1500.64	0.00	11	0.0000e+00
293.936890	3.000	2.978	13.5855	4.007308	3.1181	1.9383	61.5922	2.5159	36.5383	4.4254	88.51	3.5028	3.5028	33.6274	7.89370	133.64305	343.708	343.708	25.2119	1500.56	0.00	12	0.0000e+00
293.936920	4.000	3.970	13.5778	4.006650	3.1665	1.8760	62.5664	2.6147	38.0210	4.2998	86.00	3.5002	3.5002	33.6276	7.89768	133.68941	343.881	343.881	25.2137	1500.55	0.00	8	0.0000e+00
293.936951	5.000	4.963	13.5636	4.005459	3.1602	1.8841	62.4394	2.8251	41.1767	4.3915	87.83	3.4932	3.4932	33.6285	7.86728	133.13704	342.557	342.557	25.2173	1500.52	0.00	13	0.0000e+00
293.936981	6.000	5.956	13.5212	4.001245	3.1747	1.8654	62.7299	3.0296	44.2444	4.3305	86.61	3.4748	3.4749	33.6260	7.81134	132.07370	340.123	340.123	25.2240	1500.39	0.00	9	0.0000e+00
293.937012	7.000	6.948	13.4526	3.994866	3.1937	1.8412	63.1124	2.7844	40.5658	4.3690	87.38	3.4428	3.4429	33.6262	7.68641	129.77968	334.685	334.685	25.2381	1500.18	0.00	10	0.0000e+00
293.937042	8.000	7.941	13.3335	3.983819	3.2709	1.7443	64.6640	2.9223	42.6338	4.5212	90.42	3.3787	3.3787	33.6271	7.46043	125.65919	324.847	324.847	25.2629	1499.81	0.00	9	0.0000e+00
293.937073	9.000	8.933	13.2491	3.976278	3.4022	1.5838	67.3054	2.8153	41.0293	4.0672	81.34	3.2596	3.2597	33.6303	7.15923	120.37771	311.732	311.732	25.2824	1499.55	0.00	13	0.0000e+00
293.937103	10.000	9.926	13.1685	3.968849	3.3756	1.6159	66.7698	2.9687	43.3298	4.0630	81.26	3.1746	3.1746	33.6310	6.96833	116.97496	303.421	303.421	25.2991	1499.30	0.00	11	0.0000e+00
293.937134	11.000	10.919	13.0031	3.953371	3.3154	1.6896	65.5588	2.5481	37.0220	3.8746	77.49	3.0832	3.0832	33.6308	6.65831	111.39286	289.925	289.925	25.3319	1498.76	0.00	10	0.0000e+00
293.937164	12.000	11.911	12.8073	3.935285	3.3495	1.6478	66.2450	2.8762	41.9431	3.9413	78.83	2.9303	2.9303	33.6326	6.18630	103.07537	269.375	269.375	25.3720	1498.13	0.00	9	0.0000e+00
293.937195	13.000	12.904	12.6800	3.923529	3.3907	1.5978	67.0728	2.1080	30.4203	3.9027	78.05	2.7869	2.7869	33.6335	5.90152	98.07325	256.977	256.977	25.3976	1497.72	0.00	10	0.0000e+00
293.937256	14.000	13.896	12.5655	3.913342	3.5101	1.4575	69.4749	1.6602	23.7029	3.9470	78.94	2.6722	2.6722	33.6379	5.67970	94.16657	247.319	247.319	25.4234	1497.35	0.00	12	0.0000e+00
293.937286	15.000	14.889	12.4733	3.905433	3.6802	1.2651	72.8949	1.3085	18.4271	3.9095	78.19	2.5960	2.5960	33.6442	5.48517	90.77006	238.849	238.849	25.4461	1497.06	0.00	7	0.0000e+00
293.937286	16.000	15.881	12.4420	3.903199	3.7208	1.2204	73.7103	1.2428	17.4425	3.7486	74.97	2.5411	2.5411	33.6504	5.38204	89.00838	234.358	234.358	25.4570	1496.98	0.00	11	0.0000e+00
293.937347	17.000	16.874	12.4062	3.900427	3.7635	1.1739	74.5690	1.2553	17.6291	3.8836	77.67	2.5035	2.5034	33.6553	5.32135	87.94190	231.715	231.715	25.4678	1496.88	0.00	12	0.0000e+00
293.937378	18.000	17.866	12.3788	3.898319	3.8100	1.1240	75.5046	1.1286	15.7287	3.7710	75.42	2.4776	2.4776	33.6593	5.26726	87.00035	229.359	229.359	25.4761	1496.81	0.00	11	0.0000e+00
293.937378	19.000	18.859	12.3031	3.891362	3.8882	1.0416	77.0778	1.9204	27.6059	3.6264	72.53	2.4556	2.4556	33.6598	5.19441	85.66229	226.188	226.188	25.4911	1496.57	0.00	9	0.0000e+00
293.937439	20.000	19.851	12.1892	3.880719	3.9500	0.9781	78.3209	0.8720	11.8806	3.5576	71.15	2.4117	2.4117	33.6590	5.04485	82.99858	219.678	219.678	25.5122	1496.20	672.54	11	0.0000e+00
293.937439	21.000	20.844	12.0202	3.864698	4.0070	0.9194	79.4665	0.4894	6.1403	3.7250	74.50	2.3428	2.3427	33.6558	4.82240	79.05526	209.994	209.994	25.5419	1495.63	1558.88	8	0.0000e+00
293.937469	22.000	21.837	11.9272	3.856086	4.0334	0.8928	79.9971	0.3533	4.1000	3.4529	69.06	2.2772	2.2772	33.6557	4.67657	76.51519	203.646	203.646	25.5593	1495.33	1496.06	11	0.0000e+00
293.937500	23.000	22.829	11.8747	3.851908	4.0583	0.8678	80.4980	0.3223	3.6352	3.3941	67.88	2.2291	2.2290	33.6621	4.62179	75.53857	201.260	201.260	25.5741	1495.18	1496.03	11	0.0000e+00
