TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.748169	27.000	26.799	13.0463	3.954317	3.9895	0.9371	79.1149	0.4301	5.2522	2.8651	57.30	2.7218	2.7218	33.5948	5.76031	96.43204	250.829	250.829	25.2959	1499.13	1500.52	6	0.0000e+00
301.748199	28.000	27.791	12.8788	3.939149	4.0187	0.9075	79.7023	0.4260	5.1904	2.7551	55.10	2.6562	2.6561	33.5991	5.55877	92.73860	242.054	242.054	25.3324	1498.59	1500.45	7	0.0000e+00
301.748230	29.000	28.784	12.9181	3.943720	4.0115	0.9149	79.5558	0.4356	5.3339	2.5611	51.22	2.5877	2.5876	33.6072	5.47687	91.45102	238.486	238.486	25.3310	1498.75	1500.39	12	0.0000e+00
301.748260	30.000	29.776	12.7871	3.931298	4.0207	0.9055	79.7423	0.3702	4.3535	2.6798	53.60	2.5638	2.5638	33.6051	5.43782	90.55346	236.788	236.788	25.3551	1498.32	1500.33	7	0.0000e+00
301.748260	31.000	30.769	12.5395	3.906991	4.0816	0.8446	80.9658	0.3018	3.3267	2.7865	55.73	2.5239	2.5239	33.5932	5.25348	87.02843	228.767	228.767	25.3942	1497.49	1500.24	5	0.0000e+00
301.748291	32.000	31.761	12.4512	3.898819	4.0995	0.8268	81.3269	0.2950	3.2257	2.1987	43.97	2.4684	2.4683	33.5933	5.11369	84.55654	222.681	222.681	25.4114	1497.21	1500.16	6	0.0000e+00
301.748322	33.000	32.754	12.5139	3.905712	4.0858	0.8404	81.0507	0.3553	4.1300	2.1444	42.89	2.4176	2.4175	33.6029	5.08491	84.19563	221.425	221.425	25.4067	1497.45	1500.06	13	0.0000e+00
301.748352	34.000	33.746	12.4710	3.902223	4.1112	0.8153	81.5620	0.2733	2.8998	2.9311	58.62	2.4107	2.4106	33.6074	5.10051	84.38125	222.105	222.105	25.4185	1497.33	1499.99	7	0.0000e+00
301.748352	35.000	34.739	12.3157	3.887977	4.1343	0.7925	82.0264	0.2547	2.6207	2.0960	41.92	2.3862	2.3861	33.6091	4.96002	81.79288	215.989	215.989	25.4497	1496.82	1499.90	6	0.0000e+00
301.748383	36.000	35.731	12.1969	3.877502	4.1271	0.7996	81.8804	0.2754	2.9311	1.9915	39.83	2.3370	2.3369	33.6143	4.81120	79.14405	209.510	209.510	25.4765	1496.44	1499.81	7	0.0000e+00
301.748383	37.000	36.724	12.1053	3.869736	4.1439	0.7831	82.2196	0.2258	2.1870	1.9459	38.92	2.2848	2.2847	33.6212	4.69667	77.11539	204.523	204.523	25.4992	1496.15	1499.71	8	0.0000e+00
301.748413	38.000	37.716	12.0329	3.863395	4.1544	0.7729	82.4308	0.2437	2.4561	2.2555	45.11	2.2407	2.2406	33.6245	4.60421	75.48383	200.497	200.497	25.5156	1495.92	1499.61	8	0.0000e+00
301.748444	39.000	38.709	12.0213	3.862866	4.1496	0.7775	82.3342	0.2205	2.1082	1.8357	36.71	2.2070	2.2069	33.6294	4.56055	74.75209	198.596	198.596	25.5216	1495.90	1499.52	8	0.0000e+00
301.748474	40.000	39.701	11.9587	3.857101	4.1618	0.7657	82.5779	0.2343	2.3140	1.7990	35.98	2.1875	2.1874	33.6295	4.51014	73.82875	196.401	196.401	25.5335	1495.71	1499.42	9	0.0000e+00
301.748505	41.000	40.693	11.9176	3.853886	4.1524	0.7749	82.3888	0.2137	2.0052	1.7592	35.18	2.1652	2.1650	33.6349	4.45204	72.81734	193.871	193.871	25.5454	1495.59	1499.33	7	0.0000e+00
301.748505	42.000	41.686	11.8146	3.844729	4.1094	0.8171	81.5244	0.2041	1.8620	2.2393	44.79	2.1448	2.1447	33.6384	4.37726	71.44096	190.616	190.616	25.5674	1495.25	1499.23	6	0.0000e+00
301.748535	43.000	42.678	11.7194	3.836574	4.0497	0.8764	80.3252	0.1984	1.7760	1.6835	33.67	2.1130	2.1129	33.6446	4.27166	69.58054	186.018	186.018	25.5900	1494.95	1499.14	7	0.0000e+00
301.748566	44.000	43.671	11.6950	3.835158	4.0618	0.8643	80.5688	0.1983	1.7752	1.6048	32.10	2.0696	2.0695	33.6524	4.18146	68.07929	182.090	182.090	25.6006	1494.89	1499.04	9	0.0000e+00
301.748566	45.000	44.663	11.6101	3.827925	3.9821	0.9447	78.9647	0.2001	1.8019	1.5581	31.16	2.0378	2.0377	33.6583	4.10726	66.75385	178.859	178.859	25.6209	1494.62	1498.95	9	0.0000e+00
301.748596	46.000	45.655	11.4965	3.818407	3.8785	1.0521	76.8822	0.1902	1.6527	2.5470	50.94	2.0055	2.0054	33.6678	4.00534	64.94547	174.422	174.422	25.6492	1494.26	1498.84	7	0.0000e+00
301.748627	47.000	46.648	11.3745	3.808075	3.7030	1.2400	73.3529	0.1905	1.6575	1.4900	29.80	1.9694	1.9692	33.6768	3.87113	62.61063	168.578	168.578	25.6786	1493.86	1498.74	6	0.0000e+00
301.748657	48.000	47.640	11.3334	3.804802	3.6930	1.2507	73.1523	0.1800	1.4994	1.3993	27.99	1.9209	1.9207	33.6816	3.76234	60.79953	163.840	163.840	25.6898	1493.74	1498.64	9	0.0000e+00
301.748657	49.000	48.633	11.3383	3.805845	3.6651	1.2819	72.5912	0.1810	1.5146	2.1915	43.83	1.8836	1.8834	33.6870	3.72878	60.26543	162.378	162.378	25.6932	1493.78	1498.54	9	0.0000e+00
301.748688	50.000	49.625	11.2392	3.797382	3.5792	1.3777	70.8632	0.1834	1.5507	1.7688	35.38	1.8627	1.8625	33.6936	3.65232	58.90797	159.049	159.049	25.7163	1493.46	1498.44	8	0.0000e+00
