TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
281.844666	2.000	1.985	14.0030	4.044127	4.1011	0.8253	81.3580	0.3221	3.6322	3.5935	71.87	3.0419	3.0420	33.6046	6.62213	113.05572	288.340	288.340	25.1082	1501.88	0.00	11	0.0000e+00
281.844696	3.000	2.978	13.9912	4.042795	4.1455	0.7816	82.2504	0.2476	2.5134	3.5654	71.31	3.0388	3.0389	33.6022	6.61616	112.92496	288.081	288.081	25.1089	1501.85	0.00	17	0.0000e+00
281.844757	4.000	3.970	13.8454	4.028299	4.1429	0.7841	82.1990	0.2683	2.8244	3.7009	74.02	3.0332	3.0333	33.5947	6.61502	112.56601	288.034	288.034	25.1333	1501.39	0.00	17	0.0000e+00
281.844788	5.000	4.963	13.6758	4.012233	4.1226	0.8040	81.7914	0.3321	3.7822	3.3843	67.69	3.0301	3.0302	33.5932	6.63375	112.49499	288.853	288.853	25.1671	1500.85	0.00	13	0.0000e+00
281.844818	6.000	5.956	13.6171	4.006913	4.1005	0.8259	81.3452	0.3628	4.2423	3.4290	68.58	3.0258	3.0259	33.5947	6.62098	112.14494	288.297	288.297	25.1802	1500.67	0.00	9	0.0000e+00
281.844849	7.000	6.948	13.5727	4.002954	4.0937	0.8326	81.2092	0.3626	4.2397	3.3819	67.64	3.0182	3.0182	33.5963	6.60438	111.76337	287.575	287.575	25.1906	1500.54	0.00	8	0.0000e+00
281.844879	8.000	7.941	13.5353	3.999682	4.0803	0.8459	80.9396	0.8504	11.5556	3.3226	66.45	3.0117	3.0118	33.5981	6.59437	111.51013	287.139	287.139	25.1996	1500.44	0.00	9	0.0000e+00
281.844910	9.000	8.933	13.4919	3.995839	4.0659	0.8602	80.6509	0.5284	6.7265	3.5066	70.13	3.0054	3.0054	33.5999	6.58320	111.22359	286.653	286.653	25.2099	1500.31	0.00	8	0.0000e+00
281.844940	10.000	9.926	13.4105	3.988511	4.0581	0.8680	80.4936	0.7209	9.6129	3.2471	64.94	2.9970	2.9971	33.6024	6.56072	110.66127	285.675	285.675	25.2283	1500.07	0.00	9	0.0000e+00
281.844971	11.000	10.919	13.2582	3.974666	4.0218	0.9045	79.7632	0.6081	7.9222	3.1913	63.83	2.9798	2.9799	33.6062	6.51978	109.63010	283.894	283.894	25.2619	1499.58	0.00	8	0.0000e+00
