TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
279.936188	2.000	1.985	13.7024	4.028369	3.2287	1.7967	63.8162	1.4411	20.4167	3.2111	64.22	3.5905	3.5906	33.7218	8.11581	137.81244	353.353	353.353	25.2609	1501.03	0.00	10	0.0000e+00
279.936249	3.000	2.978	13.6848	4.026359	3.2168	1.8117	63.5767	1.3706	19.3595	1.3035	26.07	3.5952	3.5952	33.7181	8.13620	138.10599	354.242	354.242	25.2617	1500.99	0.00	11	0.0000e+00
279.936279	4.000	3.970	13.6197	4.020330	3.2243	1.8022	63.7279	1.5546	22.1194	1.7353	34.71	3.5930	3.5931	33.7187	8.11019	137.48271	353.111	353.111	25.2755	1500.79	0.00	9	0.0000e+00
279.936310	5.000	4.963	13.3217	3.990717	3.2256	1.8006	63.7533	1.9703	28.3539	1.2495	24.99	3.5638	3.5638	33.7037	8.03566	135.37906	349.875	349.875	25.3245	1499.81	0.00	11	0.0000e+00
279.936340	6.000	5.956	13.2027	3.979911	3.1957	1.8385	63.1532	2.3344	33.8166	1.1739	23.48	3.5138	3.5138	33.7068	7.90709	132.89005	344.278	344.278	25.3509	1499.43	0.00	10	0.0000e+00
279.936371	7.000	6.948	13.1276	3.973165	3.1858	1.8513	62.9535	2.7205	39.6078	2.0406	40.81	3.4506	3.4506	33.7094	7.73181	129.74527	336.647	336.647	25.3679	1499.20	0.00	13	0.0000e+00
279.936401	8.000	7.941	13.0834	3.969585	3.1654	1.8772	62.5436	2.9479	43.0183	1.0965	21.93	3.3644	3.3644	33.7143	7.46982	125.23927	325.240	325.240	25.3806	1499.08	0.00	13	0.0000e+00
279.936432	9.000	8.933	12.9347	3.955602	3.1721	1.8687	62.6775	2.6683	38.8248	1.7915	35.83	3.2532	3.2532	33.7136	7.09458	118.58637	308.905	308.905	25.4096	1498.60	0.00	10	0.0000e+00
279.936462	10.000	9.926	12.7970	3.943182	3.1883	1.8479	63.0036	2.6289	38.2341	0.9233	18.47	3.0762	3.0762	33.7179	6.64272	110.71793	289.232	289.232	25.4400	1498.16	0.00	12	0.0000e+00
279.936523	11.000	10.918	12.5085	3.915966	3.2313	1.7935	63.8677	2.5922	37.6823	1.4848	29.70	2.8891	2.8891	33.7155	6.11078	101.24422	266.076	266.076	25.4945	1497.20	0.00	15	0.0000e+00
279.936554	12.000	11.911	12.4164	3.908894	3.3275	1.6745	65.8038	1.9326	27.7886	1.2652	25.30	2.6854	2.6854	33.7298	5.56969	92.10855	242.515	242.515	25.5235	1496.92	0.00	11	0.0000e+00
279.936584	13.000	12.904	12.4113	3.909707	3.2495	1.7715	64.2349	1.4276	20.2135	1.2743	25.49	2.5296	2.5296	33.7417	5.13633	84.93935	223.644	223.644	25.5337	1496.94	0.00	9	0.0000e+00
279.936615	14.000	13.896	12.4121	3.910265	3.2345	1.7894	63.9331	2.0252	29.1776	1.0461	20.92	2.3709	2.3709	33.7460	4.88240	80.74360	212.587	212.587	25.5369	1496.96	0.00	16	0.0000e+00
279.936646	15.000	14.889	12.3003	3.899950	3.1610	1.8838	62.4558	1.7405	24.9078	2.0005	40.01	2.3038	2.3038	33.7469	4.71146	77.73741	205.146	205.146	25.5591	1496.60	0.00	11	0.0000e+00
279.936676	16.000	15.881	12.1279	3.883936	3.0184	2.0709	59.5876	1.1324	15.7856	0.6842	13.68	2.2057	2.2056	33.7473	4.34597	71.44821	189.234	189.234	25.5923	1496.03	0.00	9	0.0000e+00
279.936707	17.000	16.874	12.0556	3.877667	3.0273	2.0589	59.7672	1.2025	16.8372	1.1058	22.12	2.0965	2.0964	33.7514	4.17635	68.55618	181.849	181.849	25.6093	1495.80	0.00	10	0.0000e+00
279.936768	18.000	17.866	11.9837	3.871248	2.9204	2.2078	57.6168	1.1964	16.7455	2.1301	42.60	2.0567	2.0566	33.7537	4.13908	67.84407	180.227	180.227	25.6247	1495.58	0.00	9	0.0000e+00
279.936798	19.000	18.859	11.7660	3.850395	3.0140	2.0800	59.4985	0.9613	13.2194	2.0218	40.44	2.0108	2.0108	33.7476	3.92008	63.95979	170.695	170.695	25.6608	1494.84	0.00	9	0.0000e+00
279.936829	20.000	19.851	11.7107	3.846136	3.1191	1.9400	61.6122	0.9660	13.2897	0.4625	9.25	1.9154	1.9153	33.7559	3.73281	60.83458	162.540	162.540	25.6775	1494.67	758.91	10	0.0000e+00
279.936859	21.000	20.844	11.7050	3.845991	3.1025	1.9592	61.2789	1.0748	14.9215	1.5949	31.90	1.8846	1.8845	33.7592	3.71113	60.47528	161.596	161.596	25.6812	1494.68	1500.20	12	0.0000e+00
279.936890	22.000	21.836	11.6750	3.843396	3.1631	1.8803	62.4966	1.0161	14.0410	1.1752	23.50	1.8735	1.8734	33.7607	3.67764	59.89201	160.138	160.138	25.6880	1494.59	1494.63	12	0.0000e+00
279.936920	23.000	22.829	11.5755	3.834118	3.1983	1.8353	63.2045	0.8231	11.1466	0.4350	8.70	1.8525	1.8524	33.7599	3.60113	58.52318	156.808	156.808	25.7058	1494.26	1494.62	11	0.0000e+00
279.936951	24.000	23.821	11.5074	3.827701	3.2303	1.7947	63.8484	0.8465	11.4973	0.2896	5.79	1.8237	1.8236	33.7587	3.54127	57.46663	154.202	154.202	25.7174	1494.04	1494.60	10	0.0000e+00
279.937012	25.000	24.814	11.5106	3.828510	3.2476	1.7729	64.1967	0.8216	11.1246	0.2617	5.23	1.8067	1.8066	33.7632	3.52405	57.19259	153.452	153.452	25.7204	1494.07	1494.58	10	0.0000e+00
279.937073	26.000	25.806	11.4155	3.819685	3.2562	1.7622	64.3693	0.7500	10.0496	0.9710	19.42	1.7862	1.7861	33.7629	3.46492	56.12031	150.879	150.879	25.7376	1493.76	1494.56	8	0.0000e+00
