TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.918091	1.000	0.993	14.6314	4.098354	3.3260	1.6754	65.7729	0.5944	7.7162	2.5632	51.26	3.2438	3.2438	33.5586	7.03722	121.63223	306.417	306.417	24.9409	1503.84	0.00	4	0.0000e+00
301.918121	2.000	1.985	14.0040	4.035076	3.4075	1.5775	67.4112	0.4757	5.9349	1.0277	20.55	3.1895	3.1896	33.5198	6.94861	118.57042	302.574	302.574	25.0425	1501.78	0.00	12	0.0000e+00
301.918152	3.000	2.978	13.8782	4.024180	3.4310	1.5497	67.8836	0.5240	6.6607	1.3417	26.83	3.1481	3.1481	33.5280	6.85749	116.72385	298.606	298.606	25.0749	1501.40	0.00	10	0.0000e+00
301.918182	4.000	3.970	13.6488	4.001937	3.4728	1.5003	68.7252	0.5694	7.3411	0.8840	17.68	3.0833	3.0833	33.5211	6.67365	113.05907	290.605	290.605	25.1168	1500.66	0.00	11	0.0000e+00
301.918213	5.000	4.963	13.5937	3.997332	3.6164	1.3359	71.6113	0.9777	13.4651	0.8237	16.47	3.0390	3.0390	33.5259	6.65042	112.54176	289.594	289.594	25.1318	1500.50	0.00	9	0.0000e+00
301.918243	6.000	5.956	13.5490	3.993275	3.6954	1.2479	73.2008	0.7947	10.7208	1.1673	23.35	3.0309	3.0309	33.5268	6.62473	112.00523	288.475	288.475	25.1417	1500.37	0.00	10	0.0000e+00
301.918274	7.000	6.948	13.5308	3.991999	3.7128	1.2290	73.5506	0.7757	10.4351	1.6158	32.32	2.9969	2.9969	33.5304	6.50435	109.93153	283.233	283.233	25.1482	1500.33	0.00	10	0.0000e+00
301.918304	8.000	7.941	13.4971	3.989129	3.7846	1.1511	74.9936	0.8129	10.9937	0.6523	13.05	2.9554	2.9554	33.5328	6.36575	107.51635	277.198	277.198	25.1569	1500.24	0.00	8	0.0000e+00
301.918304	9.000	8.933	13.4576	3.985973	3.8176	1.1159	75.6582	0.6066	7.8989	1.3956	27.91	2.9000	2.9000	33.5375	6.21915	104.95866	270.814	270.814	25.1685	1500.13	0.00	11	0.0000e+00
301.918335	10.000	9.926	13.3615	3.977778	3.8036	1.1308	75.3760	0.5641	7.2617	0.5413	10.83	2.8330	2.8330	33.5446	6.03087	101.58582	262.615	262.615	25.1935	1499.84	0.00	9	0.0000e+00
301.918365	11.000	10.918	13.2881	3.971455	3.7919	1.1433	75.1403	0.6487	8.5298	2.0170	40.34	2.7619	2.7619	33.5495	5.83805	98.19243	254.219	254.219	25.2121	1499.61	0.00	9	0.0000e+00
301.918396	12.000	11.911	13.2403	3.967506	3.7709	1.1658	74.7188	0.6341	8.3120	1.3162	26.32	2.7023	2.7023	33.5540	5.73083	96.29733	249.550	249.550	25.2252	1499.48	0.00	11	0.0000e+00
301.918427	13.000	12.904	13.1693	3.961443	3.7368	1.2027	74.0333	0.7088	9.4325	0.4532	9.06	2.6529	2.6529	33.5591	5.60057	93.97445	243.878	243.878	25.2434	1499.26	0.00	9	0.0000e+00
301.918457	14.000	13.896	13.0378	3.949696	3.6642	1.2824	72.5725	0.5066	6.3991	1.3750	27.50	2.5923	2.5923	33.5639	5.40290	90.41569	235.271	235.271	25.2733	1498.85	0.00	9	0.0000e+00
301.918488	15.000	14.889	12.9824	3.945126	3.5366	1.4268	70.0070	0.4718	5.8773	0.3330	6.66	2.5109	2.5109	33.5693	5.21101	87.10670	226.915	226.915	25.2885	1498.69	0.00	10	0.0000e+00
301.918518	16.000	15.881	12.9741	3.944748	3.4144	1.5695	67.5505	0.4157	5.0356	0.6615	13.23	2.4580	2.4580	33.5726	5.13726	85.86108	223.703	223.703	25.2927	1498.68	0.00	12	0.0000e+00
301.918640	17.000	16.874	12.9715	3.944974	3.3508	1.6458	66.2705	0.4710	5.8643	1.7131	34.26	2.4201	2.4201	33.5767	5.08397	84.96800	221.382	221.382	25.2964	1498.69	0.00	14	0.0000e+00
