TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
287.854950	2.000	1.985	14.9510	4.141784	2.4139	2.9840	47.4316	3.9496	58.0447	1.2992	25.98	4.7948	4.7948	33.6771	10.95599	190.73409	477.005	477.005	24.9629	1505.01	0.00	13	0.0000e+00
287.854980	3.000	2.978	14.6661	4.114248	2.5998	2.6884	51.1703	2.4066	34.8996	1.2407	24.81	4.6599	4.6599	33.6724	10.43597	180.64836	454.369	454.369	25.0206	1504.11	0.00	9	0.0000e+00
287.855011	4.000	3.970	14.2974	4.078807	3.0435	2.0483	60.0916	1.2858	18.0865	1.1929	23.86	4.3736	4.3736	33.6674	9.57823	164.57103	417.031	417.031	25.0951	1502.94	0.00	11	0.0000e+00
287.855042	5.000	4.963	14.1138	4.062210	3.2249	1.8081	63.7396	0.8566	11.6488	1.1593	23.19	4.0581	4.0581	33.6740	8.91262	152.56689	388.051	388.051	25.1389	1502.37	0.00	10	0.0000e+00
287.855072	6.000	5.956	13.9482	4.046865	3.4938	1.4771	69.1464	0.5768	7.4527	1.5129	30.26	3.8694	3.8694	33.6764	8.53508	145.61856	371.615	371.615	25.1752	1501.85	0.00	10	0.0000e+00
287.855072	7.000	6.948	13.6957	4.022812	3.6920	1.2521	73.1322	0.4915	6.1727	1.0637	21.27	3.6903	3.6902	33.6738	8.04785	136.60205	350.406	350.406	25.2253	1501.04	0.00	10	0.0000e+00
287.855103	8.000	7.941	13.5574	4.010524	3.7794	1.1581	74.8902	0.4764	5.9460	0.9972	19.94	3.5076	3.5076	33.6802	7.66619	129.76219	333.789	333.789	25.2586	1500.61	0.00	10	0.0000e+00
287.855133	9.000	8.933	13.2286	3.978893	3.9143	1.0145	77.6012	0.5304	6.7555	0.9544	19.09	3.3294	3.3294	33.6730	7.12062	119.71832	310.042	310.042	25.3195	1499.53	0.00	10	0.0000e+00
287.855164	10.000	9.926	12.9766	3.955315	3.9541	0.9733	78.4019	0.5531	7.0958	0.9134	18.27	3.0975	3.0975	33.6732	6.56405	109.78329	285.812	285.812	25.3700	1498.71	0.00	10	0.0000e+00
287.855194	11.000	10.918	12.8590	3.944800	3.9629	0.9643	78.5783	0.5645	7.2675	1.6849	33.70	2.9403	2.9402	33.6775	6.27843	104.75404	273.377	273.377	25.3966	1498.34	0.00	10	0.0000e+00
287.855225	12.000	11.911	12.7389	3.933886	3.9762	0.9506	78.8470	0.5749	7.4232	1.2190	24.38	2.8378	2.8377	33.6803	6.09347	101.41681	265.325	265.325	25.4224	1497.95	0.00	10	0.0000e+00
287.855255	13.000	12.904	12.6855	3.929535	3.9725	0.9545	78.7718	0.5668	7.3023	0.7566	15.13	2.7711	2.7710	33.6860	5.97110	99.27369	259.997	259.997	25.4373	1497.80	0.00	11	0.0000e+00
287.855286	14.000	13.896	12.6566	3.927398	3.9781	0.9487	78.8854	0.5714	7.3709	1.2065	24.13	2.7253	2.7252	33.6910	5.87988	97.70142	256.024	256.024	25.4468	1497.72	0.00	9	0.0000e+00
287.855316	15.000	14.889	12.6314	3.925364	3.9743	0.9525	78.8095	0.5404	6.9061	0.6698	13.40	2.7004	2.7003	33.6937	5.83833	96.96187	254.215	254.215	25.4539	1497.66	0.00	11	0.0000e+00
287.855347	16.000	15.881	12.6127	3.924088	3.9736	0.9534	78.7936	0.5517	7.0756	0.6081	12.16	2.6785	2.6784	33.6978	5.77817	95.92812	251.595	251.595	25.4607	1497.61	0.00	11	0.0000e+00
287.855377	17.000	16.874	12.4902	3.913244	3.9727	0.9542	78.7767	0.4417	5.4256	0.5588	11.18	2.6283	2.6282	33.7032	5.54424	91.81584	241.411	241.411	25.4887	1497.22	0.00	10	0.0000e+00
287.855408	18.000	17.866	12.3443	3.900180	3.9578	0.9695	78.4770	0.4604	5.7064	0.5067	10.13	2.5161	2.5160	33.7082	5.21139	86.04211	226.919	226.919	25.5207	1496.75	0.00	9	0.0000e+00
287.855438	19.000	18.859	12.2423	3.891069	3.9291	0.9990	77.9003	0.5724	7.3863	0.4521	9.04	2.4106	2.4105	33.7117	4.96247	81.76033	216.081	216.081	25.5430	1496.43	0.00	13	0.0000e+00
287.855469	20.000	19.851	12.1455	3.882345	3.8563	1.0750	76.4353	0.4194	5.0912	0.4071	8.14	2.2987	2.2986	33.7142	4.69605	77.21628	204.482	204.482	25.5634	1496.12	767.31	15	0.0000e+00
287.855530	21.000	20.844	11.9624	3.864877	3.8021	1.1322	75.3451	0.6734	8.9015	0.3600	7.20	2.1782	2.1780	33.7098	4.44405	72.78451	193.512	193.512	25.5947	1495.50	1861.79	3	0.0000e+00
