TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
292.886907	2.000	1.985	14.6295	4.100468	3.3365	1.6631	65.9830	1.6034	22.8516	1.6752	33.50	3.2211	3.2211	33.5786	7.01382	121.24611	305.394	305.394	24.9561	1503.87	0.00	14	0.0000e+00
292.886953	3.000	2.978	14.6348	4.101085	3.3564	1.6389	66.3835	1.8662	26.7936	1.8837	37.67	3.2207	3.2207	33.5792	7.01667	121.30885	305.518	305.518	24.9555	1503.91	0.00	14	0.0000e+00
292.886994	4.000	3.970	14.6269	4.100311	3.3409	1.6577	66.0726	1.6422	23.4333	1.2324	24.65	3.2219	3.2219	33.5786	7.02376	121.41153	305.827	305.827	24.9568	1503.90	0.00	15	0.0000e+00
292.887036	5.000	4.963	14.5988	4.097639	3.3179	1.6858	65.6106	2.3200	33.6001	1.4854	29.71	3.2267	3.2267	33.5780	7.04616	121.72975	306.803	306.803	24.9623	1503.82	0.00	15	0.0000e+00
292.887079	6.000	5.956	14.5196	4.090025	3.2119	1.8183	63.4780	3.9061	57.3907	1.5155	30.31	3.2492	3.2492	33.5766	7.14845	123.29909	311.257	311.257	24.9782	1503.58	0.00	14	0.0000e+00
292.887121	7.000	6.948	14.4620	4.085142	3.2603	1.7587	64.4512	4.0320	59.2800	1.1096	22.19	3.2671	3.2671	33.5813	7.14707	123.13664	311.197	311.197	24.9940	1503.42	0.00	15	0.0000e+00
292.887164	8.000	7.940	14.4315	4.082964	3.5214	1.4447	69.7012	3.0987	45.2801	1.3705	27.41	3.2381	3.2381	33.5874	7.05390	121.46140	307.139	307.139	25.0052	1503.34	0.00	15	0.0000e+00
292.887207	9.000	8.933	14.4138	4.081634	3.6833	1.2613	72.9574	2.9510	43.0648	0.7314	14.63	3.1870	3.1870	33.5901	6.90152	118.79701	300.504	300.504	25.0111	1503.31	0.00	15	0.0000e+00
292.887249	10.000	9.926	14.3754	4.078302	3.8407	1.0918	76.1216	1.2463	17.4951	0.8276	16.55	3.1548	3.1548	33.5925	6.87712	118.28703	299.441	299.441	25.0210	1503.20	0.00	15	0.0000e+00
292.887297	11.000	10.918	14.3203	4.074763	3.8308	1.1020	75.9227	0.7423	9.9341	0.3376	6.75	3.1609	3.1610	33.6074	6.88275	118.26367	299.684	299.684	25.0443	1503.06	0.00	18	0.0000e+00
292.887357	12.000	11.911	14.2792	4.072414	3.7931	1.1419	75.1646	0.5510	7.0650	0.8679	17.36	3.0741	3.0741	33.6211	6.57345	112.86558	286.214	286.214	25.0636	1502.96	0.00	17	0.0000e+00
292.887430	13.000	12.904	14.1864	4.064619	3.6518	1.2960	72.3244	0.4151	5.0269	2.0447	40.89	2.8369	2.8369	33.6297	5.92938	101.61978	258.170	258.170	25.0897	1502.69	0.00	11	0.0000e+00
292.887835	14.000	13.896	14.1644	4.063101	3.4719	1.5013	68.7058	0.2806	3.0086	2.5805	51.61	2.6980	2.6980	33.6344	5.70433	97.72352	248.370	248.370	25.0980	1502.64	0.00	2	0.0000e+00
