TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
293.905731	1.000	0.993	13.4888	3.998802	2.9358	2.1828	57.9256	1.6666	23.7989	5.0000	100.00	3.5125	3.5126	33.6337	7.92638	133.93634	345.131	345.131	25.2364	1500.21	0.00	2	0.0000e+00
293.905792	2.000	1.985	13.5053	4.000304	3.0363	2.0471	59.9467	2.4005	34.8079	5.0000	100.00	3.5185	3.5185	33.6328	7.96603	134.65132	346.857	346.857	25.2324	1500.28	0.00	13	0.0000e+00
293.905853	3.000	2.978	13.4982	3.999617	3.0122	2.0802	59.4623	2.7206	39.6097	5.0000	100.00	3.5236	3.5236	33.6322	7.95847	134.50345	346.528	346.528	25.2334	1500.27	0.00	10	0.0000e+00
293.905884	4.000	3.970	13.4218	3.992355	3.0495	2.0301	60.2124	2.8536	41.6042	5.0000	100.00	3.4963	3.4963	33.6310	7.80418	131.68982	339.812	339.812	25.2480	1500.04	0.00	9	0.0000e+00
293.905914	5.000	4.963	13.2829	3.979247	3.1578	1.8877	62.3911	2.8299	41.2481	5.0000	100.00	3.3902	3.3902	33.6299	7.37386	124.07669	321.078	321.078	25.2752	1499.59	0.00	10	0.0000e+00
293.905945	6.000	5.956	13.1846	3.970205	3.3092	1.6968	65.4344	2.4698	35.8470	5.0000	100.00	3.2141	3.2141	33.6312	6.91639	116.14229	301.159	301.159	25.2960	1499.29	0.00	9	0.0000e+00
293.905945	7.000	6.948	13.0814	3.960739	3.3465	1.6509	66.1858	2.3976	34.7633	5.0000	100.00	3.0808	3.0808	33.6327	6.62004	110.93077	288.257	288.257	25.3177	1498.96	0.00	9	0.0000e+00
293.905975	8.000	7.941	12.9459	3.948198	3.4121	1.5725	67.5039	2.2352	32.3279	5.0000	100.00	2.9642	2.9642	33.6337	6.32819	105.74667	275.551	275.551	25.3454	1498.53	0.00	11	0.0000e+00
293.906006	9.000	8.933	12.8306	3.937788	3.4711	1.5031	68.6897	2.1359	30.8388	5.0000	100.00	2.8379	2.8379	33.6369	6.07024	101.19582	264.320	264.320	25.3707	1498.16	0.00	11	0.0000e+00
293.906036	10.000	9.926	12.7302	3.928718	3.5995	1.3551	71.2725	1.8531	26.5964	5.0000	100.00	2.7427	2.7427	33.6395	5.85049	97.33039	254.753	254.753	25.3924	1497.84	0.00	11	0.0000e+00
293.906067	11.000	10.919	12.6730	3.923763	3.6667	1.2801	72.6231	1.4755	20.9329	5.0000	100.00	2.6823	2.6823	33.6428	5.73772	95.34315	249.843	249.843	25.4062	1497.67	0.00	10	0.0000e+00
293.906097	12.000	11.911	12.6194	3.919031	3.7034	1.2397	73.3607	1.2013	16.8194	5.0000	100.00	2.6396	2.6396	33.6451	5.63825	93.58726	245.512	245.512	25.4184	1497.51	0.00	9	0.0000e+00
293.906128	13.000	12.904	12.5303	3.910903	3.7426	1.1966	74.1488	1.0722	14.8835	5.0000	100.00	2.5917	2.5917	33.6464	5.51534	91.37926	240.161	240.161	25.4368	1497.23	0.00	13	0.0000e+00
293.906189	14.000	13.896	12.3772	3.896787	3.7853	1.1503	75.0081	1.2636	17.7540	5.0000	100.00	2.5283	2.5283	33.6476	5.32477	87.94086	231.866	231.866	25.4673	1496.73	0.00	10	0.0000e+00
293.906219	15.000	14.889	12.3014	3.890128	3.8417	1.0904	76.1415	1.1183	15.5738	5.0000	100.00	2.4691	2.4691	33.6511	5.20122	85.76666	226.486	226.486	25.4846	1496.49	0.00	13	0.0000e+00
293.906250	16.000	15.881	12.2440	3.885236	3.8522	1.0794	76.3542	1.2633	17.7497	5.0000	100.00	2.4238	2.4238	33.6551	5.11424	84.23322	222.699	222.699	25.4987	1496.32	0.00	9	0.0000e+00
293.906281	17.000	16.874	12.1778	3.879229	3.9162	1.0123	77.6412	1.1815	16.5218	5.0000	100.00	2.3895	2.3895	33.6562	5.01710	82.51965	218.470	218.470	25.5122	1496.11	0.00	13	0.0000e+00
293.906311	18.000	17.866	11.9459	3.856637	3.9595	0.9679	78.5106	0.4972	6.2576	5.0000	100.00	2.3420	2.3420	33.6459	4.84643	79.32206	211.043	211.043	25.5481	1495.32	0.00	9	0.0000e+00
293.906342	19.000	18.859	11.8764	3.851451	3.9822	0.9446	78.9678	0.5166	6.5496	5.0000	100.00	2.2666	2.2666	33.6578	4.69243	76.69367	204.337	204.337	25.5704	1495.11	0.00	14	0.0000e+00
293.906372	20.000	19.852	11.8582	3.850447	4.0717	0.8544	80.7680	0.4598	5.6975	5.0000	100.00	2.2367	2.2366	33.6641	4.67078	76.31358	203.394	203.394	25.5787	1495.07	695.69	11	0.0000e+00
293.906403	21.000	20.844	11.7723	3.843132	4.1228	0.8038	81.7949	0.3457	3.9861	4.9956	99.91	2.2229	2.2229	33.6702	4.61806	75.31898	201.099	201.099	25.5995	1494.80	1481.70	8	0.0000e+00
293.906433	22.000	21.837	11.6736	3.834674	4.1300	0.7968	81.9393	0.3524	4.0859	4.9996	99.99	2.1917	2.1917	33.6766	4.51901	73.55345	196.786	196.786	25.6229	1494.48	1495.05	12	0.0000e+00
293.906464	23.000	22.829	11.5310	3.821818	4.1343	0.7927	82.0260	0.4904	6.1564	5.0000	100.00	2.1370	2.1370	33.6797	4.37551	71.00461	190.539	190.539	25.6517	1494.01	1495.01	14	0.0000e+00
293.906494	24.000	23.822	11.4051	3.809817	4.1961	0.7324	83.2691	0.2869	3.1034	5.0000	100.00	2.0956	2.0955	33.6761	4.26018	68.94687	185.519	185.519	25.6719	1493.59	1494.96	8	0.0000e+00
293.906525	25.000	24.814	11.3632	3.806027	4.2042	0.7246	83.4308	0.2597	2.6952	5.0000	100.00	2.0620	2.0619	33.6765	4.20023	67.91652	182.910	182.910	25.6799	1493.46	1494.90	11	0.0000e+00
293.906555	26.000	25.807	11.3247	3.802330	4.2106	0.7184	83.5609	0.2377	2.3656	5.0000	100.00	2.0394	2.0393	33.6748	4.16168	67.23736	181.232	181.232	25.6856	1493.34	1494.84	12	0.0000e+00
293.906586	27.000	26.799	11.3100	3.801255	4.1962	0.7324	83.2696	0.3160	3.5405	5.0000	100.00	2.0228	2.0228	33.6771	4.14052	66.87576	180.310	180.310	25.6901	1493.31	1494.79	13	0.0000e+00
293.906616	28.000	27.792	11.3098	3.801679	4.2173	0.7120	83.6951	0.2423	2.4340	5.0000	100.00	2.0193	2.0192	33.6811	4.13629	66.80859	180.125	180.125	25.6933	1493.33	1494.73	8	0.0000e+00
293.906677	29.000	28.784	11.3077	3.801808	4.2131	0.7160	83.6105	0.2288	2.2326	5.0000	100.00	2.0160	2.0159	33.6838	4.12848	66.68079	179.785	179.785	25.6958	1493.34	1494.68	15	0.0000e+00
293.906708	30.000	29.777	11.2980	3.801148	4.2172	0.7120	83.6937	0.2384	2.3763	5.0000	100.00	2.0128	2.0127	33.6857	4.11873	66.51048	179.361	179.361	25.6990	1493.32	1494.64	9	0.0000e+00
293.906708	31.000	30.769	11.2562	3.796964	4.2119	0.7171	83.5869	0.2199	2.0983	5.0000	100.00	2.0077	2.0076	33.6822	4.09240	66.02503	178.215	178.215	25.7039	1493.19	1494.59	7	0.0000e+00
293.906738	32.000	31.761	11.1996	3.791781	4.2210	0.7084	83.7699	0.2155	2.0318	5.0000	100.00	1.9870	1.9869	33.6822	4.03001	64.94032	175.499	175.499	25.7142	1493.01	1494.55	10	0.0000e+00
293.906799	33.000	32.754	11.1628	3.788544	4.2230	0.7065	83.8091	0.2530	2.5950	5.0000	100.00	1.9659	1.9658	33.6834	3.98510	64.16673	173.544	173.544	25.7218	1492.90	1494.50	10	0.0000e+00
293.906830	34.000	33.746	11.1402	3.786875	4.2305	0.6993	83.9603	0.2212	2.1186	5.0000	100.00	1.9527	1.9526	33.6871	3.94968	63.56724	172.001	172.001	25.7288	1492.84	1494.45	12	0.0000e+00
293.906860	35.000	34.739	11.1170	3.785143	4.2374	0.6927	84.0982	0.1899	1.6487	5.0000	100.00	1.9433	1.9432	33.6908	3.92726	63.17667	171.025	171.025	25.7359	1492.78	1494.40	8	0.0000e+00
293.906891	36.000	35.731	11.0717	3.781001	4.2351	0.6949	84.0536	0.2034	1.8515	5.0000	100.00	1.9286	1.9285	33.6908	3.87741	62.31458	168.855	168.855	25.7440	1492.64	1494.35	12	0.0000e+00
293.906921	37.000	36.724	11.0330	3.777592	4.2417	0.6886	84.1852	0.2408	2.4114	5.0000	100.00	1.9101	1.9100	33.6921	3.83126	61.52241	166.845	166.845	25.7520	1492.52	1494.31	12	0.0000e+00
293.906952	38.000	37.716	11.0046	3.775251	4.2415	0.6888	84.1815	0.1836	1.5535	5.0000	100.00	1.8910	1.8909	33.6944	3.78450	60.73565	164.810	164.810	25.7589	1492.44	1494.26	10	0.0000e+00
293.906982	39.000	38.709	10.9719	3.772230	4.2404	0.6899	84.1585	0.2156	2.0337	5.0000	100.00	1.8796	1.8795	33.6939	3.75060	60.14940	163.334	163.334	25.7643	1492.34	1494.21	9	0.0000e+00
293.907013	40.000	39.701	10.9352	3.769127	4.2416	0.6887	84.1830	0.2153	2.0296	5.0000	100.00	1.8615	1.8614	33.6964	3.70265	59.33467	161.246	161.246	25.7728	1492.23	1494.16	13	0.0000e+00
293.907043	41.000	40.694	10.8917	3.765704	4.2340	0.6959	84.0311	0.1778	1.4669	5.0000	100.00	1.8402	1.8401	33.7018	3.63899	58.26237	158.474	158.474	25.7848	1492.10	1494.11	10	0.0000e+00
293.907074	42.000	41.686	10.8731	3.764461	4.2256	0.7040	83.8624	0.2658	2.7872	5.0000	100.00	1.8230	1.8228	33.7061	3.59630	57.55736	156.614	156.614	25.7914	1492.06	1494.06	9	0.0000e+00
293.907104	43.000	42.678	10.8874	3.766639	4.2197	0.7097	83.7433	0.1810	1.5145	5.0000	100.00	1.8088	1.8087	33.7142	3.57590	57.25144	155.725	155.725	25.7953	1492.13	1494.02	14	0.0000e+00
293.907135	44.000	43.671	10.8926	3.767837	4.1964	0.7322	83.2740	0.1745	1.4176	5.0000	100.00	1.8037	1.8036	33.7209	3.57047	57.17322	155.487	155.487	25.7996	1492.18	1493.97	10	0.0000e+00
293.907166	45.000	44.663	10.8996	3.769227	4.1831	0.7450	83.0060	0.1798	1.4966	5.0000	100.00	1.7996	1.7995	33.7278	3.55733	56.97402	154.915	154.915	25.8038	1492.23	1493.93	14	0.0000e+00
293.907227	46.000	45.656	10.9046	3.770085	4.1548	0.7725	82.4378	0.1706	1.3587	5.0000	100.00	1.7952	1.7951	33.7314	3.54871	56.84327	154.539	154.539	25.8057	1492.26	1493.90	12	0.0000e+00
293.907257	47.000	46.648	10.9047	3.770404	4.1321	0.7947	81.9813	0.1878	1.6173	5.0000	100.00	1.7930	1.7929	33.7340	3.54292	56.75163	154.286	154.286	25.8077	1492.28	1493.86	11	0.0000e+00
293.907318	48.000	47.640	10.9037	3.770460	4.1240	0.8027	81.8188	0.1734	1.4016	5.0000	100.00	1.7915	1.7914	33.7351	3.54033	56.70918	154.173	154.173	25.8087	1492.30	1493.83	15	0.0000e+00
293.907349	49.000	48.633	10.8993	3.770263	4.1124	0.8141	81.5851	0.1761	1.4411	5.0000	100.00	1.7890	1.7889	33.7368	3.53195	56.57019	153.808	153.808	25.8109	1492.30	1493.80	10	0.0000e+00
293.908020	50.000	49.625	10.8936	3.770216	4.0905	0.8357	81.1458	0.1821	1.5322	5.0000	100.00	1.7783	1.7782	33.7411	3.50599	56.14918	152.677	152.677	25.8152	1492.30	1493.77	13	0.0000e+00
