TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
279.915924	2.000	1.985	14.3597	4.092572	3.0959	1.9677	61.1457	1.9220	27.6293	1.7246	34.49	3.5571	3.5571	33.7407	8.00335	137.74071	348.442	348.442	25.1386	1503.19	0.00	8	0.0000e+00
279.915955	3.000	2.978	14.2383	4.079033	3.1141	1.9438	61.5116	1.6200	23.0999	1.4182	28.36	3.5745	3.5745	33.7214	7.97646	136.92693	347.278	347.278	25.1493	1502.80	0.00	13	0.0000e+00
279.915985	4.000	3.970	13.8501	4.040577	3.2351	1.7895	63.9452	1.3931	19.6958	1.1387	22.77	3.5351	3.5351	33.7048	7.87960	134.19119	343.070	343.070	25.2174	1501.53	0.00	12	0.0000e+00
279.916046	5.000	4.963	13.8151	4.038845	3.3345	1.6655	65.9432	1.3667	19.3008	1.3913	27.83	3.5034	3.5035	33.7190	7.84272	133.47910	341.462	341.462	25.2356	1501.45	0.00	11	0.0000e+00
279.916077	6.000	5.956	13.5117	4.008620	3.3617	1.6325	66.4912	1.8806	27.0085	1.2619	25.24	3.4537	3.4537	33.7035	7.69036	130.06668	334.837	334.837	25.2859	1500.45	0.00	14	0.0000e+00
279.916107	7.000	6.948	13.4268	4.000869	3.3352	1.6647	65.9575	1.7635	25.2532	0.9333	18.67	3.3939	3.3939	33.7054	7.57788	127.94260	329.940	329.940	25.3046	1500.19	0.00	11	0.0000e+00
279.916138	8.000	7.941	13.2709	3.985867	3.3360	1.6638	65.9731	2.0389	29.3839	1.5097	30.19	3.3585	3.3585	33.7018	7.51860	126.53401	327.363	327.363	25.3333	1499.69	0.00	13	0.0000e+00
279.916168	9.000	8.933	13.0419	3.964353	3.3241	1.6783	65.7340	2.4820	36.0304	1.4873	29.75	3.3061	3.3061	33.7012	7.33605	122.88215	319.419	319.419	25.3787	1498.94	0.00	13	0.0000e+00
279.916199	10.000	9.926	12.8927	3.951421	3.3240	1.6783	65.7333	2.1136	30.5033	1.2053	24.11	3.1651	3.1651	33.7109	6.78979	113.39009	295.635	295.635	25.4158	1498.47	0.00	10	0.0000e+00
279.916260	11.000	10.918	12.8282	3.945969	3.3666	1.6266	66.5889	2.0969	30.2529	1.0277	20.55	2.9828	2.9828	33.7162	6.44012	107.40858	280.410	280.410	25.4326	1498.28	0.00	14	0.0000e+00
279.916290	12.000	11.911	12.7563	3.939682	3.3736	1.6181	66.7304	2.3309	33.7634	1.3864	27.73	2.8900	2.8900	33.7201	6.23874	103.89797	271.642	271.642	25.4498	1498.06	0.00	12	0.0000e+00
279.916321	13.000	12.904	12.6672	3.931806	3.4284	1.5526	67.8324	2.2875	33.1128	0.9824	19.65	2.7969	2.7969	33.7241	6.00601	99.84135	261.510	261.510	25.4703	1497.78	0.00	13	0.0000e+00
279.916351	14.000	13.896	12.5201	3.918313	3.4679	1.5060	68.6260	1.7002	24.3031	2.3319	46.64	2.7000	2.7000	33.7263	5.72463	94.87375	249.260	249.260	25.5007	1497.30	0.00	9	0.0000e+00
279.916382	15.000	14.889	12.4318	3.910416	3.4604	1.5149	68.4751	2.0063	28.8951	0.8475	16.95	2.6036	2.6036	33.7293	5.51700	91.26648	240.221	240.221	25.5202	1497.02	0.00	16	0.0000e+00
279.916412	16.000	15.881	12.2402	3.892192	3.5006	1.4680	69.2836	1.6442	23.4631	1.0165	20.33	2.5312	2.5311	33.7256	5.33123	87.84161	232.136	232.136	25.5541	1496.39	0.00	10	0.0000e+00
279.916473	17.000	16.874	12.0859	3.878736	3.5384	1.4244	70.0438	1.6356	23.3340	1.7405	34.81	2.4321	2.4320	33.7343	5.04143	82.80114	219.519	219.519	25.5903	1495.89	0.00	11	0.0000e+00
279.916504	18.000	17.866	11.8988	3.861156	3.6217	1.3297	71.7189	1.2440	17.4596	0.6980	13.96	2.3230	2.3229	33.7325	4.77084	78.04752	207.740	207.740	25.6242	1495.26	0.00	14	0.0000e+00
279.916534	19.000	18.859	11.7605	3.848348	3.6764	1.2689	72.8189	1.2226	17.1386	0.6807	13.61	2.2440	2.2439	33.7326	4.61429	75.26852	200.926	200.926	25.6502	1494.80	0.00	14	0.0000e+00
279.916565	20.000	19.851	11.6707	3.840211	3.6956	1.2478	73.2041	1.0780	14.9694	0.2839	5.68	2.1878	2.1877	33.7343	4.50314	73.31731	196.087	196.087	25.6682	1494.51	676.43	9	0.0000e+00
279.916809	21.000	20.844	11.6285	3.837444	3.6379	1.3115	72.0451	1.2961	18.2414	0.2213	4.43	2.1041	2.1040	33.7452	4.30790	70.08006	187.585	187.585	25.6845	1494.39	1730.84	7	0.0000e+00
